Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
DataFS,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,Object oriented DBMS,,"Score,0.09,Rank,#377,Overall,#21,Object oriented DBMS",newdatabase.com,dev.mobiland.com/Overview.xsp,Mobiland AG,2018.0,,commercial,,no,,,Windows,"Classes, Structs, and Lists are written in proprietary DataTypeDefinitionLanguage (.dtdl) and Objects consisting of those are written in proprietary DataAccessDefinitionLanguage (.dadl)",yes,no,no,no,".NET Client API,Proprietary client DLL,WinRT client",".Net,C,C#,C++,VB.Net",,"no, except callback-events from server when changes happened",Proprietary Sharding system,,no,,yes,ACID,yes,yes,no,Windows-Profile
InfinityDB,"A Java embedded,Key-Value Store,which extends the Java Map interface",Key-value store,,"Score,0.07,Rank,#378,Overall,#59,Key-value stores",boilerbay.com,boilerbay.com/infinitydb/manual,Boiler Bay Inc.,2002.0,,commercial,,no,,Java,All OS with a Java VM,yes,yes,no,no,no,"Access via java.util.concurrent.ConcurrentNavigableMap Interface,Proprietary API to InfinityDB ItemSpace (,boilerbay.com/docs/ItemSpaceDataStructures.htm,)",Java,no,no,none,none,no,,no,ACID,yes,yes,no,no
Indica,Enterprise Search Engine,Search engine,,"Score,0.07,Rank,#379,Overall,#26,Search engines",indica.nl,,,2014.0,,commercial,parts of it are open source,no,,,,,,,,,,,,,,,,,,,,,,
OushuDB,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",Relational DBMS,,"Score,0.07,Rank,#380,Overall,#156,Relational DBMS",www.oushu.com/product/oushuDB,www.oushu.com/documentation,Oushu,,,commercial,,no,,,Linux,yes,yes,,yes,Full-featured ANSI SQL support,"JDBC,ODBC","C,C++",yes,yes,yes,,Hadoop integration,,,ACID,yes,yes,,"Kerberos, SSL and role based access"
AgensGraph,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL","Graph DBMS,Relational DBMS",,"Score,0.06,Rank,#381,Overall,#36,Graph DBMS,#157,Relational DBMS",bitnine.net,bitnine.net/documentation,Bitnine Global Inc.,,"2.1, December 2018",Open Source,Apache License 2.0,no,,,"Linux,OS X,Windows",depending on used data model,yes,,yes,yes,"Cypher Query Language,JDBC","C,Java,JavaScript,Python",yes,no,"no, but can be realized using table inheritance",,no,,,ACID,yes,yes,,fine grained access rights according to SQL-standard
Warp 10,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or,HBase",Time Series DBMS,,"Score,0.03,Rank,#382,Overall,#40,Time Series DBMS",www.warp10.io,www.warp10.io/content/02_Getting_started,SenX,,,Open Source,Apache License 2.0,no,,,"Linux,OS X,Windows",schema-free,yes,,no,no,"HTTP API,Jupyter,WebSocket",,yes,no,Sharding,,no,,,no,yes,yes,,"Mandatory use of cryptographic tokens, containing fine-grained authorizations"
SmallSQL,,Relational DBMS,,"Score,0.02,Rank,#383,Overall,#158,Relational DBMS",www.smallsql.de,,,,,Open Source,L-GPL,no,,,,,,,,,,,,,,,,,,,,,,
ScaleOut StateServer,,Key-value store,,"Score,0.02,Rank,#384,Overall,#60,Key-value stores",www.scaleoutsoftware.com/products/stateserver,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
SparkleDB,,RDF store,,"Score,0.02,Rank,#385,Overall,#20,RDF stores",sparkledb.com,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Resin Cache,Distributed cache as part of an application server,Key-value store,,"Score,0.01,Rank,#386,Overall,#61,Key-value stores",caucho.com,,,,"4.0.65, July 2020",Open Source,"GPLv3, extended commercial license available",no,,,,,,,,,,,,,,,,,,,,,,
SWC-DB,"A high performance, scalable,Wide Column DBMS",Wide column store,,"Score,0.01,Rank,#387,Overall,#13,Wide column stores","github.com/kashirin-alex/swc-db,www.swcdb.org",,Alex Kashirin,,"0.5, April 2021",Open Source,GPL V3,no,,,Linux,schema-free,,,,SQL-like query language,"Proprietary protocol,Thrift",C++,no,no,Sharding,,no,,,,yes,yes,,
WakandaDB,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,Object oriented DBMS,,"Score,0.00,Rank,#388,Overall,#22,Object oriented DBMS",wakanda.github.io,doc.wakanda.org/home2.en.html#/Datastore/Introduction.200-588937.en.html,Wakanda SAS,,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no,,,"Linux,OS X,Windows",yes,yes,,,no,RESTful HTTP API,JavaScript,yes,yes,none,,no,,,ACID,yes,yes,,yes
JaguarDB,"Performant, highly scalable DBMS for AI and IoT applications",Key-value store,,"Score,0.00,Rank,#389,Overall,#62,Key-value stores",www.datajaguar.com,www.datajaguar.com/support.php,"DataJaguar, Inc.",,2.9.4 September 2018,Open Source,GPL V3.0,no,,,Linux,yes,yes,,yes,A subset of ANSI SQL is implemented,"JDBC,ODBC","C,C++,Go,Java,JavaScript (Node.js),PHP,Python,Ruby,Scala",no,no,Sharding,,no,,,no,yes,yes,,rights management via user accounts
Faircom EDGE,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments","Key-value store,Relational DBMS",,"Score,0.00,Rank,#390,Overall,#63,Key-value stores,#159,Relational DBMS",www.faircom.com/products/faircomedge-iot-database,learn.faircomcorp.com/developers/documentation_directory,FairCom Corporation,,"V3, October 2020",commercial,"Restricted, free version available",no,,,"Android,Linux,Raspbian,Windows","Flexible Schema (defined schema, partial schema, schema free)","yes, ANSI Standard SQL Types",,yes,yes,"ADO.NET,Direct SQL,IoT Microservice layer,JDBC,MQTT (Message Queue Telemetry Transport),ODBC,RESTful HTTP API","C,C#,C++,Java,JavaScript,PHP,Python,VB.Net",yes,yes,File partitioning,,no,,,ACID,yes,yes,,"Fine grained user, group and file access rights managed across SQL (per ANSI standard) and NoSQL."
SwayDB,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",Key-value store,,"Score,0.00,Rank,#391,Overall,#64,Key-value stores",swaydb.io,,Simer Plaha,,,Open Source,GNU Affero GPL V3.0,no,,,,schema-free,no,,no,no,,"Java,Kotlin,Scala",no,no,none,,no,,,Atomic execution of operations,yes,yes,,no
BergDB,BergDB is a Java/.NET in-process time-key-value store.,Key-value store,,"Score,0.00,Rank,#392,Overall,#65,Key-value stores",bergdb.com,,,,,Open Source,Gnu Affero General Public License (AGPL),no,,,,,,,,,,,,,,,,,,,,,,
Cachelot.io,In-memory caching system,Key-value store,,,cachelot.io,,,,,Open Source,Simplified BSD License,no,,,"FreeBSD,Linux,OS X",schema-free,no,,no,no,Memcached protocol,".Net,C,C++,ColdFusion,Erlang,Java,Lisp,Lua,OCaml,OCaml,Perl,PHP,Python,Ruby",no,no,none,,no,,,no,yes,no,,no
CortexDB,,"Document store,Key-value store",,"Score,0.00,Rank,#392,Overall,#56,Document stores,#65,Key-value stores",www.cortex-ag.com,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
CovenantSQL,"A decentralized blockchain,relational DBMS,, built with,SQLite",Relational DBMS,,"Score,0.00,Rank,#392,Overall,#160,Relational DBMS",covenantsql.io,developers.covenantsql.io/docs/en/intro,,,,Open Source,,no,,,,,,,,,,,,,,,,,,,,,,
DaggerDB,Simple olap analytics DBMS built for high performance querying in real time,Relational DBMS,,,www.daggerdb.com,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
EdgelessDB,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",Relational DBMS,,"Score,0.00,Rank,#392,Overall,#160,Relational DBMS","github.com/edgelesssys/edgelessdb,www.edgeless.systems/products/edgelessdb",docs.edgeless.systems/edgelessdb,Edgeless Systems,,,Open Source,GPL V2,no,,,,,,,,,,,,,,,,,,,,,,
Galaxybase,"Scalable, ACID-compliant native distributed parallel graph platform",Graph DBMS,,"Score,0.00,Rank,#392,Overall,#37,Graph DBMS",galaxybase.com,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司",,"Nov 20, November 2021",commercial,,no,,,Linux,Strong typed schema,yes,,yes,no,"Browser interface,console (shell),Graph API (Gremlin),OpenCypher,Proprietary native API","Go,Java,Python",user defined procedures and functions,,Sharding,,no,,,ACID,yes,yes,,Role-based access control
Helium,Cost efficient key-value store,Key-value store,,"Score,0.00,Rank,#392,Overall,#65,Key-value stores",www.levyx.com,,Levyx Inc.,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
HGraphDB,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",Graph DBMS,,"Score,0.00,Rank,#392,Overall,#37,Graph DBMS",github.com/rayokota/hgraphdb,,,,,Open Source,Apache 2.0,no,,,,,,,,,,,,,,,,,,,,,,
JasDB,,Document store,,"Score,0.00,Rank,#392,Overall,#56,Document stores",www.oberasoftware.com/jasdb,,,2014,,Open Source,,no,,,,,,,,,,,,,,,,,,,,,,
K-DB,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",Relational DBMS,,"Score,0.00,Rank,#392,Overall,#160,Relational DBMS",inspur.com,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Newts,"Time Series DBMS based on,Cassandra",Time Series DBMS,,"Score,0.00,Rank,#392,Overall,#41,Time Series DBMS",opennms.github.io/newts,,,2014,,Open Source,Apache 2.0,no,,,,,,,,,,,,,,,,,,,,,,
NSDb,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",Time Series DBMS,,"Score,0.00,Rank,#392,Overall,#41,Time Series DBMS",nsdb.io,,,2017,,Open Source,Apache Version 2.0,no,,,,,,,,,,,,,,,,,,,,,,
PieCloudDB,A cloud-native analytic database platform with new technologoy for elastic MPP,Relational DBMS,,"Score,0.00,Rank,#392,Overall,#160,Relational DBMS",openpie.com,,,,,commercial,,yes,,,,,,,,,,,,,,,,,,,,,,
Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",Search engine,,"Score,0.00,Rank,#392,Overall,#27,Search engines",www.rizhiyi.com,,,2014,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Sadas Engine,SADAS Engine is a columnar DBMS specifically designed for high performance in Data warehouse environments,Relational DBMS,,"Score,0.00,Rank,#392,Overall,#160,Relational DBMS",www.sadasengine.com,,,2006,,commercial,free trial version available,no,,,,,,,,,,,,,,,,,,,,,,
searchxml,DBMS for structured and unstructured content wrapped with an application server,"Native XML DBMS,Search engine",,"Score,0.00,Rank,#392,Overall,#7,Native XML DBMS,#27,Search engines",www.searchxml.net/category/products,,,2015,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
SpaceTime,SpaceTime is a spatio-temporal DBMS with a focus on performance.,Spatial DBMS,,"Score,0.00,Rank,#392,Overall,#6,Spatial DBMS",www.mireo.hr/spacetime,,,2020,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Tkrzw,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",Key-value store,,"Score,0.00,Rank,#392,Overall,#65,Key-value stores",dbmx.net/tkrzw,,,2020,,Open Source,Apache Version 2.0,no,,,,,,,,,,,,,,,,,,,,,,
Transwarp ArgoDB,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,Relational DBMS,,"Score,0.00,Rank,#392,Overall,#160,Relational DBMS",www.transwarp.cn/en/product/argodb,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Transwarp StellarDB,A distributed graph DBMS built for enterprise-level graph applications,Graph DBMS,,"Score,0.00,Rank,#392,Overall,#37,Graph DBMS",www.transwarp.cn/en/product/stellardb,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Yaacomo,"OpenCL based in-memory,RDBMS,, designed for efficiently utilizing the hardware via parallel computing",Relational DBMS,,"Score,0.00,Rank,#392,Overall,#160,Relational DBMS",yaacomo.com,,,2009,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Yanza,Time Series DBMS for IoT Applications,Time Series DBMS,,"Score,0.00,Rank,#392,Overall,#41,Time Series DBMS",yanza.com,,,2015,,commercial,free version available,no,,,,,,,,,,,,,,,,,,,,,,
