Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
AnzoGraph DB,,"Graph DBMS,RDF store",,"Score,0.28,Rank,#317,Overall,#30,Graph DBMS,#16,RDF stores",www.cambridgesemantics.com/anzograph,,,2018.0,"2.3, January 2021",commercial,free trial version available,no,,,,,,,,,,,,,,,,,,,,,,
Riak TS,,Time Series DBMS,,"Score,0.28,Rank,#318,Overall,#28,Time Series DBMS",riak.com/products/riak-ts,,,2015.0,,Open Source,,no,,,,,,,,,,,,,,,,,,,,,,
Dydra,,RDF store,,"Score,0.28,Rank,#319,Overall,#17,RDF stores",dydra.com/about,,,2010.0,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
LeanXcale,,"Key-value store,Relational DBMS",,"Score,0.28,Rank,#320,Overall,#44,Key-value stores,#143,Relational DBMS",www.leanxcale.com,,,2015.0,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Elliptics,Distributed Key-value Store,Key-value store,,"Score,0.27,Rank,#321,Overall,#45,Key-value stores",github.com/reverbrain/elliptics,,,2009.0,,Open Source,,no,,,,,,,,,,,,,,,,,,,,,,
Upscaledb,"An embedded,key-value store,with SQL-style analytical functions",Key-value store,,"Score,0.27,Rank,#322,Overall,#46,Key-value stores",upscaledb.com,,,2007.0,,Open Source,Apache Version 2,no,,,,,,,,,,,,,,,,,,,,,,
Tigris,"A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure","Document store,Key-value store,Search engine,Time Series DBMS",,"Score,0.26,Rank,#323,Overall,#45,Document stores,#47,Key-value stores,#23,Search engines,#29,Time Series DBMS",www.tigrisdata.com,,"Tigris Data, Inc.",2022.0,,Open Source,Apache Version 2.0,no,,,,yes,,,,no,"CLI Client,gRPC,RESTful HTTP API","Go,Java,JavaScript (Node.js)",,,,,,Immediate Consistency,,ACID,yes,"yes, using,FoundationDB",,
STSdb,Key-Value Store with special method for indexing,Key-value store,,"Score,0.25,Rank,#324,Overall,#48,Key-value stores",github.com/STSSoft/STSdb4,,STS Soft SC,2011.0,,Open Source,"GPLv2, commercial license available",no,,,,yes,,,,no,.NET Client API,"C#,Java",,,,,no,,no,no,yes,yes,,
Tibco ComputeDB,Distributed in-memory data store for real-time operational analytics based on Apache Spark,Relational DBMS,,"Score,0.25,Rank,#325,Overall,#144,Relational DBMS",community.tibco.com/products/tibco-computedb,,Tibco,2015.0,,Open Source,Apache 2.0,no,,,,,,,,,,,,,,,,,,,,,,
RDFox,High performance knowledge graph and semantic reasoning engine,"Graph DBMS,RDF store",,"Score,0.25,Rank,#326,Overall,#31,Graph DBMS,#18,RDF stores",www.oxfordsemantic.tech,,Oxford Semantic Technologies,2017.0,,commercial,,no,,,,yes,,,,no,"RESTful HTTP API,SPARQL 1.1","C,Java",,,,,,"Immediate Consistency in stand-alone mode, Eventual Consistency in replicated setups",,ACID,,yes,yes,
Edge Intelligence,A Big Data Analytics Platform,Relational DBMS,,"Score,0.24,Rank,#327,Overall,#145,Relational DBMS",www.edgeintelligence.com,,,2012.0,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
IRONdb,"A distributed,Time Series DBMS,with a focus on scalability, fault tolerance and operational simplicity",Time Series DBMS,,"Score,0.24,Rank,#327,Overall,#30,Time Series DBMS",www.circonus.com/solutions/time-series-database,,Circonus LLC.,2017.0,,commercial,,no,,,,schema-free,,,,SQL-like query language (Circonus Analytics Query Language: CAQL),HTTP API,".Net,C,C++,Clojure,Erlang,Go,Haskell,Java,JavaScript,JavaScript (Node.js),Lisp,Lua,Perl,PHP,Python,R,Ruby,Rust,Scala",,,,,no,"Immediate consistency per node, eventual consistency across nodes",no,no,yes,yes,no,
