Rank_Jul-2024,Rank_Jun-2024,Rank_Jul-2023,DBMS,Database Model,Score_Jul-2024,Score_Jun-2024,Score_Jul-2023,DBMS_insitelink,Multi_model_info
12.,12.,12.,Apache Cassandra,"Wide column, Multi-model",99.13,+0.30,-7.40,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
13.,14.,14.,Splunk,Search engine,92.92,+3.82,+5.80,https://db-engines.com/en/system/Splunk,
14.,13.,13.,MariaDB,"Relational, Multi-model",90.58,-0.45,-5.52,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,15.,18.,Databricks,Multi-model,83.29,+2.21,+14.83,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
16.,16.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",76.75,-0.03,-2.21,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,16.,Amazon DynamoDB,Multi-model,70.95,-3.50,-7.86,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
18.,19.,20.,Google BigQuery,Relational,57.82,-0.28,+2.40,https://db-engines.com/en/system/Google+BigQuery,
19.,18.,17.,Apache Hive,Relational,57.29,-2.46,-15.58,https://db-engines.com/en/system/Apache+Hive,
20.,20.,21.,FileMaker,Relational,48.59,+0.68,-4.73,https://db-engines.com/en/system/FileMaker,
21.,21.,22.,Neo4j,Graph,45.75,+0.86,-6.31,https://db-engines.com/en/system/Neo4j,
22.,22.,19.,Teradata,"Relational, Multi-model",44.52,-0.35,-15.73,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,23.,23.,SAP HANA,"Relational, Multi-model",44.12,-0.15,-6.60,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,24.,Apache Solr,"Search engine, Multi-model",38.88,-2.15,-9.68,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",34.74,-0.34,-8.13,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,27.,Apache HBase,Wide column,27.73,-0.23,-8.37,https://db-engines.com/en/system/Apache+HBase,
27.,27.,26.,Microsoft Azure Cosmos DB,Multi-model,27.12,-0.59,-9.38,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",23.59,-0.79,-7.33,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,29.,PostGIS,"Spatial, Multi-model",20.96,-0.76,-9.05,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,31.,Firebird,Relational,20.41,-0.10,-5.75,https://db-engines.com/en/system/Firebird,
31.,31.,30.,Microsoft Azure Synapse Analytics,Relational,19.84,-0.09,-7.78,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
32.,32.,33.,Memcached,Key-value,17.74,-0.34,-4.34,https://db-engines.com/en/system/Memcached,
33.,33.,37.,Apache Spark (SQL),Relational,17.70,-0.34,-1.93,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
34.,34.,34.,Informix,"Relational, Multi-model",17.56,+0.45,-4.36,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
35.,37.,46.,OpenSearch,"Search engine, Multi-model",16.64,+0.61,+3.77,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
36.,36.,32.,Couchbase,"Document, Multi-model",16.41,-0.17,-8.72,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
37.,38.,40.,ClickHouse,"Relational, Multi-model",15.17,-0.38,-0.13,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
38.,35.,35.,Amazon Redshift,Relational,15.07,-1.82,-5.29,https://db-engines.com/en/system/Amazon+Redshift,
39.,39.,38.,Firebase Realtime Database,Document,13.87,+0.23,-4.85,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,40.,36.,Apache Impala,"Relational, Multi-model",12.57,+0.13,-7.09,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
41.,41.,45.,Apache Flink,Relational,10.23,-1.07,-3.56,https://db-engines.com/en/system/Apache+Flink,
42.,42.,41.,Vertica,"Relational, Multi-model",9.96,-0.10,-5.20,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,44.,43.,dBASE,Relational,9.52,-0.18,-5.17,https://db-engines.com/en/system/dBASE,
44.,43.,42.,Presto,Relational,8.49,-1.26,-6.38,https://db-engines.com/en/system/Presto,
45.,48.,48.,Greenplum,"Relational, Multi-model",8.23,+0.16,-2.10,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
46.,45.,39.,Netezza,Relational,8.15,-0.43,-7.47,https://db-engines.com/en/system/Netezza,
47.,46.,52.,H2,"Relational, Multi-model",8.01,-0.32,-0.85,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
48.,47.,44.,CouchDB,"Document, Multi-model",7.82,-0.48,-6.58,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
49.,49.,55.,Kdb,Multi-model,7.58,-0.12,-0.64,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
50.,52.,54.,Realm,Document,7.34,-0.07,-0.91,https://db-engines.com/en/system/Realm,
51.,50.,56.,Prometheus,Time Series,7.33,-0.35,-0.72,https://db-engines.com/en/system/Prometheus,
52.,51.,50.,Amazon Aurora,"Relational, Multi-model",7.32,-0.25,-2.07,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
53.,54.,51.,etcd,Key-value,6.99,-0.04,-2.01,https://db-engines.com/en/system/etcd,
54.,53.,47.,Google Cloud Firestore,Document,6.75,-0.61,-3.61,https://db-engines.com/en/system/Google+Cloud+Firestore,
55.,57.,49.,Oracle Essbase,Relational,5.98,+0.05,-3.57,https://db-engines.com/en/system/Oracle+Essbase,
56.,55.,70.,Sphinx,Search engine,5.96,+0.01,-0.12,https://db-engines.com/en/system/Sphinx,
57.,59.,68.,Microsoft Azure AI Search,"Search engine, Multi-model",5.68,+0.15,-0.67,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
58.,64.,57.,Algolia,Search engine,5.57,+0.41,-2.36,https://db-engines.com/en/system/Algolia,
59.,65.,63.,Trino,"Relational, Multi-model",5.44,+0.45,-1.19,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
60.,61.,58.,Hazelcast,"Key-value, Multi-model",5.32,-0.14,-2.47,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
61.,60.,66.,Aerospike,Multi-model,5.16,-0.35,-1.32,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS"
62.,66.,65.,Apache Jackrabbit,Content,5.15,+0.25,-1.38,https://db-engines.com/en/system/Apache+Jackrabbit,
63.,56.,59.,Datastax Enterprise,"Wide column, Multi-model",5.10,-0.83,-2.10,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
64.,67.,74.,Graphite,Time Series,5.04,+0.22,-0.78,https://db-engines.com/en/system/Graphite,
65.,69.,106.,DuckDB,Relational,4.79,+0.16,+1.43,https://db-engines.com/en/system/DuckDB,
66.,58.,60.,CockroachDB,Relational,4.45,-1.28,-2.59,https://db-engines.com/en/system/CockroachDB,
67.,63.,53.,MarkLogic,Multi-model,4.42,-0.75,-4.17,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
68.,70.,62.,Apache Derby,Relational,4.42,-0.18,-2.39,https://db-engines.com/en/system/Apache+Derby,
69.,68.,64.,Ehcache,Key-value,4.26,-0.39,-2.34,https://db-engines.com/en/system/Ehcache,
70.,62.,69.,SingleStore,"Relational, Multi-model",4.12,-1.26,-2.08,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
71.,72.,75.,Google Cloud Datastore,Document,4.06,-0.30,-1.56,https://db-engines.com/en/system/Google+Cloud+Datastore,
72.,73.,83.,Virtuoso,Multi-model,3.98,-0.29,-0.91,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
73.,79.,76.,Riak KV,Key-value,3.95,-0.07,-1.58,https://db-engines.com/en/system/Riak+KV,
74.,71.,84.,TimescaleDB,"Time Series, Multi-model",3.90,-0.55,-0.88,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
75.,76.,67.,ScyllaDB,"Wide column, Multi-model",3.84,-0.24,-2.53,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
76.,75.,73.,Interbase,Relational,3.83,-0.25,-2.17,https://db-engines.com/en/system/Interbase,
77.,82.,72.,Ingres,Relational,3.80,0.00,-2.20,https://db-engines.com/en/system/Ingres,
78.,78.,97.,DolphinDB,Multi-model,3.62,-0.40,-0.23,https://db-engines.com/en/system/DolphinDB,"Vector DBMS,Time Series DBMS,Relational DBMS"
79.,80.,77.,SAP SQL Anywhere,Relational,3.59,-0.36,-1.91,https://db-engines.com/en/system/SAP+SQL+Anywhere,
80.,85.,90.,OpenEdge,Relational,3.58,+0.14,-0.72,https://db-engines.com/en/system/OpenEdge,
81.,81.,61.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.57,-0.23,-3.35,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
82.,74.,107.,TiDB,"Relational, Multi-model",3.46,-0.79,+0.17,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
83.,87.,82.,Apache Accumulo,Wide column,3.46,+0.12,-1.48,https://db-engines.com/en/system/Apache+Accumulo,
84.,77.,71.,Microsoft Azure Table Storage,Wide column,3.42,-0.63,-2.61,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
85.,88.,87.,ArangoDB,Multi-model,3.42,+0.15,-1.15,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
86.,93.,80.,HyperSQL,Relational,3.28,+0.05,-1.79,https://db-engines.com/en/system/HyperSQL,
87.,84.,105.,InterSystems IRIS,Multi-model,3.24,-0.29,-0.15,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
88.,92.,141.,Pinecone,Vector,3.13,-0.10,+0.87,https://db-engines.com/en/system/Pinecone,
89.,103.,193.,Milvus,Vector,3.12,+0.34,+1.76,https://db-engines.com/en/system/Milvus,
90.,89.,85.,OrientDB,Multi-model,3.07,-0.18,-1.69,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
91.,83.,78.,Apache Jena - TDB,RDF,3.05,-0.57,-2.16,https://db-engines.com/en/system/Apache+Jena+-+TDB,
92.,96.,81.,Apache Ignite,Multi-model,3.02,-0.09,-1.97,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
93.,90.,108.,Apache Druid,Multi-model,2.94,-0.31,-0.29,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
94.,97.,96.,Oracle NoSQL,Multi-model,2.93,-0.12,-0.92,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
95.,94.,124.,Memgraph,Graph,2.93,-0.26,+0.23,https://db-engines.com/en/system/Memgraph,
96.,95.,86.,Google Cloud Bigtable,Multi-model,2.93,-0.23,-1.76,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
97.,86.,92.,RocksDB,Key-value,2.89,-0.52,-1.34,https://db-engines.com/en/system/RocksDB,
98.,91.,133.,GraphDB,Multi-model,2.87,-0.38,+0.35,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
99.,101.,91.,RavenDB,"Document, Multi-model",2.80,-0.03,-1.48,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
100.,100.,93.,Google Cloud Spanner,Relational,2.77,-0.07,-1.30,https://db-engines.com/en/system/Google+Cloud+Spanner,
101.,99.,94.,GemFire,"Key-value, Multi-model",2.74,-0.10,-1.30,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
102.,102.,79.,Adabas,Multivalue,2.73,-0.07,-2.42,https://db-engines.com/en/system/Adabas,
103.,104.,95.,IBM Cloudant,Document,2.67,-0.08,-1.22,https://db-engines.com/en/system/IBM+Cloudant,
104.,105.,134.,QuestDB,"Time Series, Multi-model",2.66,-0.05,+0.23,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
105.,108.,88.,SAP IQ,Relational,2.62,-0.02,-1.94,https://db-engines.com/en/system/SAP+IQ,
106.,107.,100.,RethinkDB,"Document, Multi-model",2.53,-0.13,-1.11,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
107.,106.,118.,TDengine,"Time Series, Multi-model",2.45,-0.23,-0.48,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
108.,111.,98.,Infinispan,Key-value,2.40,-0.05,-1.39,https://db-engines.com/en/system/Infinispan,
109.,98.,89.,"UniData,UniVerse",Multivalue,2.37,-0.48,-2.09,https://db-engines.com/en/system/UniData%2CUniVerse,
110.,109.,99.,YugabyteDB,"Relational, Multi-model",2.32,-0.31,-1.41,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
111.,112.,110.,PouchDB,Document,2.31,-0.03,-0.83,https://db-engines.com/en/system/PouchDB,
112.,110.,115.,4D,Relational,2.31,-0.16,-0.77,https://db-engines.com/en/system/4D,
113.,114.,102.,MaxDB,Relational,2.20,-0.06,-1.42,https://db-engines.com/en/system/MaxDB,
114.,115.,103.,LevelDB,Key-value,2.19,-0.06,-1.24,https://db-engines.com/en/system/LevelDB,
115.,113.,120.,Amazon Neptune,Multi-model,2.14,-0.15,-0.76,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
116.,117.,131.,Citus,"Relational, Multi-model",2.09,-0.05,-0.48,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
117.,122.,151.,Stardog,Multi-model,2.07,0.00,-0.01,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
118.,119.,111.,Percona Server for MySQL,Relational,2.04,-0.06,-1.07,https://db-engines.com/en/system/Percona+Server+for+MySQL,
119.,129.,122.,Oracle Coherence,Key-value,2.02,+0.05,-0.76,https://db-engines.com/en/system/Oracle+Coherence,
120.,116.,130.,NebulaGraph,Graph,2.01,-0.22,-0.59,https://db-engines.com/en/system/NebulaGraph,
121.,120.,152.,GridDB,"Time Series, Multi-model",1.99,-0.11,-0.08,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
122.,118.,128.,Coveo,Search engine,1.98,-0.13,-0.66,https://db-engines.com/en/system/Coveo,
123.,121.,116.,LMDB,Key-value,1.97,-0.11,-0.99,https://db-engines.com/en/system/LMDB,
124.,124.,117.,Apache Drill,Multi-model,1.95,-0.07,-0.98,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
125.,128.,119.,CloudKit,Document,1.92,-0.07,-1.00,https://db-engines.com/en/system/CloudKit,
126.,123.,132.,Apache Phoenix,Relational,1.91,-0.15,-0.64,https://db-engines.com/en/system/Apache+Phoenix,
127.,126.,101.,Oracle Berkeley DB,Multi-model,1.90,-0.10,-1.73,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
128.,125.,125.,JanusGraph,Graph,1.89,-0.13,-0.78,https://db-engines.com/en/system/JanusGraph,
129.,127.,135.,Chroma,Vector,1.88,-0.12,-0.53,https://db-engines.com/en/system/Chroma,
130.,130.,114.,EDB Postgres,"Relational, Multi-model",1.88,-0.03,-1.21,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
131.,131.,154.,Amazon DocumentDB,Document,1.87,-0.03,-0.14,https://db-engines.com/en/system/Amazon+DocumentDB,
132.,133.,129.,Amazon SimpleDB,Key-value,1.86,-0.02,-0.75,https://db-engines.com/en/system/Amazon+SimpleDB,
133.,137.,144.,Amazon CloudSearch,Search engine,1.79,-0.02,-0.46,https://db-engines.com/en/system/Amazon+CloudSearch,
134.,132.,104.,RRDtool,Time Series,1.75,-0.15,-1.68,https://db-engines.com/en/system/RRDtool,
135.,136.,139.,Empress,Relational,1.74,-0.09,-0.55,https://db-engines.com/en/system/Empress,
136.,139.,126.,EXASOL,Relational,1.71,-0.05,-0.94,https://db-engines.com/en/system/EXASOL,
137.,141.,145.,MonetDB,"Relational, Multi-model",1.70,-0.03,-0.51,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
138.,149.,121.,OceanBase,"Relational, Multi-model",1.69,+0.11,-1.17,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
139.,135.,138.,BaseX,Native XML,1.69,-0.15,-0.61,https://db-engines.com/en/system/BaseX,
140.,147.,127.,IMS,Navigational,1.65,+0.03,-1.00,https://db-engines.com/en/system/IMS,
141.,142.,140.,OpenTSDB,Time Series,1.62,-0.06,-0.66,https://db-engines.com/en/system/OpenTSDB,
142.,134.,123.,Geode,Key-value,1.62,-0.24,-1.16,https://db-engines.com/en/system/Geode,
143.,143.,157.,Tarantool,Multi-model,1.59,-0.08,-0.35,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
144.,146.,136.,SpatiaLite,"Spatial, Multi-model",1.59,-0.04,-0.77,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
145.,138.,147.,TigerGraph,Graph,1.59,-0.22,-0.59,https://db-engines.com/en/system/TigerGraph,
146.,144.,143.,Datomic,Relational,1.57,-0.08,-0.69,https://db-engines.com/en/system/Datomic,
147.,145.,109.,HEAVY.AI,"Relational, Multi-model",1.52,-0.12,-1.65,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
148.,153.,201.,Weaviate,Vector,1.51,-0.01,+0.24,https://db-engines.com/en/system/Weaviate,
149.,154.,158.,Actian NoSQL Database,Object oriented,1.50,-0.01,-0.38,https://db-engines.com/en/system/Actian+NoSQL+Database,
150.,151.,167.,Fauna,Multi-model,1.48,-0.07,-0.19,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
151.,157.,149.,VoltDB,Relational,1.45,-0.02,-0.68,https://db-engines.com/en/system/VoltDB,
152.,150.,146.,GridGain,Multi-model,1.44,-0.11,-0.76,https://db-engines.com/en/system/GridGain,"Columnar,Object Oriented DBMS,Key-value store,Relational DBMS"
153.,152.,170.,Dgraph,Graph,1.42,-0.11,-0.23,https://db-engines.com/en/system/Dgraph,
154.,148.,137.,Tibero,Relational,1.42,-0.17,-0.90,https://db-engines.com/en/system/Tibero,
155.,156.,142.,jBASE,Multivalue,1.39,-0.10,-0.87,https://db-engines.com/en/system/jBASE,
156.,158.,148.,Db4o,Object oriented,1.39,-0.02,-0.76,https://db-engines.com/en/system/Db4o,
157.,162.,153.,ObjectStore,Object oriented,1.38,+0.04,-0.68,https://db-engines.com/en/system/ObjectStore,
158.,140.,150.,Firebolt,Relational,1.35,-0.38,-0.73,https://db-engines.com/en/system/Firebolt,
159.,160.,156.,IBM Db2 warehouse,Relational,1.31,-0.06,-0.66,https://db-engines.com/en/system/IBM+Db2+warehouse,
160.,169.,166.,mSQL,Relational,1.29,+0.02,-0.39,https://db-engines.com/en/system/mSQL,
161.,165.,162.,Mnesia,Document,1.28,-0.01,-0.54,https://db-engines.com/en/system/Mnesia,
162.,155.,178.,PlanetScale,"Relational, Multi-model",1.27,-0.22,-0.27,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
163.,167.,275.,Qdrant,Vector,1.26,-0.02,+0.65,https://db-engines.com/en/system/Qdrant,
164.,161.,159.,TimesTen,Relational,1.26,-0.10,-0.61,https://db-engines.com/en/system/TimesTen,
165.,163.,203.,D3,Multivalue,1.25,-0.08,-0.01,https://db-engines.com/en/system/D3,
166.,174.,194.,HFSQL,Relational,1.24,+0.06,-0.11,https://db-engines.com/en/system/HFSQL,
167.,164.,242.,Apache IoTDB,Time Series,1.24,-0.08,+0.41,https://db-engines.com/en/system/Apache+IoTDB,
168.,168.,161.,LiteDB,Document,1.21,-0.07,-0.64,https://db-engines.com/en/system/LiteDB,
169.,175.,173.,Giraph,Graph,1.16,-0.01,-0.43,https://db-engines.com/en/system/Giraph,
170.,176.,163.,Datameer,Document,1.15,-0.02,-0.63,https://db-engines.com/en/system/Datameer,
171.,170.,185.,Apache Kylin,Relational,1.14,-0.11,-0.31,https://db-engines.com/en/system/Apache+Kylin,
172.,172.,200.,VictoriaMetrics,Time Series,1.12,-0.11,-0.17,https://db-engines.com/en/system/VictoriaMetrics,
173.,166.,171.,ObjectBox,Multi-model,1.12,-0.16,-0.50,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
174.,177.,209.,Amazon Timestream,Time Series,1.12,-0.04,-0.07,https://db-engines.com/en/system/Amazon+Timestream,
175.,171.,155.,SQLBase,Relational,1.11,-0.13,-0.87,https://db-engines.com/en/system/SQLBase,
176.,183.,177.,DataEase,Relational,1.07,0.00,-0.47,https://db-engines.com/en/system/DataEase,
177.,159.,165.,Sedna,Native XML,1.06,-0.33,-0.64,https://db-engines.com/en/system/Sedna,
178.,180.,181.,Apache HAWQ,Relational,1.05,-0.07,-0.45,https://db-engines.com/en/system/Apache+HAWQ,
179.,184.,187.,openGauss,"Relational, Multi-model",1.04,-0.02,-0.37,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
180.,190.,243.,SurrealDB,Multi-model,1.04,+0.02,+0.21,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
181.,173.,174.,EventStoreDB,Event,1.04,-0.15,-0.51,https://db-engines.com/en/system/EventStoreDB,
182.,178.,176.,Oracle Rdb,Relational,1.04,-0.10,-0.50,https://db-engines.com/en/system/Oracle+Rdb,
183.,182.,168.,NonStop SQL,Relational,1.04,-0.04,-0.64,https://db-engines.com/en/system/NonStop+SQL,
184.,186.,183.,GBase,Relational,1.03,-0.02,-0.46,https://db-engines.com/en/system/GBase,
185.,185.,184.,FoundationDB,Multi-model,1.02,-0.05,-0.46,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
186.,181.,164.,GT.M,Key-value,1.00,-0.09,-0.72,https://db-engines.com/en/system/GT.M,
187.,193.,199.,Meilisearch,Search engine,0.97,-0.03,-0.33,https://db-engines.com/en/system/Meilisearch,
188.,191.,189.,Dolt,"Relational, Multi-model",0.95,-0.07,-0.44,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
189.,199.,217.,M3DB,Time Series,0.95,+0.03,-0.14,https://db-engines.com/en/system/M3DB,
190.,187.,169.,Cubrid,Relational,0.95,-0.09,-0.72,https://db-engines.com/en/system/Cubrid,
191.,188.,175.,GigaSpaces,Multi-model,0.94,-0.09,-0.61,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
192.,202.,218.,Amazon Keyspaces,Wide column,0.92,+0.01,-0.11,https://db-engines.com/en/system/Amazon+Keyspaces,
193.,195.,190.,NCache,"Key-value, Multi-model",0.91,-0.05,-0.47,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
194.,200.,207.,IDMS,Navigational,0.91,0.00,-0.31,https://db-engines.com/en/system/IDMS,
195.,192.,172.,Infobright,Relational,0.91,-0.11,-0.70,https://db-engines.com/en/system/Infobright,
196.,189.,179.,Altibase,Relational,0.91,-0.12,-0.63,https://db-engines.com/en/system/Altibase,
197.,212.,233.,Rockset,"Document, Multi-model",0.89,+0.07,+0.00,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
198.,179.,202.,AllegroGraph,Multi-model,0.89,-0.24,-0.38,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS"
199.,201.,260.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.88,-0.03,+0.16,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
200.,204.,186.,MatrixOne,Relational,0.87,0.00,-0.56,https://db-engines.com/en/system/MatrixOne,
201.,197.,197.,NuoDB,Relational,0.87,-0.07,-0.47,https://db-engines.com/en/system/NuoDB,
202.,206.,195.,HPE Ezmeral Data Fabric,Multi-model,0.86,+0.01,-0.49,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
203.,210.,196.,ZODB,Key-value,0.84,+0.00,-0.50,https://db-engines.com/en/system/ZODB,
