Rank_Jul-2024,Rank_Jun-2024,Rank_Jul-2023,DBMS,Database Model,Score_Jul-2024,Score_Jun-2024,Score_Jul-2023,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1240.37,-3.72,-15.64,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1039.46,-21.89,-110.89,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",807.65,-13.91,-113.95,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",638.91,+2.66,+21.08,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",429.83,+8.75,-5.67,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",156.77,+0.82,-7.00,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,8.,11.,Snowflake,Relational,136.53,+6.17,+18.84,https://db-engines.com/en/system/Snowflake,
8.,7.,8.,Elasticsearch,"Search engine, Multi-model",130.82,-2.01,-8.77,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
9.,9.,7.,IBM Db2,"Relational, Multi-model",124.40,-1.50,-15.41,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,10.,SQLite,Relational,109.95,-1.46,-20.25,https://db-engines.com/en/system/SQLite,
11.,11.,9.,Microsoft Access,Relational,100.63,-0.53,-30.09,https://db-engines.com/en/system/Microsoft+Access,
