Rank_Jun-2023,Rank_May-2023,Rank_Jun-2022,DBMS,Database Model,Score_Jun-2023,Score_May-2023,Score_Jun-2022,DBMS_insitelink,Multi_model_info
281.,288.,300.,Fluree,Graph,0.65,+0.06,+0.49,https://db-engines.com/en/system/Fluree,
282.,302.,235.,YDB,Multi-model,0.64,+0.15,+0.11,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
283.,267.,324.,Transbase,Relational,0.63,-0.10,+0.55,https://db-engines.com/en/system/Transbase,
284.,278.,298.,HyperGraphDB,Graph,0.62,-0.03,+0.46,https://db-engines.com/en/system/HyperGraphDB,
285.,280.,290.,Actian FastObjects,Object oriented,0.62,-0.02,+0.43,https://db-engines.com/en/system/Actian+FastObjects,
286.,285.,287.,Kyligence Enterprise,Relational,0.62,0.00,+0.39,https://db-engines.com/en/system/Kyligence+Enterprise,
287.,276.,262.,Elassandra,"Wide column, Multi-model",0.62,-0.05,+0.25,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
288.,275.,256.,Project Voldemort,Key-value,0.60,-0.07,+0.17,https://db-engines.com/en/system/Project+Voldemort,
289.,,,Vespa,Multi-model,0.59,,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
290.,305.,335.,Qdrant,Vector DBMS,0.58,+0.10,+0.54,https://db-engines.com/en/system/Qdrant,
291.,287.,282.,FlockDB,Graph,0.58,-0.01,+0.34,https://db-engines.com/en/system/FlockDB,
292.,279.,317.,EJDB,Document,0.57,-0.07,+0.48,https://db-engines.com/en/system/EJDB,
293.,290.,325.,Mulgara,RDF,0.55,-0.03,+0.47,https://db-engines.com/en/system/Mulgara,
294.,286.,245.,Tokyo Tyrant,Key-value,0.54,-0.06,+0.08,https://db-engines.com/en/system/Tokyo+Tyrant,
295.,295.,281.,Axibase,Time Series,0.54,+0.00,+0.30,https://db-engines.com/en/system/Axibase,
296.,291.,279.,Comdb2,Relational,0.54,-0.05,+0.28,https://db-engines.com/en/system/Comdb2,
297.,296.,312.,RedStore,RDF,0.53,0.00,+0.41,https://db-engines.com/en/system/RedStore,
298.,292.,296.,CubicWeb,RDF,0.51,-0.05,+0.34,https://db-engines.com/en/system/CubicWeb,
299.,307.,363.,Elliptics,Key-value,0.51,+0.04,+0.51,https://db-engines.com/en/system/Elliptics,
300.,289.,271.,Brytlyt,Relational,0.50,-0.08,+0.20,https://db-engines.com/en/system/Brytlyt,
301.,,,Deep Lake,Vector DBMS,0.50,,,https://db-engines.com/en/system/Deep+Lake,
302.,303.,252.,Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.50,+0.02,+0.06,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,
303.,322.,294.,Cloudflare Workers KV,Key-value,0.49,+0.10,+0.31,https://db-engines.com/en/system/Cloudflare+Workers+KV,
304.,306.,303.,ElevateDB,Relational,0.49,+0.01,+0.35,https://db-engines.com/en/system/ElevateDB,
305.,294.,278.,PipelineDB,Relational,0.49,-0.06,+0.23,https://db-engines.com/en/system/PipelineDB,
306.,300.,276.,TransLattice,Relational,0.49,0.00,+0.22,https://db-engines.com/en/system/TransLattice,
307.,312.,240.,Alibaba Cloud ApsaraDB for PolarDB,Relational,0.49,+0.05,-0.01,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,
308.,293.,277.,Mimer SQL,Relational,0.47,-0.09,+0.21,https://db-engines.com/en/system/Mimer+SQL,
309.,301.,295.,NEventStore,Event,0.47,-0.02,+0.30,https://db-engines.com/en/system/NEventStore,
310.,315.,359.,STSdb,Key-value,0.47,+0.03,+0.46,https://db-engines.com/en/system/STSdb,
311.,328.,313.,XtremeData,Relational,0.45,+0.08,+0.34,https://db-engines.com/en/system/XtremeData,
312.,318.,,CnosDB,Time Series,0.44,+0.03,,https://db-engines.com/en/system/CnosDB,
313.,297.,288.,HugeGraph,Graph,0.44,-0.07,+0.23,https://db-engines.com/en/system/HugeGraph,
314.,309.,350.,Speedb,Key-value,0.44,-0.02,+0.43,https://db-engines.com/en/system/Speedb,
315.,310.,249.,Alibaba Cloud Log Service,Search engine,0.43,-0.02,-0.02,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,
316.,299.,275.,FeatureBase,Relational,0.42,-0.08,+0.15,https://db-engines.com/en/system/FeatureBase,
317.,304.,301.,AnzoGraph DB,Multi-model,0.42,-0.06,+0.27,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store"
318.,323.,318.,Actian PSQL,Relational,0.42,+0.04,+0.33,https://db-engines.com/en/system/Actian+PSQL,
319.,308.,,Marqo,Search engine,0.41,-0.05,,https://db-engines.com/en/system/Marqo,
320.,298.,319.,GraphBase,Graph,0.41,-0.09,+0.32,https://db-engines.com/en/system/GraphBase,
321.,329.,,Ultipa,Graph,0.41,+0.04,,https://db-engines.com/en/system/Ultipa,
322.,317.,297.,LeanXcale,Multi-model,0.41,-0.01,+0.24,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS"
323.,311.,349.,Dydra,RDF,0.40,-0.04,+0.39,https://db-engines.com/en/system/Dydra,
324.,316.,302.,GeoSpock,"Relational, Multi-model",0.38,-0.04,+0.23,https://db-engines.com/en/system/GeoSpock,"Relational DBMS,Time Series DBMS"
325.,333.,343.,Upscaledb,Key-value,0.37,+0.01,+0.35,https://db-engines.com/en/system/Upscaledb,
326.,314.,328.,RDFox,Multi-model,0.37,-0.06,+0.31,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS"
327.,321.,293.,TinkerGraph,Graph,0.37,-0.03,+0.19,https://db-engines.com/en/system/TinkerGraph,
328.,345.,311.,Linter,"Relational, Multi-model",0.37,+0.07,+0.25,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS"
329.,319.,363.,Exorbyte,Search engine,0.37,-0.05,+0.37,https://db-engines.com/en/system/Exorbyte,
330.,313.,283.,Riak TS,Time Series,0.35,-0.08,+0.12,https://db-engines.com/en/system/Riak+TS,
331.,330.,362.,BrightstarDB,RDF,0.35,-0.02,+0.34,https://db-engines.com/en/system/BrightstarDB,
332.,320.,358.,Machbase,Time Series,0.34,-0.06,+0.34,https://db-engines.com/en/system/Machbase,
333.,342.,363.,TomP2P,Key-value,0.34,+0.03,+0.34,https://db-engines.com/en/system/TomP2P,
334.,337.,355.,Siaqodb,Object oriented,0.34,-0.01,+0.33,https://db-engines.com/en/system/Siaqodb,
335.,339.,363.,Eloquera,Object oriented,0.34,+0.00,+0.34,https://db-engines.com/en/system/Eloquera,
336.,325.,336.,Bangdb,Multi-model,0.33,-0.05,+0.29,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS"
337.,354.,363.,SiteWhere,Time Series,0.32,+0.06,+0.32,https://db-engines.com/en/system/SiteWhere,
338.,332.,305.,ArcadeDB,Multi-model,0.31,-0.06,+0.18,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS"
339.,341.,334.,BigObject,Relational,0.30,-0.02,+0.26,https://db-engines.com/en/system/BigObject,
340.,357.,,AntDB,Relational,0.30,+0.04,,https://db-engines.com/en/system/AntDB,
341.,327.,363.,IRONdb,Time Series,0.30,-0.07,+0.30,https://db-engines.com/en/system/IRONdb,
342.,334.,309.,TerminusDB,"Graph, Multi-model",0.30,-0.06,+0.18,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store"
343.,353.,,Skytable,Key-value,0.30,+0.03,,https://db-engines.com/en/system/Skytable,
344.,326.,323.,Manticore Search,"Search engine, Multi-model",0.29,-0.08,+0.21,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS"
345.,324.,289.,Valentina Server,Relational,0.29,-0.09,+0.10,https://db-engines.com/en/system/Valentina+Server,
346.,335.,338.,Kyoto Tycoon,Key-value,0.29,-0.07,+0.25,https://db-engines.com/en/system/Kyoto+Tycoon,
347.,366.,272.,Faircom DB,Multi-model,0.28,+0.05,-0.01,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS"
348.,350.,266.,Tibco ComputeDB,Relational,0.28,+0.00,-0.07,https://db-engines.com/en/system/Tibco+ComputeDB,
349.,331.,307.,Immudb,"Key-value, Multi-model",0.28,-0.09,+0.15,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS"
350.,338.,321.,Quasardb,Time Series,0.27,-0.07,+0.19,https://db-engines.com/en/system/Quasardb,
