Rank_Jan-2024,Rank_Dec-2023,Rank_Jan-2023,DBMS,Database Model,Score_Jan-2024,Score_Dec-2023,Score_Jan-2023,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1247.49,-9.92,+2.33,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1123.46,-3.18,-88.50,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",876.60,-27.23,-42.79,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",648.96,-1.94,+34.11,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",417.48,-1.67,-37.70,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",159.38,+1.03,-18.17,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,8.,Elasticsearch,"Search engine, Multi-model",136.07,-1.68,-5.09,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,8.,7.,IBM Db2,"Relational, Multi-model",132.41,-2.19,-11.16,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,10.,11.,Snowflake,Relational,125.92,+6.04,+8.66,https://db-engines.com/en/system/Snowflake,
10.,9.,9.,Microsoft Access,Relational,117.67,-4.08,-15.69,https://db-engines.com/en/system/Microsoft+Access,
11.,11.,10.,SQLite,Relational,115.20,-2.75,-16.29,https://db-engines.com/en/system/SQLite,
12.,12.,12.,Cassandra,"Wide column, Multi-model",111.04,-1.16,-5.27,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,13.,MariaDB,"Relational, Multi-model",99.23,-1.19,-0.12,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,92.72,-3.57,+4.32,https://db-engines.com/en/system/Splunk,
15.,15.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",81.07,-1.96,+0.70,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,16.,15.,Amazon DynamoDB,Multi-model,80.94,-1.47,-0.61,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
17.,17.,19.,Databricks,Multi-model,80.53,+0.22,+19.71,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
18.,18.,17.,Hive,Relational,66.96,-2.45,-7.39,https://db-engines.com/en/system/Hive,
19.,19.,21.,Google BigQuery,Relational,63.48,+1.31,+9.05,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,18.,Teradata,"Relational, Multi-model",53.18,-2.51,-12.25,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
21.,21.,22.,FileMaker,Relational,52.04,-2.14,-1.04,https://db-engines.com/en/system/FileMaker,
22.,22.,20.,Neo4j,Graph,48.18,-1.81,-7.66,https://db-engines.com/en/system/Neo4j,
23.,23.,23.,SAP HANA,"Relational, Multi-model",46.44,-2.36,-4.90,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
