Rank_Apr-2025,Rank_Mar-2025,Rank_Apr-2024,DBMS,Database Model,Score_Apr-2025,Score_Mar-2025,Score_Apr-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1231.05,-22.03,-3.21,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",987.11,-1.02,-100.62,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",785.01,-3.13,-44.79,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",667.25,+3.82,+22.20,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",400.05,+3.63,-23.91,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,9.,Snowflake,Relational,168.09,+6.31,+44.89,https://db-engines.com/en/system/Snowflake,
7.,7.,6.,Redis,"Key-value, Multi-model",154.11,-1.25,-2.33,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,8.,7.,Elasticsearch,Multi-model,128.08,-3.30,-6.70,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
9.,9.,8.,IBM Db2,"Relational, Multi-model",126.04,-0.53,-1.45,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,10.,SQLite,Relational,114.09,+1.01,-1.92,https://db-engines.com/en/system/SQLite,
11.,11.,12.,Apache Cassandra,"Wide column, Multi-model",108.21,+1.55,+4.34,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,13.,17.,Databricks,Multi-model,99.29,+3.28,+22.96,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
13.,12.,11.,Microsoft Access,Relational,95.36,-1.35,-10.04,https://db-engines.com/en/system/Microsoft+Access,
14.,14.,13.,MariaDB,"Relational, Multi-model",94.34,+0.11,+0.53,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,16.,16.,Amazon DynamoDB,Multi-model,76.49,-0.08,-1.08,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,17.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",75.37,+1.46,-3.03,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,15.,14.,Splunk,Search engine,73.38,-5.49,-15.33,https://db-engines.com/en/system/Splunk,
18.,18.,18.,Apache Hive,Relational,72.65,+2.57,+10.07,https://db-engines.com/en/system/Apache+Hive,
19.,19.,19.,Google BigQuery,Relational,60.73,+2.77,-1.17,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,23.,Neo4j,Graph,47.59,+1.44,+3.12,https://db-engines.com/en/system/Neo4j,
21.,21.,20.,FileMaker,Relational,36.48,-2.58,-13.25,https://db-engines.com/en/system/FileMaker,
22.,23.,21.,Teradata,"Relational, Multi-model",34.08,+0.04,-13.77,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,22.,22.,SAP HANA,"Relational, Multi-model",33.40,-0.87,-12.44,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,24.,Apache Solr,"Search engine, Multi-model",32.40,-0.26,-11.88,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",28.79,-0.21,-8.33,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,22.55,+0.28,-7.29,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
27.,26.,26.,Apache HBase,Wide column,22.12,-1.97,-9.13,https://db-engines.com/en/system/Apache+HBase,
28.,28.,28.,InfluxDB,"Time Series, Multi-model",21.54,+0.04,-5.03,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,30.,33.,Apache Spark (SQL),Relational,20.40,+0.64,+1.24,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
30.,29.,29.,PostGIS,"Spatial, Multi-model",19.61,-0.35,-4.29,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
31.,31.,37.,ClickHouse,"Relational, Multi-model",18.73,+0.12,+2.53,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
32.,32.,38.,OpenSearch,Multi-model,17.19,+0.22,+1.54,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
33.,33.,31.,Firebird,Relational,16.74,-0.08,-4.32,https://db-engines.com/en/system/Firebird,
34.,35.,35.,Informix,"Relational, Multi-model",15.08,-0.41,-3.77,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
35.,34.,32.,Memcached,Key-value,14.97,-0.81,-5.77,https://db-engines.com/en/system/Memcached,
36.,38.,30.,Microsoft Azure Synapse Analytics,Relational,14.36,+0.17,-8.35,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
37.,37.,34.,Amazon Redshift,Relational,14.15,-0.41,-4.88,https://db-engines.com/en/system/Amazon+Redshift,
38.,36.,36.,Couchbase,Multi-model,14.04,-1.00,-4.41,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
39.,39.,39.,Firebase Realtime Database,Document,13.15,-0.33,-1.84,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,41.,41.,Apache Flink,Relational,11.41,+0.10,-0.98,https://db-engines.com/en/system/Apache+Flink,
41.,40.,40.,Apache Impala,"Relational, Multi-model",11.22,-0.36,-2.80,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
42.,42.,43.,Vertica,"Relational, Multi-model",9.85,-0.28,-1.55,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,45.,47.,Greenplum,"Relational, Multi-model",7.49,-0.34,-1.73,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
44.,51.,76.,DuckDB,Relational,7.39,+0.67,+2.71,https://db-engines.com/en/system/DuckDB,
45.,47.,48.,Google Cloud Firestore,Document,7.34,+0.22,-1.63,https://db-engines.com/en/system/Google+Cloud+Firestore,
46.,44.,49.,Amazon Aurora,"Relational, Multi-model",7.33,-0.66,-1.18,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
47.,43.,44.,dBASE,Relational,7.29,-0.98,-3.88,https://db-engines.com/en/system/dBASE,
48.,50.,50.,H2,"Relational, Multi-model",7.19,+0.25,-1.03,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
49.,46.,45.,CouchDB,"Document, Multi-model",7.17,-0.17,-3.09,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
50.,49.,54.,etcd,Key-value,7.05,-0.02,-0.59,https://db-engines.com/en/system/etcd,
51.,52.,52.,Realm,Document,6.76,+0.14,-0.95,https://db-engines.com/en/system/Realm,
52.,53.,46.,Netezza,Relational,6.55,+0.09,-3.64,https://db-engines.com/en/system/Netezza,
53.,48.,53.,Kdb,Multi-model,6.49,-0.61,-1.21,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
54.,54.,51.,Prometheus,Time Series,6.48,+0.10,-1.44,https://db-engines.com/en/system/Prometheus,
55.,55.,42.,Presto,Relational,6.29,+0.17,-5.72,https://db-engines.com/en/system/Presto,
