DBMS,Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
ArangoDB,83.0,83.0,78.0,Multi-model,4.43,-0.11,-0.92,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no
"UniData,UniVerse",84.0,85.0,90.0,Multivalue,4.42,+0.04,+0.08,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
Accumulo,85.0,89.0,75.0,Wide column,4.41,+0.27,-1.00,https://db-engines.com/en/system/Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no
Ignite,86.0,86.0,72.0,Multi-model,4.32,-0.03,-1.62,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,Apache Ignite 2.6,Open Source,Apache 2.0,no
SAP IQ,87.0,82.0,85.0,Relational,4.26,-0.35,-0.30,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no
TiDB,88.0,88.0,98.0,"Relational, Multi-model",4.24,+0.08,+0.72,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed SQL database that supports Hybrid Transactional/Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"7.5.0, December 2023",Open Source,Apache 2.0,no
OrientDB,89.0,96.0,84.0,Multi-model,4.1,+0.32,-0.47,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.23, September 2023",Open Source,Apache version 2,no
Google Cloud Bigtable,90.0,87.0,81.0,Multi-model,4.06,-0.21,-0.95,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes
DuckDB,91.0,93.0,153.0,Relational,4.05,+0.03,+2.48,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"0.9, September 2023",Open Source,MIT License,no
Google Cloud Spanner,92.0,97.0,87.0,Relational,4.02,+0.43,-0.44,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
Oracle NoSQL,93.0,91.0,92.0,Multi-model,4.02,-0.04,-0.26,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"23.3, December 2023",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
RocksDB,94.0,90.0,88.0,Key-value,4.0,-0.11,-0.43,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"8.8.1, November 2023",Open Source,BSD,no
GemFire,95.0,95.0,,"Key-value, Multi-model",3.97,0.00,,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no
DolphinDB,96.0,94.0,125.0,"Time Series, Multi-model",3.91,-0.09,+1.55,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
RavenDB,97.0,98.0,95.0,"Document, Multi-model",3.9,+0.34,-0.33,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no
OpenEdge,98.0,92.0,89.0,Relational,3.86,-0.19,-0.55,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
IBM Cloudant,99.0,101.0,91.0,Document,3.63,+0.24,-0.65,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
Infinispan,100.0,99.0,100.0,Key-value,3.59,+0.05,+0.25,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no
MaxDB,101.0,100.0,99.0,Relational,3.52,+0.08,+0.09,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10 (January 2020), 2020",commercial,Limited community edition free,no
YugabyteDB,102.0,103.0,86.0,"Relational, Multi-model",3.37,0.00,-1.10,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2.19, September 2023",Open Source,Apache 2.0,no
Pinecone,103.0,105.0,,Vector,3.36,+0.05,,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes
Apache Druid,104.0,108.0,128.0,Multi-model,3.33,+0.24,+1.11,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"28.0.0, November 2023",Open Source,Apache license v2,no
RethinkDB,105.0,111.0,101.0,"Document, Multi-model",3.32,+0.34,+0.04,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no
TDengine,106.0,117.0,138.0,"Time Series, Multi-model",3.21,+0.36,+1.29,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"GPL V3, also commercial editions available",no
4D,107.0,109.0,118.0,Relational,3.2,+0.15,+0.63,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no
LevelDB,108.0,104.0,96.0,Key-value,3.19,-0.14,-0.47,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no
Memgraph,109.0,107.0,200.0,Graph,3.18,+0.08,+2.13,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,commercial,Free license available,no
Oracle Berkeley DB,110.0,102.0,106.0,Multi-model,3.14,-0.25,+0.08,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
HEAVY.AI,111.0,106.0,126.0,"Relational, Multi-model",3.01,-0.09,+0.75,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no
Apache Phoenix,112.0,115.0,107.0,Relational,2.96,+0.10,-0.08,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
PouchDB,113.0,114.0,97.0,Document,2.91,-0.01,-0.61,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no
EXASOL,114.0,112.0,103.0,Relational,2.91,-0.04,-0.21,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
CloudKit,115.0,110.0,114.0,Document,2.86,-0.14,+0.18,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
RRDtool,116.0,119.0,115.0,Time Series,2.81,+0.02,+0.16,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
Citus,117.0,121.0,104.0,"Relational, Multi-model",2.81,+0.12,-0.30,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
Apache Drill,118.0,113.0,108.0,Multi-model,2.8,-0.14,-0.20,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
InterSystems Caché,119.0,122.0,110.0,Multi-model,2.8,+0.13,-0.11,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store",InterSystems,A multi-model DBMS and application server,1997.0,"2018.1.4, May 2020",commercial,,no
GraphDB,120.0,120.0,121.0,Multi-model,2.77,+0.03,+0.31,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.4, October 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no
EDB Postgres,121.0,116.0,117.0,"Relational, Multi-model",2.77,-0.08,+0.19,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
Amazon Neptune,122.0,127.0,111.0,Multi-model,2.76,+0.28,-0.13,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
LMDB,123.0,125.0,112.0,Key-value,2.75,+0.21,-0.01,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.31, July 2023",Open Source,,no
InterSystems IRIS,124.0,118.0,116.0,Multi-model,2.71,-0.09,+0.12,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2021.1, June 2021",commercial,,no
NebulaGraph,125.0,126.0,186.0,Graph,2.67,+0.13,+1.52,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
Coveo,126.0,123.0,133.0,Search engine,2.65,-0.01,+0.54,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
Percona Server for MySQL,127.0,131.0,102.0,Relational,2.61,+0.25,-0.57,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.32-24, 2023",Open Source,GPL version 2,no
Geode,128.0,129.0,137.0,Key-value,2.6,+0.15,+0.61,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no
Amazon SimpleDB,129.0,130.0,122.0,Key-value,2.55,+0.12,+0.12,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
Amazon CloudSearch,130.0,132.0,120.0,Search engine,2.49,+0.18,+0.03,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
IMS,131.0,124.0,113.0,Navigational,2.48,-0.17,-0.20,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no
Oracle Coherence,132.0,128.0,119.0,Key-value,2.48,+0.01,-0.01,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"12c, September 2016",commercial,,no
Datomic,133.0,135.0,132.0,Relational,2.44,+0.15,+0.30,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.6735, June 2023",commercial,limited edition free,no
Firebolt,134.0,134.0,,Relational,2.42,+0.13,,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes
SpatiaLite,135.0,136.0,129.0,"Spatial DBMS, Multi-model",2.4,+0.17,+0.19,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
Empress,136.0,141.0,170.0,Relational,2.31,+0.16,+0.94,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no
QuestDB,137.0,146.0,147.0,"Time Series, Multi-model",2.31,+0.30,+0.57,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
JanusGraph,138.0,143.0,109.0,Graph,2.3,+0.20,-0.69,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"0.6.3, February 2023",Open Source,Apache 2.0,no
Stardog,139.0,133.0,150.0,Multi-model,2.28,-0.02,+0.62,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
Chroma,140.0,140.0,,Vector,2.27,+0.10,,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no
GridDB,141.0,147.0,143.0,"Time Series, Multi-model",2.23,+0.24,+0.41,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
BaseX,142.0,139.0,144.0,Native XML,2.23,+0.04,+0.43,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"10.7, August 2023",Open Source,BSD license,no
MonetDB,143.0,137.0,127.0,"Relational, Multi-model",2.2,-0.02,-0.05,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Jul2021-SP2, July 2021",Open Source,Mozilla Public License 2.0,no
Db4o,144.0,149.0,145.0,Object oriented,2.15,+0.21,+0.36,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no
Amazon DocumentDB,145.0,142.0,141.0,Document,2.14,+0.03,+0.28,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
jBASE,146.0,138.0,140.0,Multivalue,2.07,-0.13,+0.21,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no
GridGain,147.0,152.0,124.0,Multi-model,2.07,+0.16,-0.31,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on,Apache Ignite",2007.0,GridGain 8.5.1,commercial,,no
OpenTSDB,148.0,155.0,123.0,Time Series,2.05,+0.18,-0.34,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,"Scalable Time Series DBMS based on,HBase",2011.0,,Open Source,LGPL,no
Weaviate,149.0,150.0,281.0,Vector,2.03,+0.09,+1.64,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no
Tibero,150.0,145.0,136.0,Relational,2.03,-0.01,+0.01,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"6, April 2015",commercial,,no
Dgraph,151.0,153.0,149.0,Graph,2.0,+0.09,+0.28,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
TigerGraph,152.0,148.0,135.0,Graph,1.97,-0.02,-0.11,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
Mnesia,153.0,144.0,154.0,Document,1.95,-0.10,+0.39,https://db-engines.com/en/system/Mnesia,,,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no
VoltDB,154.0,163.0,131.0,Relational,1.94,+0.23,-0.19,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
PlanetScale,155.0,160.0,,"Relational, Multi-model",1.93,+0.17,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes
TimesTen,156.0,162.0,134.0,Relational,1.89,+0.17,-0.22,https://db-engines.com/en/system/TimesTen,,"Oracle, TimesTen Performance Software, HP","In-Memory,RDBMS,compatible to Oracle",1998.0,11 Release 2 (11.2.2.8.0),commercial,,no
Actian NoSQL Database,157.0,161.0,152.0,Object oriented,1.85,+0.09,+0.24,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no
Tarantool,158.0,151.0,146.0,Multi-model,1.84,-0.10,+0.07,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no
SQLBase,159.0,154.0,151.0,Relational,1.83,-0.08,+0.21,https://db-engines.com/en/system/SQLBase,,,,1985.0,,commercial,,no
Sedna,160.0,156.0,179.0,Native XML,1.81,+0.01,+0.61,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no
FoundationDB,161.0,164.0,142.0,Multi-model,1.8,+0.10,-0.03,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no
IBM Db2 warehouse,162.0,166.0,130.0,Relational,1.79,+0.18,-0.37,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
Fauna,163.0,158.0,139.0,Multi-model,1.76,-0.03,-0.12,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
DataEase,164.0,172.0,171.0,Relational,1.75,+0.25,+0.38,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
ObjectStore,165.0,168.0,148.0,Object oriented,1.73,+0.16,+0.01,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no
LiteDB,166.0,170.0,156.0,Document,1.72,+0.16,+0.19,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
Giraph,167.0,177.0,166.0,Graph,1.72,+0.28,+0.31,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no
GT.M,168.0,178.0,168.0,Key-value,1.71,+0.28,+0.31,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no
OceanBase,169.0,157.0,177.0,"Relational, Multi-model",1.68,-0.10,+0.48,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2011.0,"3.2.3, March 2022",Open Source,Commercial license available,no
D3,170.0,174.0,196.0,Multivalue,1.64,+0.14,+0.57,https://db-engines.com/en/system/D3,,,,1999.0,,commercial,,no
mSQL,171.0,169.0,158.0,Relational,1.63,+0.06,+0.13,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no
Datameer,172.0,159.0,159.0,Document,1.55,-0.22,+0.07,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
Cubrid,173.0,173.0,162.0,Relational,1.54,+0.04,+0.11,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.0, January 2021",Open Source,Apache Version 2.0,no
NonStop SQL,174.0,167.0,167.0,Relational,1.52,-0.07,+0.12,https://db-engines.com/en/system/NonStop+SQL,,"HP, originally by Tandem",,1987.0,,commercial,,no
Milvus,175.0,171.0,244.0,Vector,1.49,-0.02,+0.83,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.2, November 2022",Open Source,Apache Version 2.0,no
ObjectBox,176.0,179.0,157.0,"Object oriented, Multi-model",1.48,+0.11,-0.06,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS",ObjectBox Limited,"Extremely fast embedded database for small devices, IoT and Mobile",2017.0,,Open Source,Apache License 2.0,no
Oracle Rdb,177.0,185.0,160.0,Relational,1.47,+0.18,+0.03,https://db-engines.com/en/system/Oracle+Rdb,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",,1984.0,"7.4.1.1, 2021",commercial,,no
VictoriaMetrics,178.0,175.0,209.0,Time Series,1.47,-0.01,+0.49,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no
GBase,179.0,184.0,165.0,Relational,1.46,+0.17,+0.06,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,GBase 8a,commercial,,no
HFSQL,180.0,180.0,169.0,Relational,1.46,+0.09,+0.08,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no
Infobright,181.0,165.0,161.0,Relational,1.42,-0.19,-0.01,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no
SQL.JS,182.0,189.0,180.0,Relational,1.42,+0.16,+0.22,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no
Apache Kylin,183.0,176.0,155.0,Relational,1.39,-0.07,-0.15,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no
EventStoreDB,184.0,190.0,176.0,Event,1.38,+0.13,+0.13,https://db-engines.com/en/system/EventStoreDB,,Event Store Limited,"Industrial-strength, open-source database solution built from the ground up for event sourcing.",2012.0,"21.2, February 2021",Open Source,,no
Apache HAWQ,185.0,194.0,172.0,Relational,1.38,+0.19,+0.02,https://db-engines.com/en/system/Apache+HAWQ,,Pivotal Software; Apache,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,2012.0,,Open Source,,no
GigaSpaces,186.0,186.0,173.0,Multi-model,1.36,+0.07,+0.05,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no
Dolt,187.0,211.0,212.0,"Relational, Multi-model",1.36,+0.30,+0.45,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no
Northgate Reality,188.0,188.0,218.0,Multivalue,1.35,+0.10,+0.50,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no
Meilisearch,189.0,181.0,206.0,Search engine,1.35,+0.00,+0.35,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no
1010data,190.0,200.0,190.0,Relational,1.34,+0.20,+0.23,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no
Perst,191.0,183.0,184.0,Object oriented,1.34,+0.03,+0.19,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no
