category_label,Multi_model_info,DBMS,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
Relational,"Relational DBMS,Spatial DBMS",SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,,,,43.58,25,,,"SAP, Sybase",1987.0,,N,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Wide column,Wide column store,HBase,https://db-engines.com/en/system/HBase,Y,,apache/hbase,40.41,26,apache,hbase,Apache Software Foundation,2008.0,2021.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,39.75,27,-,-,Microsoft,2014.0,,N,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
Spatial DBMS,"Spatial DBMS,Relational DBMS",PostGIS,https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,30.78,28,postgis,postgis,,2005.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Time Series,"Time Series DBMS,Spatial DBMS",InfluxDB,https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,29.96,29,influxdata,influxdb,,2013.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Document,"Document store,Key-value store,Spatial DBMS",Couchbase,https://db-engines.com/en/system/Couchbase,Y,,couchbase/couchbase-lite-ios,28.62,30,couchbase,couchbase-lite-ios,"Couchbase, Inc.",2011.0,2021.0,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Relational,Relational DBMS,Amazon Redshift,https://db-engines.com/en/system/Amazon+Redshift,,,,27.04,31,,,"Amazon (based on,PostgreSQL,)",2012.0,,N,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Firebird,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,25.37,32,FirebirdSQL,firebird,Firebird Foundation,2000.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,Memcached,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,24.45,33,memcached,memcached,Danga Interactive,2003.0,2022.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Microsoft Azure Synapse Analytics,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,,,23.03,34,,,Microsoft,2016.0,,N,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",Informix,https://db-engines.com/en/system/Informix,N,Y,-,22.82,35,-,-,"IBM, HCL Technologies",1984.0,2020.0,N,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
Relational,Relational DBMS,Spark SQL,https://db-engines.com/en/system/Spark+SQL,,,,21.9,36,,,Apache Software Foundation,2014.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,Document store,Firebase Realtime Database,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,19.84,37,-,-,Google,2012.0,,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",Vertica,https://db-engines.com/en/system/Vertica,N,Y,-,19.7,38,-,-,Micro Focus,2005.0,2022.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Relational,"Relational DBMS,Document store",Impala,https://db-engines.com/en/system/Impala,,,,17.92,39,,,Cloudera,2013.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Netezza,https://db-engines.com/en/system/Netezza,,,,17.27,40,,,IBM,2000.0,,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Spatial DBMS",CouchDB,https://db-engines.com/en/system/CouchDB,Y,,apache/couchdb,15.98,41,apache,couchdb,Apache Software Foundation,2005.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Relational,Relational DBMS,Presto,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,15.15,42,prestodb,presto,Facebook; Presto Foundation,2013.0,,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,dBASE,https://db-engines.com/en/system/dBASE,,,,14.25,43,,,Asthon Tate,1979.0,2019.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Time Series DBMS",ClickHouse,https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,13.88,44,ClickHouse,ClickHouse,Clickhouse Inc.,2016.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Relational,"Relational DBMS,Document store",Amazon Aurora,https://db-engines.com/en/system/Amazon+Aurora,,,,12.66,45,,,Amazon,2015.0,,N,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
