Rank_Sep-2023,Rank_Aug-2023,Rank_Sep-2022,DBMS,Database Model,Score_Sep-2023,Score_Aug-2023,Score_Sep-2022,DBMS_insitelink,Multi_model_info
37.,37.,35.,Spark SQL,Relational,19.21,+0.19,-3.40,https://db-engines.com/en/system/Spark+SQL,
38.,38.,38.,Firebase Realtime Database,Document,17.58,+0.06,-1.49,https://db-engines.com/en/system/Firebase+Realtime+Database,
39.,39.,44.,ClickHouse,"Relational, Multi-model",15.19,-0.09,+1.74,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
40.,42.,43.,Presto,Relational,14.85,-0.03,+1.22,https://db-engines.com/en/system/Presto,
41.,43.,42.,dBASE,Relational,14.63,-0.21,-0.21,https://db-engines.com/en/system/dBASE,
42.,41.,37.,Vertica,"Relational, Multi-model",14.36,-0.67,-5.67,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,40.,39.,Netezza,Relational,14.27,-0.95,-3.65,https://db-engines.com/en/system/Netezza,
44.,44.,41.,CouchDB,"Document, Multi-model",13.98,+0.10,-2.58,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
45.,45.,,Apache Flink,Relational,13.92,+1.05,,https://db-engines.com/en/system/Apache+Flink,
46.,46.,53.,OpenSearch,"Search engine, Multi-model",12.61,+0.17,+3.80,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
47.,48.,47.,Google Cloud Firestore,Document,10.78,+0.47,+0.51,https://db-engines.com/en/system/Google+Cloud+Firestore,
48.,47.,45.,Greenplum,"Relational, Multi-model",10.60,+0.09,-2.25,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
49.,49.,46.,Amazon Aurora,"Relational, Multi-model",9.12,-0.23,-3.73,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
50.,52.,50.,etcd,Key-value,9.03,+0.34,-0.47,https://db-engines.com/en/system/etcd,
51.,54.,57.,Kdb,Multi-model,8.94,+0.52,+0.81,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
52.,50.,49.,H2,"Relational, Multi-model",8.78,-0.19,-0.94,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
53.,51.,54.,Oracle Essbase,Relational,8.32,-0.52,-0.33,https://db-engines.com/en/system/Oracle+Essbase,
54.,53.,51.,MarkLogic,Multi-model,8.17,-0.27,-1.31,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
55.,56.,52.,Realm,Document,8.10,+0.17,-1.21,https://db-engines.com/en/system/Realm,
56.,55.,48.,Hazelcast,"Key-value, Multi-model",7.87,-0.06,-2.19,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
57.,57.,68.,Prometheus,Time Series,7.62,-0.22,+1.09,https://db-engines.com/en/system/Prometheus,
58.,58.,55.,Algolia,Search engine,7.61,+0.39,-0.63,https://db-engines.com/en/system/Algolia,
59.,61.,59.,CockroachDB,Relational,6.89,+0.11,-0.68,https://db-engines.com/en/system/CockroachDB,
60.,62.,65.,Aerospike,Multi-model,6.85,+0.14,+0.20,https://db-engines.com/en/system/Aerospike,"Document store,Key-value store,Spatial DBMS"
61.,63.,78.,Derby,Relational,6.84,+0.18,+1.60,https://db-engines.com/en/system/Derby,
62.,60.,56.,Datastax Enterprise,"Wide column, Multi-model",6.69,-0.34,-1.48,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
63.,59.,60.,Microsoft Azure Data Explorer,"Relational, Multi-model",6.66,-0.40,-0.69,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
64.,64.,62.,Ehcache,Key-value,6.45,-0.13,-0.41,https://db-engines.com/en/system/Ehcache,
65.,66.,87.,ScyllaDB,"Wide column, Multi-model",6.37,-0.07,+2.06,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
66.,65.,76.,Jackrabbit,Content,6.33,-0.16,+0.85,https://db-engines.com/en/system/Jackrabbit,
67.,69.,58.,Microsoft Azure Search,Search engine,6.17,+0.05,-1.45,https://db-engines.com/en/system/Microsoft+Azure+Search,
68.,68.,92.,Trino,"Relational, Multi-model",6.07,-0.10,+2.28,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
69.,67.,71.,Interbase,Relational,6.06,-0.16,-0.01,https://db-engines.com/en/system/Interbase,
70.,70.,63.,Sphinx,Search engine,6.05,-0.03,-0.71,https://db-engines.com/en/system/Sphinx,
71.,73.,75.,Microsoft Azure Table Storage,Wide column,5.94,+0.18,+0.28,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
72.,75.,105.,Apache Jena - TDB,RDF,5.70,+0.13,+2.71,https://db-engines.com/en/system/Apache+Jena+-+TDB,
73.,71.,61.,SingleStore,"Relational, Multi-model",5.67,-0.37,-1.59,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
74.,72.,74.,SAP SQL Anywhere,Relational,5.61,-0.18,-0.07,https://db-engines.com/en/system/SAP+SQL+Anywhere,
75.,76.,70.,Ingres,Relational,5.56,+0.05,-0.55,https://db-engines.com/en/system/Ingres,
76.,79.,69.,Riak KV,Key-value,5.54,+0.33,-0.71,https://db-engines.com/en/system/Riak+KV,
77.,74.,67.,Graphite,Time Series,5.45,-0.15,-1.11,https://db-engines.com/en/system/Graphite,
78.,82.,66.,Google Cloud Datastore,Document,5.43,+0.32,-1.18,https://db-engines.com/en/system/Google+Cloud+Datastore,
79.,81.,80.,TimescaleDB,"Time Series, Multi-model",5.39,+0.28,+0.53,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
80.,85.,73.,Virtuoso,Multi-model,5.38,+0.59,-0.57,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
81.,77.,90.,Accumulo,Wide column,4.97,-0.49,+0.84,https://db-engines.com/en/system/Accumulo,
82.,78.,77.,HyperSQL,Relational,4.91,-0.34,-0.47,https://db-engines.com/en/system/HyperSQL,
83.,84.,82.,SAP IQ,Relational,4.86,-0.02,+0.18,https://db-engines.com/en/system/SAP+IQ,
84.,80.,83.,Adabas,Multivalue,4.68,-0.46,+0.02,https://db-engines.com/en/system/Adabas,
85.,88.,79.,Google Cloud Bigtable,Multi-model,4.49,-0.20,-0.54,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
86.,83.,64.,Ignite,Multi-model,4.39,-0.51,-2.32,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS"
87.,87.,81.,OrientDB,Multi-model,4.33,-0.36,-0.48,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
88.,86.,85.,"UniData,UniVerse",Multivalue,4.32,-0.44,-0.10,https://db-engines.com/en/system/UniData%2CUniVerse,
89.,90.,72.,ArangoDB,Multi-model,4.29,-0.08,-1.74,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
90.,89.,,GemFire,"Key-value, Multi-model",4.19,-0.26,,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
91.,91.,84.,OpenEdge,Relational,4.05,-0.18,-0.41,https://db-engines.com/en/system/OpenEdge,
92.,102.,144.,DolphinDB,"Time Series, Multi-model",4.04,+0.55,+2.42,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS"
93.,92.,91.,RavenDB,"Document, Multi-model",4.02,-0.13,-0.10,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
94.,96.,89.,RocksDB,Key-value,3.92,+0.07,-0.34,https://db-engines.com/en/system/RocksDB,
95.,94.,86.,Oracle NoSQL,Multi-model,3.84,-0.06,-0.56,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
96.,97.,96.,RethinkDB,"Document, Multi-model",3.73,-0.10,+0.19,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
97.,95.,93.,IBM Cloudant,Document,3.68,-0.18,-0.09,https://db-engines.com/en/system/IBM+Cloudant,
98.,101.,95.,MaxDB,Relational,3.65,+0.14,-0.08,https://db-engines.com/en/system/MaxDB,
99.,93.,101.,Infinispan,Key-value,3.63,-0.27,+0.33,https://db-engines.com/en/system/Infinispan,
100.,98.,88.,Google Cloud Spanner,Relational,3.62,-0.10,-0.68,https://db-engines.com/en/system/Google+Cloud+Spanner,
101.,103.,94.,TiDB,"Relational, Multi-model",3.46,+0.01,-0.28,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
102.,100.,106.,Oracle Berkeley DB,Multi-model,3.46,-0.12,+0.48,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
103.,108.,210.,DuckDB,Relational,3.40,+0.16,+2.63,https://db-engines.com/en/system/DuckDB,
104.,107.,119.,InterSystems IRIS,Multi-model,3.39,+0.13,+0.93,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
105.,99.,100.,YugabyteDB,"Relational, Multi-model",3.31,-0.27,-0.07,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
106.,105.,114.,Apache Druid,Multi-model,3.20,-0.10,+0.57,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
107.,113.,98.,PouchDB,Document,3.17,-0.01,-0.31,https://db-engines.com/en/system/PouchDB,
108.,104.,117.,RRDtool,Time Series,3.14,-0.16,+0.62,https://db-engines.com/en/system/RRDtool,
109.,106.,108.,InterSystems Caché,Multi-model,3.11,-0.19,+0.21,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store"
110.,109.,97.,SAP Advantage Database Server,Relational,3.10,-0.12,-0.39,https://db-engines.com/en/system/SAP+Advantage+Database+Server,
111.,112.,110.,4D,Relational,3.09,-0.09,+0.31,https://db-engines.com/en/system/4D,
112.,111.,99.,LevelDB,Key-value,3.04,-0.15,-0.34,https://db-engines.com/en/system/LevelDB,
113.,130.,,Pinecone,Vector DBMS,3.01,+0.40,,https://db-engines.com/en/system/Pinecone,
114.,110.,136.,HEAVY.AI,"Relational, Multi-model",2.98,-0.21,+1.25,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
115.,117.,261.,Memgraph,Graph,2.88,0.00,+2.48,https://db-engines.com/en/system/Memgraph,
116.,116.,109.,Percona Server for MySQL,Relational,2.87,-0.05,+0.09,https://db-engines.com/en/system/Percona+Server+for+MySQL,
117.,120.,107.,Apache Drill,Multi-model,2.86,+0.10,-0.13,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
118.,124.,104.,EXASOL,Relational,2.85,+0.19,-0.22,https://db-engines.com/en/system/EXASOL,
119.,119.,127.,EDB Postgres,"Relational, Multi-model",2.84,+0.08,+0.72,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
120.,115.,134.,Geode,Key-value,2.83,-0.12,+0.99,https://db-engines.com/en/system/Geode,
121.,118.,111.,CloudKit,Document,2.82,-0.05,+0.04,https://db-engines.com/en/system/CloudKit,
122.,114.,115.,LMDB,Key-value,2.80,-0.20,+0.18,https://db-engines.com/en/system/LMDB,
123.,128.,103.,Apache Phoenix,Relational,2.79,+0.15,-0.36,https://db-engines.com/en/system/Apache+Phoenix,
124.,129.,135.,Citus,"Relational, Multi-model",2.77,+0.15,+0.94,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
125.,126.,120.,Amazon SimpleDB,Key-value,2.69,+0.03,+0.33,https://db-engines.com/en/system/Amazon+SimpleDB,
126.,131.,124.,Coveo,Search engine,2.64,+0.09,+0.46,https://db-engines.com/en/system/Coveo,
127.,127.,118.,Oracle Coherence,Key-value,2.63,-0.01,+0.14,https://db-engines.com/en/system/Oracle+Coherence,
128.,122.,157.,TDengine,"Time Series, Multi-model",2.62,-0.06,+1.31,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
129.,121.,116.,GraphDB,Multi-model,2.60,-0.10,+0.07,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
130.,125.,102.,Amazon Neptune,Multi-model,2.54,-0.13,-0.66,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
131.,123.,113.,IMS,Navigational,2.51,-0.16,-0.13,https://db-engines.com/en/system/IMS,
132.,148.,131.,MonetDB,"Relational, Multi-model",2.40,+0.15,+0.49,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
133.,137.,112.,JanusGraph,Graph,2.39,-0.01,-0.25,https://db-engines.com/en/system/JanusGraph,
134.,132.,148.,QuestDB,"Time Series, Multi-model",2.38,-0.14,+0.87,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
135.,150.,121.,Amazon CloudSearch,Search engine,2.35,+0.18,-0.01,https://db-engines.com/en/system/Amazon+CloudSearch,
136.,140.,169.,NebulaGraph,Graph,2.33,-0.01,+1.16,https://db-engines.com/en/system/NebulaGraph,
137.,136.,139.,BaseX,Native XML,2.31,-0.12,+0.62,https://db-engines.com/en/system/BaseX,
138.,135.,,Chroma,Vector DBMS,2.30,-0.15,,https://db-engines.com/en/system/Chroma,
139.,145.,130.,Amazon DocumentDB,Document,2.30,+0.02,+0.37,https://db-engines.com/en/system/Amazon+DocumentDB,
140.,133.,129.,Datomic,Relational,2.29,-0.22,+0.37,https://db-engines.com/en/system/Datomic,
141.,139.,167.,Empress,Relational,2.28,-0.07,+1.09,https://db-engines.com/en/system/Empress,
142.,138.,141.,Stardog,Multi-model,2.28,-0.08,+0.61,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
143.,134.,126.,SpatiaLite,"Spatial DBMS, Multi-model",2.24,-0.23,+0.11,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
144.,144.,138.,Db4o,Object oriented,2.23,-0.06,+0.54,https://db-engines.com/en/system/Db4o,
145.,143.,125.,TigerGraph,Graph,2.21,-0.10,+0.07,https://db-engines.com/en/system/TigerGraph,
146.,147.,190.,OceanBase,"Relational, Multi-model",2.20,-0.05,+1.27,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
147.,149.,156.,GridDB,"Time Series, Multi-model",2.17,-0.02,+0.84,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
148.,141.,137.,jBASE,Multivalue,2.12,-0.21,+0.42,https://db-engines.com/en/system/jBASE,
149.,142.,122.,GridGain,Multi-model,2.11,-0.20,-0.16,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS"
150.,146.,123.,OpenTSDB,Time Series,2.11,-0.15,-0.12,https://db-engines.com/en/system/OpenTSDB,
151.,152.,132.,Tibero,Relational,2.09,-0.01,+0.19,https://db-engines.com/en/system/Tibero,
152.,156.,,Firebolt,Relational,2.07,+0.09,,https://db-engines.com/en/system/Firebolt,
153.,151.,142.,VoltDB,Relational,2.04,-0.07,+0.37,https://db-engines.com/en/system/VoltDB,
154.,155.,158.,SQLBase,Relational,2.01,+0.02,+0.70,https://db-engines.com/en/system/SQLBase,
155.,158.,143.,ObjectStore,Object oriented,1.98,+0.03,+0.36,https://db-engines.com/en/system/ObjectStore,
156.,159.,153.,Mnesia,Document,1.95,+0.01,+0.48,https://db-engines.com/en/system/Mnesia,
157.,153.,133.,TimesTen,Relational,1.90,-0.18,+0.02,https://db-engines.com/en/system/TimesTen,
158.,167.,161.,GT.M,Key-value,1.90,+0.16,+0.63,https://db-engines.com/en/system/GT.M,
159.,157.,147.,Actian NoSQL Database,Object oriented,1.90,-0.05,+0.38,https://db-engines.com/en/system/Actian+NoSQL+Database,
160.,168.,152.,Dgraph,Graph,1.89,+0.19,+0.41,https://db-engines.com/en/system/Dgraph,
161.,154.,128.,IBM Db2 warehouse,Relational,1.87,-0.18,-0.09,https://db-engines.com/en/system/IBM+Db2+warehouse,
162.,162.,145.,Tarantool,Multi-model,1.86,+0.02,+0.24,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
163.,160.,195.,Matisse,Object oriented,1.81,-0.08,+0.96,https://db-engines.com/en/system/Matisse,
164.,164.,160.,Sedna,Native XML,1.72,-0.06,+0.44,https://db-engines.com/en/system/Sedna,
165.,175.,,PlanetScale,"Relational, Multi-model",1.70,+0.16,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
166.,161.,150.,LiteDB,Document,1.69,-0.19,+0.20,https://db-engines.com/en/system/LiteDB,
167.,163.,146.,Fauna,Multi-model,1.69,-0.10,+0.13,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
168.,171.,170.,DataEase,Relational,1.69,+0.04,+0.53,https://db-engines.com/en/system/DataEase,
169.,165.,166.,Giraph,Graph,1.65,-0.11,+0.45,https://db-engines.com/en/system/Giraph,
170.,179.,177.,Infobright,Relational,1.62,+0.12,+0.55,https://db-engines.com/en/system/Infobright,
171.,193.,300.,Weaviate,Vector DBMS,1.61,+0.26,+1.45,https://db-engines.com/en/system/Weaviate,
172.,169.,140.,mSQL,Relational,1.60,-0.05,-0.08,https://db-engines.com/en/system/mSQL,
173.,176.,168.,NonStop SQL,Relational,1.59,+0.08,+0.41,https://db-engines.com/en/system/NonStop+SQL,
174.,174.,182.,Perst,Object oriented,1.56,+0.02,+0.55,https://db-engines.com/en/system/Perst,
175.,172.,162.,Oracle Rdb,Relational,1.56,-0.08,+0.32,https://db-engines.com/en/system/Oracle+Rdb,
176.,181.,180.,GigaSpaces,Multi-model,1.54,+0.05,+0.50,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
177.,180.,154.,Apache Kylin,Relational,1.50,+0.01,+0.11,https://db-engines.com/en/system/Apache+Kylin,
178.,192.,155.,ObjectBox,"Object oriented, Multi-model",1.50,+0.15,+0.17,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS"
179.,183.,183.,ZODB,Key-value,1.48,+0.01,+0.49,https://db-engines.com/en/system/ZODB,
180.,166.,164.,Datameer,Document,1.46,-0.28,+0.25,https://db-engines.com/en/system/Datameer,
181.,182.,159.,GBase,Relational,1.44,-0.03,+0.16,https://db-engines.com/en/system/GBase,
182.,185.,178.,Apache HAWQ,Relational,1.44,+0.01,+0.39,https://db-engines.com/en/system/Apache+HAWQ,
183.,170.,188.,MatrixOne,Relational,1.44,-0.21,+0.50,https://db-engines.com/en/system/MatrixOne,
184.,194.,149.,FoundationDB,Multi-model,1.44,+0.12,-0.07,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
185.,173.,176.,Altibase,Relational,1.42,-0.16,+0.33,https://db-engines.com/en/system/Altibase,
186.,188.,213.,Dolt,"Relational, Multi-model",1.41,+0.01,+0.68,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
187.,184.,235.,Northgate Reality,Multivalue,1.40,-0.04,+0.84,https://db-engines.com/en/system/Northgate+Reality,
188.,201.,179.,NCache,"Key-value, Multi-model",1.40,+0.12,+0.34,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
189.,187.,250.,Milvus,Vector DBMS,1.38,-0.03,+0.92,https://db-engines.com/en/system/Milvus,
190.,200.,207.,VictoriaMetrics,Time Series,1.37,+0.08,+0.59,https://db-engines.com/en/system/VictoriaMetrics,
191.,177.,163.,Cubrid,Relational,1.36,-0.15,+0.14,https://db-engines.com/en/system/Cubrid,
192.,195.,174.,1010data,Relational,1.35,+0.05,+0.26,https://db-engines.com/en/system/1010data,
193.,190.,171.,Model 204,Multivalue,1.35,-0.02,+0.23,https://db-engines.com/en/system/Model+204,
194.,196.,194.,openGauss,"Relational, Multi-model",1.35,+0.05,+0.48,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
195.,199.,165.,D3,Multivalue,1.34,+0.06,+0.14,https://db-engines.com/en/system/D3,
196.,197.,151.,HFSQL,Relational,1.33,+0.03,-0.16,https://db-engines.com/en/system/HFSQL,
197.,202.,181.,SQL.JS,Relational,1.32,+0.05,+0.28,https://db-engines.com/en/system/SQL.JS,
198.,189.,197.,Meilisearch,Search engine,1.32,-0.07,+0.50,https://db-engines.com/en/system/Meilisearch,
199.,178.,186.,EventStoreDB,Event,1.30,-0.20,+0.34,https://db-engines.com/en/system/EventStoreDB,
200.,211.,201.,IDMS,Navigational,1.26,+0.11,+0.46,https://db-engines.com/en/system/IDMS,
201.,198.,202.,Actian Vector,Relational,1.25,-0.05,+0.45,https://db-engines.com/en/system/Actian+Vector,
202.,213.,228.,Hibari,Key-value,1.25,+0.13,+0.66,https://db-engines.com/en/system/Hibari,
203.,186.,185.,NuoDB,Relational,1.22,-0.21,+0.25,https://db-engines.com/en/system/NuoDB,
204.,206.,206.,Xapian,Search engine,1.22,+0.01,+0.43,https://db-engines.com/en/system/Xapian,
205.,208.,173.,HPE Ezmeral Data Fabric,Multi-model,1.20,+0.03,+0.11,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
206.,219.,204.,DBISAM,Relational,1.19,+0.15,+0.40,https://db-engines.com/en/system/DBISAM,
207.,191.,208.,solidDB,Relational,1.19,-0.18,+0.41,https://db-engines.com/en/system/solidDB,
208.,210.,,Vitess,"Relational, Multi-model",1.19,+0.03,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
