Rank_Sep-2023,Rank_Aug-2023,Rank_Sep-2022,DBMS,Database Model,Score_Sep-2023,Score_Aug-2023,Score_Sep-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1240.88,-1.22,+2.62,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1111.49,-18.97,-100.98,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",902.22,-18.60,-24.08,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",620.75,+0.37,+0.29,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",439.42,+4.93,-50.21,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",163.68,+0.72,-17.79,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,7.,Elasticsearch,"Search engine, Multi-model",138.98,-0.94,-12.46,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,8.,8.,IBM Db2,"Relational, Multi-model",136.72,-2.52,-14.67,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,10.,10.,SQLite,Relational,129.20,-0.72,-9.62,https://db-engines.com/en/system/SQLite,
10.,9.,9.,Microsoft Access,Relational,128.56,-1.78,-11.47,https://db-engines.com/en/system/Microsoft+Access,
11.,11.,13.,Snowflake,Relational,120.89,+0.27,+17.39,https://db-engines.com/en/system/Snowflake,
12.,12.,11.,Cassandra,"Wide column, Multi-model",110.06,+2.67,-9.06,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,12.,MariaDB,"Relational, Multi-model",100.45,+1.80,-9.70,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,91.40,+2.42,-2.65,https://db-engines.com/en/system/Splunk,
15.,16.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",82.73,+3.22,-1.69,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,15.,15.,Amazon DynamoDB,Multi-model,80.91,-2.64,-6.51,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
17.,18.,20.,Databricks,Multi-model,75.18,+3.84,+19.56,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
18.,17.,17.,Hive,Relational,71.83,-1.52,-6.60,https://db-engines.com/en/system/Hive,
19.,19.,18.,Teradata,"Relational, Multi-model",60.33,-0.98,-6.25,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
20.,20.,24.,Google BigQuery,Relational,56.46,+2.56,+6.34,https://db-engines.com/en/system/Google+BigQuery,
21.,21.,23.,FileMaker,Relational,53.60,-0.25,+2.03,https://db-engines.com/en/system/FileMaker,
22.,23.,22.,SAP HANA,"Relational, Multi-model",50.61,-0.05,-1.21,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
23.,22.,19.,Neo4j,Graph,50.39,-1.03,-9.09,https://db-engines.com/en/system/Neo4j,
24.,24.,21.,Solr,"Search engine, Multi-model",47.09,-0.71,-6.96,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",43.32,-0.38,+0.46,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,HBase,Wide column,35.97,-0.50,-5.99,https://db-engines.com/en/system/HBase,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,35.45,+0.45,-5.22,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,29.,InfluxDB,"Time Series, Multi-model",31.27,+1.40,+2.12,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,28.,PostGIS,"Spatial DBMS, Multi-model",28.40,-0.51,-2.41,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,36.,Microsoft Azure Synapse Analytics,Relational,27.73,+0.76,+5.13,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
31.,31.,33.,Firebird,Relational,25.63,-0.36,+1.63,https://db-engines.com/en/system/Firebird,
32.,32.,30.,Couchbase,"Document, Multi-model",23.77,-0.91,-4.92,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS"
33.,34.,34.,Informix,"Relational, Multi-model",22.34,-0.28,-0.91,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
34.,33.,32.,Memcached,Key-value,21.31,-1.63,-3.71,https://db-engines.com/en/system/Memcached,
35.,35.,31.,Amazon Redshift,Relational,20.03,-0.47,-6.34,https://db-engines.com/en/system/Amazon+Redshift,
36.,36.,40.,Impala,"Relational, Multi-model",19.60,-0.63,+2.05,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store"
