DBMS,Rank_Sep-2023,Rank_Aug-2023,Rank_Sep-2022,Database Model,Score_Sep-2023,Score_Aug-2023,Score_Sep-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1240.88,-1.22,+2.62,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,"Widely used,RDBMS",1980.0,"21c, January 2021",commercial,restricted free version is available,no
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1111.49,-18.97,-100.98,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"8.1.0, July 2023",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",902.22,-18.60,-24.08,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",620.75,+0.37,+0.29,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"16.0, September 2023",Open Source,BSD,no
MongoDB,5.0,5.0,5.0,"Document, Multi-model",439.42,+4.93,-50.21,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"6.0.7, June 2023",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no
Redis,6.0,6.0,6.0,"Key-value, Multi-model",163.68,+0.72,-17.79,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.2.1, September 2023",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no
Elasticsearch,7.0,7.0,7.0,"Search engine, Multi-model",138.98,-0.94,-12.46,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no
IBM Db2,8.0,8.0,8.0,"Relational, Multi-model",136.72,-2.52,-14.67,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no
SQLite,9.0,10.0,10.0,Relational,129.2,-0.72,-9.62,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.43.1  (11 September 2023), September 2023",Open Source,Public Domain,no
Microsoft Access,10.0,9.0,9.0,Relational,128.56,-1.78,-11.47,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no
