Rank_Aug-2025,Rank_Jul-2025,Rank_Aug-2024,DBMS,Database Model,Score_Aug-2025,Score_Jul-2025,Score_Aug-2024,DBMS_insitelink,Multi_model_info
200.,203.,205.,HPE Ezmeral Data Fabric,Multi-model,0.85,+0.02,-0.01,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
201.,193.,194.,IDMS,Navigational,0.84,-0.07,-0.10,https://db-engines.com/en/system/IDMS,
202.,202.,199.,NCache,"Key-value, Multi-model",0.83,+0.00,-0.06,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
203.,201.,224.,eXtremeDB,Multi-model,0.81,-0.02,+0.12,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
204.,205.,200.,NuoDB,Relational,0.80,-0.02,-0.09,https://db-engines.com/en/system/NuoDB,
205.,204.,189.,Rockset,"Document, Multi-model",0.79,-0.03,-0.19,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
206.,206.,195.,Infobright,Relational,0.79,-0.01,-0.12,https://db-engines.com/en/system/Infobright,
207.,208.,220.,SciDB,Multivalue,0.78,+0.02,+0.04,https://db-engines.com/en/system/SciDB,
208.,209.,206.,Yellowbrick,Relational,0.77,+0.01,-0.09,https://db-engines.com/en/system/Yellowbrick,
209.,217.,208.,GeoMesa,Spatial,0.76,+0.05,-0.06,https://db-engines.com/en/system/GeoMesa,
210.,211.,204.,MatrixOne,Relational,0.74,-0.01,-0.12,https://db-engines.com/en/system/MatrixOne,
211.,214.,211.,Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.73,0.00,-0.07,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,
212.,210.,203.,AllegroGraph,Multi-model,0.73,-0.02,-0.14,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS"
213.,220.,218.,Datacom/DB,Relational,0.73,+0.04,-0.02,https://db-engines.com/en/system/Datacom%2FDB,
214.,213.,222.,Xapian,Search engine,0.73,-0.01,0.00,https://db-engines.com/en/system/Xapian,
215.,216.,212.,Model 204,Multivalue,0.72,+0.01,-0.06,https://db-engines.com/en/system/Model+204,
216.,212.,213.,BigchainDB,Document,0.72,-0.02,-0.07,https://db-engines.com/en/system/BigchainDB,
217.,219.,230.,KeyDB,Key-value,0.72,+0.01,+0.06,https://db-engines.com/en/system/KeyDB,
218.,215.,216.,Blazegraph,Multi-model,0.72,-0.01,-0.03,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
219.,221.,215.,eXist-db,Native XML,0.72,+0.03,-0.04,https://db-engines.com/en/system/eXist-db,
220.,222.,210.,ZODB,Key-value,0.71,+0.02,-0.11,https://db-engines.com/en/system/ZODB,
221.,223.,217.,Actian Vector,Relational,0.69,+0.01,-0.06,https://db-engines.com/en/system/Actian+Vector,
222.,207.,148.,Firebolt,Relational,0.68,-0.11,-0.80,https://db-engines.com/en/system/Firebolt,
223.,218.,233.,RisingWave,Relational,0.67,-0.03,+0.04,https://db-engines.com/en/system/RisingWave,
224.,227.,223.,CrateDB,Multi-model,0.64,+0.02,-0.05,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS"
225.,225.,229.,Objectivity/DB,Object oriented,0.64,+0.01,-0.02,https://db-engines.com/en/system/Objectivity%2FDB,
226.,229.,221.,BoltDB,Key-value,0.64,+0.02,-0.09,https://db-engines.com/en/system/BoltDB,
227.,226.,183.,Sedna,Native XML,0.64,+0.01,-0.37,https://db-engines.com/en/system/Sedna,
228.,231.,197.,Dolt,"Relational, Multi-model",0.63,+0.02,-0.27,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
229.,240.,263.,Alibaba Cloud Log Service,Search engine,0.63,+0.08,+0.21,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,
230.,224.,226.,RDF4J,RDF,0.61,-0.02,-0.06,https://db-engines.com/en/system/RDF4J,
231.,234.,225.,1010data,Relational,0.60,+0.02,-0.08,https://db-engines.com/en/system/1010data,
232.,232.,228.,DBISAM,Relational,0.60,0.00,-0.06,https://db-engines.com/en/system/DBISAM,
233.,239.,237.,FrontBase,Relational,0.60,+0.05,-0.02,https://db-engines.com/en/system/FrontBase,
234.,233.,238.,Graph Engine,Multi-model,0.60,+0.01,+0.00,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store"
235.,236.,232.,solidDB,Relational,0.60,+0.02,-0.06,https://db-engines.com/en/system/solidDB,
236.,228.,235.,SQream DB,Relational,0.59,-0.03,-0.04,https://db-engines.com/en/system/SQream+DB,
237.,237.,244.,R:BASE,Relational,0.57,0.00,+0.02,https://db-engines.com/en/system/R%3ABASE,
238.,230.,231.,TypeDB,Multi-model,0.56,-0.06,-0.10,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Object oriented DBMS,Relational DBMS"
239.,249.,272.,Apache Pinot,Relational,0.55,+0.06,+0.18,https://db-engines.com/en/system/Apache+Pinot,
240.,235.,236.,KairosDB,Time Series,0.54,-0.05,-0.08,https://db-engines.com/en/system/KairosDB,
241.,243.,245.,Splice Machine,Relational,0.54,0.00,-0.01,https://db-engines.com/en/system/Splice+Machine,
242.,241.,234.,ObjectDB,Object oriented,0.52,-0.02,-0.11,https://db-engines.com/en/system/ObjectDB,
243.,256.,280.,Apache Sedona,Spatial,0.52,+0.09,+0.19,https://db-engines.com/en/system/Apache+Sedona,
244.,251.,227.,WebSphere eXtreme Scale,Key-value,0.51,+0.03,-0.16,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
245.,238.,242.,Apache Doris,Relational,0.51,-0.06,-0.05,https://db-engines.com/en/system/Apache+Doris,
246.,242.,270.,ITTIA,"Time Series, Multi-model",0.51,-0.03,+0.13,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS"
247.,250.,241.,NexusDB,Relational,0.50,+0.02,-0.05,https://db-engines.com/en/system/NexusDB,
248.,247.,264.,Dragonfly,Key-value,0.50,+0.01,+0.08,https://db-engines.com/en/system/Dragonfly,
249.,246.,240.,Harper,Document,0.49,-0.02,-0.07,https://db-engines.com/en/system/Harper,
250.,245.,246.,Percona Server for MongoDB,Document,0.49,-0.03,-0.05,https://db-engines.com/en/system/Percona+Server+for+MongoDB,
251.,252.,254.,MapDB,Key-value,0.47,+0.01,-0.01,https://db-engines.com/en/system/MapDB,
252.,267.,277.,CnosDB,Time Series,0.47,+0.09,+0.14,https://db-engines.com/en/system/CnosDB,
253.,248.,252.,atoti,Object oriented,0.46,-0.03,-0.02,https://db-engines.com/en/system/atoti,
254.,254.,259.,VistaDB,Relational,0.46,+0.01,+0.01,https://db-engines.com/en/system/VistaDB,
255.,263.,296.,Deep Lake,Vector,0.44,+0.04,+0.16,https://db-engines.com/en/system/Deep+Lake,
256.,255.,262.,Kingbase,"Relational, Multi-model",0.43,-0.01,0.00,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
257.,258.,248.,Scalaris,Key-value,0.43,+0.02,-0.08,https://db-engines.com/en/system/Scalaris,
258.,262.,255.,Kinetica,"Relational, Multi-model",0.43,+0.02,-0.05,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
259.,268.,397.,RaptorDB,Document,0.42,+0.04,+0.42,https://db-engines.com/en/system/RaptorDB,
260.,244.,273.,YDB,Multi-model,0.42,-0.09,+0.05,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
261.,253.,247.,SQL.JS,Relational,0.42,-0.04,-0.12,https://db-engines.com/en/system/SQL.JS,
262.,259.,260.,ScaleArc,Relational,0.41,+0.00,-0.03,https://db-engines.com/en/system/ScaleArc,
263.,257.,253.,GemStone/S,Object oriented,0.41,0.00,-0.07,https://db-engines.com/en/system/GemStone%2FS,
264.,272.,249.,Hibari,Key-value,0.40,+0.05,-0.10,https://db-engines.com/en/system/Hibari,
265.,271.,282.,Cloudflare Workers KV,Key-value,0.40,+0.03,+0.08,https://db-engines.com/en/system/Cloudflare+Workers+KV,
266.,266.,267.,OpenInsight,Multivalue,0.39,0.00,-0.01,https://db-engines.com/en/system/OpenInsight,
267.,273.,275.,Marqo,Search engine,0.38,+0.04,+0.02,https://db-engines.com/en/system/Marqo,
268.,269.,265.,Rasdaman,Multivalue,0.37,0.00,-0.04,https://db-engines.com/en/system/Rasdaman,
269.,260.,284.,SearchBlox,Search engine,0.37,-0.04,+0.05,https://db-engines.com/en/system/SearchBlox,
270.,261.,287.,Fluree,Graph,0.36,-0.05,+0.05,https://db-engines.com/en/system/Fluree,
271.,282.,292.,Elassandra,"Wide column, Multi-model",0.35,+0.06,+0.06,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
272.,265.,251.,LokiJS,Document,0.34,-0.05,-0.15,https://db-engines.com/en/system/LokiJS,
273.,264.,256.,AlaSQL,Multi-model,0.34,-0.06,-0.13,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
274.,275.,268.,Kyligence Enterprise,Relational,0.34,+0.00,-0.06,https://db-engines.com/en/system/Kyligence+Enterprise,
275.,276.,281.,Comdb2,Relational,0.34,+0.00,+0.02,https://db-engines.com/en/system/Comdb2,
276.,270.,258.,Sequoiadb,Multi-model,0.33,-0.04,-0.12,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
277.,274.,250.,Perst,Object oriented,0.33,-0.01,-0.17,https://db-engines.com/en/system/Perst,
278.,277.,274.,ModeShape,Content,0.31,+0.00,-0.05,https://db-engines.com/en/system/ModeShape,
279.,281.,219.,Northgate Reality,Multivalue,0.30,+0.01,-0.44,https://db-engines.com/en/system/Northgate+Reality,
280.,279.,257.,Postgres-XL,"Relational, Multi-model",0.30,+0.00,-0.16,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
281.,280.,289.,Databend,Relational,0.29,-0.01,0.00,https://db-engines.com/en/system/Databend,
282.,299.,271.,Vald,Vector,0.29,+0.05,-0.08,https://db-engines.com/en/system/Vald,
283.,283.,293.,Starcounter,Object oriented,0.29,+0.00,+0.00,https://db-engines.com/en/system/Starcounter,
284.,290.,278.,InfiniteGraph,Graph,0.29,+0.01,-0.05,https://db-engines.com/en/system/InfiniteGraph,
285.,297.,320.,Valentina Server,Relational,0.29,+0.04,+0.10,https://db-engines.com/en/system/Valentina+Server,
286.,284.,269.,Strabon,RDF,0.28,+0.00,-0.10,https://db-engines.com/en/system/Strabon,
287.,293.,306.,Alibaba Cloud TSDB,Time Series,0.28,+0.02,+0.04,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
288.,285.,276.,Project Voldemort,Key-value,0.28,0.00,-0.05,https://db-engines.com/en/system/Project+Voldemort,
289.,287.,288.,OpenQM,Multivalue,0.28,0.00,-0.02,https://db-engines.com/en/system/OpenQM,
290.,291.,291.,Fujitsu Enterprise Postgres,"Relational, Multi-model",0.25,-0.02,-0.04,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS"
291.,288.,285.,Brytlyt,Relational,0.25,-0.03,-0.07,https://db-engines.com/en/system/Brytlyt,
292.,294.,305.,Manticore Search,"Search engine, Multi-model",0.25,-0.01,+0.00,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS"
293.,295.,266.,Raima Database Manager,Multi-model,0.25,0.00,-0.16,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS"
294.,301.,243.,4store,RDF,0.24,+0.01,-0.31,https://db-engines.com/en/system/4store,
295.,278.,298.,FeatureBase,Relational,0.24,-0.07,-0.03,https://db-engines.com/en/system/FeatureBase,
296.,292.,307.,RDFox,Multi-model,0.24,-0.03,0.00,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS"
297.,302.,316.,MyScale,Multi-model,0.23,+0.00,+0.03,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS"
298.,289.,283.,LeanXcale,Multi-model,0.23,-0.05,-0.09,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS"
299.,286.,331.,YTsaurus,Multi-model,0.23,-0.05,+0.07,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store"
300.,304.,294.,RedStore,RDF,0.23,+0.00,-0.05,https://db-engines.com/en/system/RedStore,
301.,303.,309.,Faircom DB,Multi-model,0.22,0.00,-0.01,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS"
302.,296.,300.,AnzoGraph DB,Multi-model,0.22,-0.03,-0.04,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store"
303.,309.,301.,Mimer SQL,Relational,0.22,+0.02,-0.04,https://db-engines.com/en/system/Mimer+SQL,
304.,305.,279.,Actian FastObjects,Object oriented,0.22,+0.00,-0.11,https://db-engines.com/en/system/Actian+FastObjects,
305.,311.,290.,Redland,RDF,0.20,+0.01,-0.09,https://db-engines.com/en/system/Redland,
306.,308.,336.,XTDB,Document,0.20,0.00,+0.07,https://db-engines.com/en/system/XTDB,
307.,298.,297.,Immudb,"Key-value, Multi-model",0.20,-0.05,-0.08,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS"
308.,321.,351.,FalkorDB,Graph,0.20,+0.03,+0.12,https://db-engines.com/en/system/FalkorDB,
309.,312.,299.,PipelineDB,Relational,0.19,-0.01,-0.08,https://db-engines.com/en/system/PipelineDB,
310.,313.,286.,PieCloudDB,Relational,0.19,-0.01,-0.13,https://db-engines.com/en/system/PieCloudDB,
311.,300.,295.,Axibase,Time Series,0.18,-0.06,-0.10,https://db-engines.com/en/system/Axibase,
312.,306.,304.,YottaDB,"Key-value, Multi-model",0.18,-0.03,-0.06,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS"
313.,314.,315.,IBM Db2 Event Store,Multi-model,0.18,-0.01,-0.02,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS"
314.,320.,357.,Warp 10,Time Series,0.18,+0.01,+0.12,https://db-engines.com/en/system/Warp+10,
315.,317.,327.,TransLattice,Relational,0.18,0.00,+0.00,https://db-engines.com/en/system/TransLattice,
316.,307.,261.,Tajo,Relational,0.17,-0.04,-0.27,https://db-engines.com/en/system/Tajo,
317.,319.,325.,Apache HugeGraph,Graph,0.17,-0.01,-0.01,https://db-engines.com/en/system/Apache+HugeGraph,
318.,316.,302.,Lovefield,Relational,0.16,-0.02,-0.09,https://db-engines.com/en/system/Lovefield,
319.,315.,352.,chDB,"Relational, Multi-model",0.16,-0.03,+0.09,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS"
320.,331.,321.,Badger,Key-value,0.15,+0.01,-0.03,https://db-engines.com/en/system/Badger,
321.,326.,313.,Riak TS,Time Series,0.15,0.00,-0.06,https://db-engines.com/en/system/Riak+TS,
322.,324.,318.,Tibco ComputeDB,Relational,0.15,0.00,-0.04,https://db-engines.com/en/system/Tibco+ComputeDB,
323.,310.,330.,Quasardb,Time Series,0.15,-0.05,-0.01,https://db-engines.com/en/system/Quasardb,
324.,329.,335.,BigObject,Relational,0.15,+0.01,+0.02,https://db-engines.com/en/system/BigObject,
325.,336.,322.,Actian PSQL,Relational,0.15,+0.02,-0.03,https://db-engines.com/en/system/Actian+PSQL,
326.,327.,329.,NEventStore,Event,0.15,0.00,-0.02,https://db-engines.com/en/system/NEventStore,
327.,333.,348.,GreptimeDB,Multi-model,0.15,+0.01,+0.06,https://db-engines.com/en/system/GreptimeDB,"Time Series, Observability,Time Series DBMS"
328.,328.,334.,XtremeData,Relational,0.15,0.00,+0.01,https://db-engines.com/en/system/XtremeData,
329.,323.,332.,Ultipa,Graph,0.14,-0.02,0.00,https://db-engines.com/en/system/Ultipa,
330.,345.,314.,Alibaba Cloud Table Store,Wide column,0.14,+0.05,-0.07,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,
331.,330.,317.,EsgynDB,Relational,0.14,0.00,-0.06,https://db-engines.com/en/system/EsgynDB,
332.,332.,310.,ElevateDB,Relational,0.14,0.00,-0.08,https://db-engines.com/en/system/ElevateDB,
333.,335.,328.,HyperGraphDB,Graph,0.14,+0.00,-0.04,https://db-engines.com/en/system/HyperGraphDB,
334.,341.,337.,GraphBase,Graph,0.13,+0.01,+0.00,https://db-engines.com/en/system/GraphBase,
335.,340.,311.,FlockDB,Graph,0.13,+0.00,-0.09,https://db-engines.com/en/system/FlockDB,
336.,337.,308.,Speedb,Key-value,0.12,-0.01,-0.11,https://db-engines.com/en/system/Speedb,
337.,338.,346.,Mulgara,RDF,0.12,0.00,+0.02,https://db-engines.com/en/system/Mulgara,
338.,318.,312.,TerminusDB,"Graph, Multi-model",0.12,-0.06,-0.09,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store"
339.,343.,326.,Kyoto Tycoon,Key-value,0.11,+0.01,-0.07,https://db-engines.com/en/system/Kyoto+Tycoon,
340.,334.,361.,ArcadeDB,Multi-model,0.10,-0.03,+0.05,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS"
341.,325.,323.,AgensGraph,Multi-model,0.10,-0.06,-0.08,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS"
342.,344.,347.,Sparksee,Graph,0.09,0.00,-0.01,https://db-engines.com/en/system/Sparksee,
343.,342.,324.,Jade,Object oriented,0.08,-0.01,-0.10,https://db-engines.com/en/system/Jade,
344.,322.,341.,Bangdb,Multi-model,0.08,-0.09,-0.03,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS"
345.,339.,319.,EJDB,Document,0.08,-0.05,-0.11,https://db-engines.com/en/system/EJDB,
346.,349.,356.,SiteWhere,Time Series,0.07,0.00,+0.01,https://db-engines.com/en/system/SiteWhere,
347.,350.,359.,ScaleOut StateServer,Key-value,0.07,0.00,+0.01,https://db-engines.com/en/system/ScaleOut+StateServer,
348.,351.,355.,Exorbyte,Search engine,0.07,0.00,+0.01,https://db-engines.com/en/system/Exorbyte,
349.,361.,333.,Tokyo Tyrant,Key-value,0.07,+0.02,-0.07,https://db-engines.com/en/system/Tokyo+Tyrant,
350.,358.,342.,CubicWeb,RDF,0.06,+0.00,-0.05,https://db-engines.com/en/system/CubicWeb,
351.,355.,366.,Tigris,Multi-model,0.06,0.00,+0.01,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS"
352.,353.,350.,Blueflood,Time Series,0.06,-0.01,-0.02,https://db-engines.com/en/system/Blueflood,
352.,356.,358.,Elliptics,Key-value,0.06,0.00,+0.00,https://db-engines.com/en/system/Elliptics,
354.,360.,363.,SenseiDB,Document,0.05,0.00,0.00,https://db-engines.com/en/system/SenseiDB,
355.,389.,397.,BrightstarDB,RDF,0.04,+0.04,+0.04,https://db-engines.com/en/system/BrightstarDB,
356.,347.,339.,Machbase Neo,Time Series,0.04,-0.04,-0.08,https://db-engines.com/en/system/Machbase+Neo,
356.,364.,372.,NosDB,Document,0.04,0.00,0.00,https://db-engines.com/en/system/NosDB,
358.,359.,338.,AntDB,Relational,0.03,-0.02,-0.09,https://db-engines.com/en/system/AntDB,
359.,367.,368.,WakandaDB,Object oriented,0.03,0.00,-0.01,https://db-engines.com/en/system/WakandaDB,
360.,364.,375.,JethroData,Relational,0.03,-0.01,0.00,https://db-engines.com/en/system/JethroData,
360.,368.,365.,STSdb,Key-value,0.03,0.00,-0.02,https://db-engines.com/en/system/STSdb,
362.,374.,379.,Kuzu,Graph,0.02,+0.00,+0.00,https://db-engines.com/en/system/Kuzu,
363.,369.,303.,Heroic,Time Series,0.02,+0.00,-0.22,https://db-engines.com/en/system/Heroic,
364.,371.,369.,Hawkular Metrics,Time Series,0.02,0.00,-0.02,https://db-engines.com/en/system/Hawkular+Metrics,
365.,354.,343.,TinkerGraph,Graph,0.02,-0.05,-0.09,https://db-engines.com/en/system/TinkerGraph,
366.,352.,340.,OpenMLDB,"Time Series, Multi-model",0.02,-0.05,-0.10,https://db-engines.com/en/system/OpenMLDB,"Time Series DBMS,Relational DBMS"
367.,372.,380.,Dydra,RDF,0.02,0.00,0.00,https://db-engines.com/en/system/Dydra,
368.,373.,381.,SmallSQL,Relational,0.02,+0.00,0.00,https://db-engines.com/en/system/SmallSQL,
369.,377.,384.,SparkleDB,RDF,0.02,0.00,0.00,https://db-engines.com/en/system/SparkleDB,
370.,378.,387.,Acebase,Document,0.01,+0.00,0.00,https://db-engines.com/en/system/Acebase,
371.,379.,388.,Resin Cache,Key-value,0.01,+0.00,0.00,https://db-engines.com/en/system/Resin+Cache,
372.,370.,391.,Sadas Engine,Relational,0.01,-0.01,+0.00,https://db-engines.com/en/system/Sadas+Engine,
373.,383.,389.,SWC-DB,"Wide column, Multi-model",0.01,+0.00,0.00,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS"
374.,381.,349.,gStore,Multi-model,0.01,0.00,-0.07,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store"
375.,384.,390.,Eloquera,Object oriented,0.01,0.00,0.00,https://db-engines.com/en/system/Eloquera,
376.,385.,378.,Faircom EDGE,Multi-model,0.01,0.00,-0.02,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS"
377.,376.,362.,OushuDB,Relational,0.00,-0.01,-0.05,https://db-engines.com/en/system/OushuDB,
378.,386.,393.,Siaqodb,Object oriented,0.00,+0.00,+0.00,https://db-engines.com/en/system/Siaqodb,
379.,387.,394.,LedisDB,Key-value,0.00,+0.00,+0.00,https://db-engines.com/en/system/LedisDB,
380.,388.,396.,SwayDB,Key-value,0.00,+0.00,+0.00,https://db-engines.com/en/system/SwayDB,
381.,389.,397.,ActorDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/ActorDB,
381.,389.,397.,BergDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/BergDB,
381.,389.,397.,Cachelot.io,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Cachelot.io,
381.,389.,397.,CortexDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store"
381.,389.,397.,CovenantSQL,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,
381.,389.,397.,DaggerDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,
381.,389.,374.,DataFS,"Object oriented, Multi-model",0.00,±0.00,-0.03,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS"
381.,389.,397.,Edge Intelligence,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/Edge+Intelligence,
381.,389.,397.,EdgelessDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,
381.,362.,367.,Galaxybase,Graph,0.00,-0.04,-0.04,https://db-engines.com/en/system/Galaxybase,
381.,389.,382.,H2GIS,"Spatial, Multi-model",0.00,±0.00,-0.02,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS"
381.,389.,397.,Helium,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Helium,
381.,389.,397.,HGraphDB,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/HGraphDB,
381.,389.,397.,HyperLevelDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/HyperLevelDB,
381.,389.,397.,iBoxDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/iBoxDB,
381.,389.,397.,Indica,Search engine,0.00,±0.00,±0.00,https://db-engines.com/en/system/Indica,
381.,389.,364.,InfinityDB,Key-value,0.00,±0.00,-0.05,https://db-engines.com/en/system/InfinityDB,
381.,357.,392.,JaguarDB,Multi-model,0.00,-0.06,0.00,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS"
381.,389.,397.,JasDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/JasDB,
381.,389.,397.,K-DB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/K-DB,
381.,389.,370.,Linter,"Relational, Multi-model",0.00,±0.00,-0.04,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS"
381.,389.,397.,Newts,Time Series,0.00,±0.00,±0.00,https://db-engines.com/en/system/Newts,
381.,389.,397.,NSDb,Time Series,0.00,±0.00,±0.00,https://db-engines.com/en/system/NSDb,
381.,363.,360.,openGemini,Time Series,0.00,-0.04,-0.06,https://db-engines.com/en/system/openGemini,
381.,389.,395.,OpenTenBase,Relational,0.00,±0.00,0.00,https://db-engines.com/en/system/OpenTenBase,
381.,389.,386.,OrigoDB,Multi-model,0.00,±0.00,-0.02,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS"
381.,348.,377.,ReductStore,Time Series,0.00,-0.07,-0.02,https://db-engines.com/en/system/ReductStore,
381.,389.,397.,Rizhiyi,"Search engine, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS"
381.,389.,397.,searchxml,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine"
381.,375.,383.,SiriDB,Time Series,0.00,-0.02,-0.02,https://db-engines.com/en/system/SiriDB,
381.,389.,345.,Skytable,Key-value,0.00,±0.00,-0.10,https://db-engines.com/en/system/Skytable,
381.,389.,397.,SpaceTime,"Spatial, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS"
381.,382.,397.,SvectorDB,Vector,0.00,-0.01,±0.00,https://db-engines.com/en/system/SvectorDB,
381.,366.,373.,TerarkDB,Key-value,0.00,-0.04,-0.03,https://db-engines.com/en/system/TerarkDB,
381.,389.,385.,Tkrzw,Key-value,0.00,±0.00,-0.02,https://db-engines.com/en/system/Tkrzw,
381.,389.,397.,TomP2P,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/TomP2P,
381.,346.,344.,Transbase,Relational,0.00,-0.09,-0.10,https://db-engines.com/en/system/Transbase,
381.,389.,353.,Transwarp ArgoDB,"Relational, Multi-model",0.00,±0.00,-0.07,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine"
381.,389.,397.,Transwarp Hippo,Vector,0.00,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+Hippo,
381.,389.,354.,Transwarp KunDB,Relational,0.00,±0.00,-0.07,https://db-engines.com/en/system/Transwarp+KunDB,
381.,389.,376.,Transwarp StellarDB,Graph,0.00,±0.00,-0.02,https://db-engines.com/en/system/Transwarp+StellarDB,
381.,389.,397.,Upscaledb,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Upscaledb,
381.,380.,371.,VelocityDB,Multi-model,0.00,-0.01,-0.04,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS"
381.,389.,397.,WhiteDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/WhiteDB,
