Rank_Aug-2025,Rank_Jul-2025,Rank_Aug-2024,DBMS,Database Model,Score_Aug-2025,Score_Jul-2025,Score_Aug-2024,DBMS_insitelink,Multi_model_info
35.,35.,34.,Informix,"Relational, Multi-model",14.77,+0.09,-1.95,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
36.,36.,37.,Amazon Redshift,Relational,14.41,-0.24,-0.76,https://db-engines.com/en/system/Amazon+Redshift,
37.,38.,39.,Firebase Realtime Database,Document,14.39,+0.05,+0.25,https://db-engines.com/en/system/Firebase+Realtime+Database,
38.,37.,31.,Microsoft Azure Synapse Analytics,Relational,14.15,-0.29,-5.23,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
39.,40.,40.,Apache Impala,"Relational, Multi-model",13.36,+0.61,+1.77,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
40.,39.,36.,Couchbase,Multi-model,12.67,-0.29,-3.53,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
41.,41.,42.,Apache Flink,Relational,12.04,-0.39,+2.67,https://db-engines.com/en/system/Apache+Flink,
42.,42.,41.,Vertica,"Relational, Multi-model",9.41,+0.00,-0.22,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,43.,54.,Google Cloud Firestore,Document,8.45,+0.34,+1.94,https://db-engines.com/en/system/Google+Cloud+Firestore,
44.,47.,62.,DuckDB,Relational,7.90,+0.75,+2.64,https://db-engines.com/en/system/DuckDB,
45.,45.,49.,Amazon Aurora,"Relational, Multi-model",7.70,+0.18,+0.18,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
46.,48.,52.,Prometheus,Time Series,7.31,+0.18,+0.14,https://db-engines.com/en/system/Prometheus,
47.,46.,44.,Greenplum,"Relational, Multi-model",7.19,+0.03,-0.90,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
48.,50.,45.,Kdb,Multi-model,6.98,-0.12,-0.99,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
49.,51.,53.,etcd,Key-value,6.89,0.00,-0.21,https://db-engines.com/en/system/etcd,
50.,44.,43.,dBASE,Relational,6.87,-0.75,-2.34,https://db-engines.com/en/system/dBASE,
51.,49.,46.,CouchDB,"Document, Multi-model",6.81,-0.31,-1.00,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
52.,52.,47.,H2,"Relational, Multi-model",6.76,-0.13,-1.04,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
53.,53.,48.,Netezza,Relational,6.65,-0.10,-1.10,https://db-engines.com/en/system/Netezza,
54.,54.,51.,Realm,Document,6.43,-0.02,-0.85,https://db-engines.com/en/system/Realm,
55.,55.,57.,Algolia,Search engine,6.21,+0.15,+0.44,https://db-engines.com/en/system/Algolia,
56.,56.,50.,Presto,Relational,6.03,-0.01,-1.47,https://db-engines.com/en/system/Presto,
57.,59.,60.,Trino,"Relational, Multi-model",5.83,+0.57,+0.46,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
58.,57.,55.,Sphinx,Search engine,5.56,-0.06,-0.41,https://db-engines.com/en/system/Sphinx,
59.,58.,58.,Microsoft Azure AI Search,"Search engine, Multi-model",5.37,+0.11,-0.36,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
60.,60.,56.,Oracle Essbase,Relational,5.11,+0.00,-0.82,https://db-engines.com/en/system/Oracle+Essbase,
61.,65.,87.,Pinecone,Vector,4.95,+0.66,+1.81,https://db-engines.com/en/system/Pinecone,
62.,62.,65.,Aerospike,Multi-model,4.83,-0.17,-0.05,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
63.,61.,59.,Hazelcast,"Key-value, Multi-model",4.70,-0.34,-0.76,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
64.,63.,61.,Graphite,Time Series,4.67,+0.26,-0.68,https://db-engines.com/en/system/Graphite,
65.,64.,67.,CockroachDB,Relational,4.27,-0.07,-0.21,https://db-engines.com/en/system/CockroachDB,
66.,67.,68.,MarkLogic,Multi-model,3.95,+0.01,-0.46,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
67.,69.,70.,TimescaleDB,"Time Series, Multi-model",3.91,+0.14,-0.16,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
68.,78.,84.,Milvus,Vector,3.83,+0.47,+0.45,https://db-engines.com/en/system/Milvus,
69.,68.,63.,Apache Jackrabbit,Content,3.72,-0.11,-1.29,https://db-engines.com/en/system/Apache+Jackrabbit,
70.,66.,74.,ScyllaDB,"Wide column, Multi-model",3.70,-0.29,-0.11,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
71.,77.,78.,Ingres,Relational,3.65,+0.27,-0.06,https://db-engines.com/en/system/Ingres,
