Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Ingres,"Well established,RDBMS",Relational DBMS,,"Score,5.93,Rank,#72,Overall,#38,Relational DBMS",www.actian.com/data-management/ingres-sql-rdbms,docs.actian.com/ingres,Actian Corporation,1974.0,"11.0, April 2017",commercial,no,,C,"AIX,HP Open VMS,HP-UX,Linux,Solaris,Windows",yes,yes,no,yes,yes,".NET Client API,JDBC,ODBC,proprietary protocol (OpenAPI)",,yes,yes,horizontal partitioning,Ingres Replicator,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
HyperSQL,"Multithreaded, transactional,RDBMS,written in Java",Relational DBMS,,"Score,5.91,Rank,#73,Overall,#39,Relational DBMS",hsqldb.org,hsqldb.org/web/hsqlDocsFrame.html,,2001.0,"2.7.0, July 2022",Open Source,no,,Java,All OS with a Java VM,yes,yes,no,yes,yes,"HTTP API,JDBC,ODBC","All languages supporting JDBC/ODBC,Java","Java, SQL",yes,none,none,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
SAP SQL Anywhere,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",Relational DBMS,,"Score,5.88,Rank,#74,Overall,#40,Relational DBMS",www.sap.com/products/sql-anywhere.html,help.sap.com/sql-anywhere,SAP,1992.0,"17, July 2015",commercial,no,,,"AIX,HP-UX,Linux,OS X,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,HTTP API,JDBC,ODBC","C,C#,C++,Delphi,Java,JavaScript (Node.js),Perl,PHP,Python,Ruby","yes, in C/C++, Java, .Net or Perl",yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Virtuoso,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine",Spatial DBMS,"Score,5.84,Rank,#75,Overall,#13,Document stores,#3,Graph DBMS,#2,Native XML DBMS,#41,Relational DBMS,#2,RDF stores,#9,Search engines",virtuoso.openlinksw.com,docs.openlinksw.com/virtuoso,OpenLink Software,1998.0,"7.2.7, May 2022",Open Source,no,,C,"AIX,FreeBSD,HP-UX,Linux,OS X,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,GeoSPARQL,HTTP API,JDBC,Jena RDF API,ODBC,OLE DB,RDF4J API,RESTful HTTP API,Sesame REST HTTP Protocol,SOAP webservices,SPARQL 1.1,WebDAV,XPath,XQuery,XSLT",".Net,C,C#,C++,Java,JavaScript,Perl,PHP,Python,Ruby,Visual Basic",yes,yes,yes,"Chain, star, and bi-directional replication,Multi-source replication,Source-replica replication",yes,Immediate Consistency,yes,ACID,yes,yes,yes,"Fine-grained Attribute-Based Access Control (ABAC) in addition to typical coarse-grained Role-Based Access Control (RBAC) according to SQL-standard. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos)"
ArangoDB,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.","Document store,Graph DBMS,Key-value store,Search engine",,"Score,5.84,Rank,#76,Overall,#14,Document stores,#4,Graph DBMS,#11,Key-value stores,#10,Search engines",www.arangodb.com,www.arangodb.com/docs/stable,ArangoDB Inc.,2012.0,"3.9.3, September 2022",Open Source,no,"ArangoDB Oasis,–The Managed Cloud Service of ArangoDB. Oasis provides fully managed, and monitored cluster deployments of any size, with enterprise-grade security. Get started for free and continue for as little as $0,21/hour.",C++,"Linux,OS X,Windows",schema-free,yes,,yes,no,"AQL,Foxx Framework,Graph API (Gremlin),GraphQL query language,HTTP API,Java & SpringData,JSON style queries,VelocyPack/VelocyStream","C#,C++,Clojure,Elixir,Go,Java,JavaScript (Node.js),PHP,Python,R,Rust",JavaScript,no,Sharding,Source-replica replication with configurable replication factor,no,"Eventual Consistency,Immediate Consistency,OneShard (highly available, fault-tolerant deployment mode with ACID semantics)",yes,ACID,yes,yes,,yes
Jackrabbit,,Content store,,"Score,5.79,Rank,#77,Overall,#1,Content stores",jackrabbit.apache.org,,Apache Software Foundation,2006.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Derby,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",Relational DBMS,,"Score,5.66,Rank,#78,Overall,#42,Relational DBMS",db.apache.org/derby,db.apache.org/derby/manuals/index.html,Apache Software Foundation,1997.0,"10.16.1.1, May 2022",Open Source,no,,Java,All OS with a Java VM,yes,yes,yes,yes,yes,JDBC,Java,Java Stored Procedures,yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
TimescaleDB,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",Time Series DBMS,Relational DBMS,"Score,5.32,Rank,#79,Overall,#5,Time Series DBMS",www.timescale.com,docs.timescale.com,Timescale,2017.0,"2.6.0, February 2022",Open Source,no,,C,"Linux,OS X,Windows",yes,"numerics, strings, booleans, arrays, JSON blobs, geospatial dimensions, currencies, binary data, other complex data types",yes,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,JavaScript,Perl,PHP,Python,R,Ruby,Scheme,Tcl","user defined functions, PL/pgSQL, PL/Tcl, PL/Perl, PL/Python, PL/Java, PL/PHP, PL/R, PL/Ruby, PL/Scheme, PL/Unix shell",yes,"yes, across time and space (hash partitioning) attributes",Source-replica replication with hot standby and reads on replicas,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Google Cloud Bigtable,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.","Key-value store,Wide column store",,"Score,5.24,Rank,#80,Overall,#12,Key-value stores,#6,Wide column stores",cloud.google.com/bigtable,cloud.google.com/bigtable/docs,Google,2015.0,,commercial,yes,,,hosted,schema-free,no,no,no,no,"gRPC (using protocol buffers) API,HappyBase (Python library),HBase compatible API (Java)","C#,C++,Go,Java,JavaScript (Node.js),Python",no,no,Sharding,"Internal replication in Colossus, and regional replication between two clusters in different zones",yes,"Immediate consistency (for a single cluster), Eventual consistency (for two or more replicated clusters)",no,Atomic single-row operations,yes,yes,no,"Access rights for users, groups and roles based on,Google Cloud Identity and Access Management (IAM)"
OrientDB,"Multi-model DBMS (Document, Graph, Key/Value)","Document store,Graph DBMS,Key-value store",,"Score,5.04,Rank,#81,Overall,#15,Document stores,#5,Graph DBMS,#13,Key-value stores",orientdb.org,www.orientdb.com/docs/last/index.html,OrientDB LTD; CallidusCloud; SAP,2010.0,"3.1.9, February 2021",Open Source,no,,Java,All OS with a Java JDK (>= JDK 6),schema-free,yes,no,yes,"SQL-like query language, no joins","Tinkerpop technology stack with Blueprints, Gremlin, Pipes,Java API,RESTful HTTP/JSON API",".Net,C,C#,C++,Clojure,Java,JavaScript,JavaScript (Node.js),PHP,Python,Ruby,Scala","Java, Javascript",Hooks,Sharding,Multi-source replication,no,,yes,ACID,yes,yes,,Access rights for users and roles; record level security configurable
Accumulo,,Wide column store,,"Score,4.98,Rank,#82,Overall,#7,Wide column stores",accumulo.apache.org,,,2008.0,"2.0.1 (December 24, 2020), 2020",Open Source,no,,Java,,,,,,,,,,,,,,,,,,,,
ScyllaDB,Cassandra and DynamoDB compatible wide column store,Wide column store,Key-value store,"Score,4.95,Rank,#83,Overall,#8,Wide column stores",www.scylladb.com,docs.scylladb.com,ScyllaDB,2015.0,"ScyllaDB Open Source 5.0, July 2022",Open Source,no,"Scylla Cloud,: Create real-time applications that run at global scale with Scylla Cloud, the industry’s most powerful NoSQL DBaaS",C++,Linux,schema-free,yes,no,yes,SQL-like DML and DDL statements (CQL),"Proprietary protocol (CQL),RESTful HTTP API (DynamoDB compatible),Thrift","For CQL interface: C#, C++, Clojure, Erlang, Go, Haskell, Java, JavaScript, Node.js, Perl, PHP, Python, Ruby, Rust, Scala,For DynamoDB interface: .Net, ColdFusion, Erlang, Groovy, Java, JavaScript, Perl, PHP, Python, Ruby","yes, Lua",no,Sharding,selectable replication factor,no,"Eventual Consistency,Tunable Consistency",no,no,yes,yes,yes,Access rights for users can be defined per object
SAP IQ,Columnar RDBMS optimized for Big Data analytics,Relational DBMS,,"Score,4.72,Rank,#84,Overall,#43,Relational DBMS",www.sap.com/products/sybase-iq-big-data-management.html,help.sap.com/iq,"SAP, formerly Sybase",1994.0,"16.1 SPS04, April 2019",commercial,no,,,"AIX,HP-UX,Linux,Solaris,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,RESTful HTTP API","C,C#,C++,Java,Perl,PHP,Python,Ruby",yes,yes,shared disk or shared nothing architectures with SAP IQ Multiplexer,SAP/Sybase Replication Server,Hadoop integration,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Adabas,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,Multivalue DBMS,,"Score,4.63,Rank,#85,Overall,#1,Multivalue DBMS",www.softwareag.com/en_corporate/platform/adabas-natural.html,,Software AG,1971.0,,commercial,no,,,"BS2000,Linux,Unix,Windows,z/OS,z/VSE",yes,yes,no,yes,yes,"HTTP API,SOAP-based API",Natural,in Natural,no,"yes, with additonal products like Adabas Cluster Services, Adabas Parallel Services, Adabas Vista","yes, with add-on product Event Replicator",no,Immediate Consistency,no,ACID,yes,yes,no,"only with OS-specific tools (e.g. IBM RACF, CA Top Secret)"
RocksDB,Embeddable persistent key-value store optimized for fast storage (flash and RAM),Key-value store,,"Score,4.61,Rank,#86,Overall,#14,Key-value stores",rocksdb.org,github.com/facebook/rocksdb/wiki,"Facebook, Inc.",2013.0,"7.3.1, June 2022",Open Source,no,,C++,Linux,schema-free,no,no,no,no,"C++ API,Java API","C,C++,Go,Java,Perl,Python,Ruby",no,no,none,none,no,,no,yes,yes,yes,yes,no
RavenDB,Open Source Operational and Transactional Enterprise NoSQL Document Database,Document store,"Graph DBMS,Spatial DBMS,Time Series DBMS","Score,4.55,Rank,#87,Overall,#16,Document stores",ravendb.net,ravendb.net/docs,Hibernating Rhinos,2010.0,"5.4, July 2022",Open Source,no,,C#,"Linux,macOS,Raspberry Pi,Windows",schema-free,no,,yes,SQL-like query language (RQL),".NET Client API,F# Client API,Go Client API,Java Client API,NodeJS Client API,PHP Client API,Python Client API,RESTful HTTP API",".Net,C#,F#,Go,Java,JavaScript (Node.js),PHP,Python,Ruby",yes,yes,Sharding,Multi-source replication,yes,Default ACID transactions on the local node (eventually consistent across the cluster). Atomic operations with cluster-wide ACID transactions. Eventual consistency for indexes and full-text search indexes.,no,"ACID, Cluster-wide transaction available",yes,yes,,Authorization levels configured per client per database
OpenEdge,Application development environment with integrated database management system,Relational DBMS,,"Score,4.50,Rank,#88,Overall,#44,Relational DBMS",www.progress.com/openedge,documentation.progress.com/output/ua/OpenEdge_latest,Progress Software Corporation,1984.0,"OpenEdge 12.2, March 2020",commercial,no,,,"AIX,HP-UX,Linux,Solaris,Windows",yes,yes,yes,yes,yes,"JDBC,ODBC",Progress proprietary ABL (Advanced Business Language),yes,yes,horizontal partitioning,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,Users and groups
Oracle NoSQL,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes","Document store,Key-value store,Relational DBMS",,"Score,4.42,Rank,#89,Overall,#17,Document stores,#15,Key-value stores,#45,Relational DBMS",www.oracle.com/database/technologies/related/nosql.html,docs.oracle.com/en/database/other-databases/nosql-database/index.html,Oracle,2011.0,"22.2, August 2022",Open Source,no,,Java,"Linux,Solaris SPARC/x86",Support Fixed schema and Schema-less deployment with the ability to interoperate between them.,optional,no,yes,SQL-like DML and DDL statements,RESTful HTTP API,"C,C#,Go,Java,JavaScript (Node.js),Python",no,no,Sharding,Electable source-replica replication per shard. Support distributed global deployment with Multi-region table feature,with Hadoop integration,"Eventual Consistency,Immediate Consistency",no,configurable,yes,yes,yes,Access rights for users and roles
"UniData,UniVerse",MultiValue database and application server with SQL mapping layer and meta database capabilities,Multivalue DBMS,,"Score,4.28,Rank,#90,Overall,#2,Multivalue DBMS",www.rocketsoftware.com/products/rocket-u2,www.rocketsoftware.com/products/rocket-u2/documentation,Rocket Software,1985.0,,commercial,no,,C,"AIX,HP-UX,Linux,Solaris,Windows",schema-free,optional,,yes,yes,"Java API,JDBC,ODBC,OLE DB,Proprietary protocol,RESTful HTTP API,SOAP-based API",".Net,Basic,C,Java",yes,yes,none,Source-replica replication,no,,no,ACID,yes,yes,,Access rights according to SQL-standard and operating system based
Google Cloud Spanner,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",Relational DBMS,,"Score,4.24,Rank,#91,Overall,#46,Relational DBMS",cloud.google.com/spanner,cloud.google.com/spanner/docs,Google,2017.0,,commercial,yes,,,hosted,yes,yes,no,yes,yes,"gRPC (using protocol buffers) API,JDBC,RESTful HTTP API","Go,Java,JavaScript (Node.js),Python",no,no,Sharding,Multi-source replication with 3 replicas for regional instances.,yes,Immediate Consistency,yes,ACID,yes,yes,no,"Access rights for users, groups and roles based on,Google Cloud Identity and Access Management (IAM)"
IBM Cloudant,"Database as a Service offering based on,Apache CouchDB",Document store,,"Score,4.21,Rank,#92,Overall,#18,Document stores",www.ibm.com/cloud/cloudant,cloud.ibm.com/docs/Cloudant,"IBM, Apache Software Foundation",2010.0,,commercial,yes,,Erlang,hosted,schema-free,no,no,yes,no,RESTful HTTP/JSON API,"C#,Java,JavaScript,Objective-C,PHP,Ruby",View functions (Map-Reduce) in JavaScript,yes,Sharding,"Multi-source replication,Source-replica replication",yes,Eventual Consistency,no,no,yes,yes,no,Access rights for users can be defined per database
YugabyteDB,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",Relational DBMS,"Document store,Wide column store","Score,4.15,Rank,#93,Overall,#47,Relational DBMS",www.yugabyte.com,"docs.yugabyte.com,github.com/yugabyte/yugabyte-db",Yugabyte Inc.,2017.0,"2.14, July 2022",Open Source,no,"Yugabyte Cloud,is the fully managed database-as-a-service offering of YugabyteDB. Get started quickly, and effortlessly ensure continuous availability and limitless scale of your cloud native applications.",C and C++,"Linux,OS X",depending on used data model,yes,no,yes,"yes, PostgreSQL compatible","JDBC,YCQL, an SQL-based flexible-schema API with its roots in Cassandra Query Language,YSQL - a fully relational SQL API that is wire compatible with the SQL language in PostgreSQL","C,C#,C++,Go,Java,JavaScript (Node.js),Python,Ruby",yes,yes,"Hash and Range Sharding, row-level geo-partitioning","Based on Raft distributed consensus protocol, minimum 3 replicas for continuous availability",no,Strong consistency on writes and tunable consistency on reads,yes,Distributed ACID with Serializable & Snapshot Isolation. Inspired by Google Spanner architecture.,yes,yes,no,yes
Trino,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",Relational DBMS,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store","Score,3.98,Rank,#94,Overall,#48,Relational DBMS",trino.io,"trino.io/broadcast,trino.io/docs/current",Trino Software Foundation,2012.0,,Open Source,no,"Starburst Galaxy,offers a feature-rich user interface to connect all your data sources, manage your Trino clusters, and query your data.",Java,"Linux,macOS",yes,yes,no,depending on connected data-source,yes,"JDBC,RESTful HTTP API,Trino CLI","Go,Java,JavaScript (Node.js),Python,R,Ruby","yes, depending on connected data-source",no,depending on connected data-source,depending on connected data-source,no,depending on connected data-source,no,depending on connected data-source,yes,depending on connected data-source,,SQL standard access control
TiDB,"TiDB is an open source distributed Hybrid Transactional/Analytical Processing (HTAP) database that supports,MySQL,and,Spark SQL,syntaxes.",Relational DBMS,Document store,"Score,3.69,Rank,#95,Overall,#49,Relational DBMS",pingcap.com,docs.pingcap.com/tidb/stable,"PingCAP, Inc.",2016.0,"6.3.0, September 2022",Open Source,no,"TiDB Cloud,: Fully-managed TiDB Service. Bring everything great about TiDB to the cloud.","Go, Rust",Linux,yes,yes,no,yes,yes,"JDBC,ODBC,Proprietary protocol","Ada,C,C#,C++,D,Delphi,Eiffel,Erlang,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",no,no,horizontal partitioning (by key range),Using Raft consensus algorithm to ensure data replication with strong consistency among multiple replicas.,yes,Immediate Consistency,no,ACID,yes,yes,no,Users with fine-grained authorization concept. No user groups or roles.
MaxDB,"A robust and reliable,RDBMS,optimized to run all major SAP solutions",Relational DBMS,,"Score,3.68,Rank,#96,Overall,#50,Relational DBMS",maxdb.sap.com,maxdb.sap.com/documentation,"SAP, acquired from Software AG (Adabas-D) in 1997",1984.0,"7.9.10 (January 2020), 2020",commercial,no,,C++,"AIX,HP-UX,Linux,Solaris,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,WebDAV",".Net,C#,Java,Perl,PHP,Python",yes,yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
LevelDB,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",Key-value store,,"Score,3.68,Rank,#97,Overall,#16,Key-value stores",github.com/google/leveldb,github.com/google/leveldb/blob/master/doc/index.md,Google,2011.0,"1.23, February 2021",Open Source,no,,C++,"Illumos,Linux,OS X,Windows",schema-free,no,no,no,no,,"C++,Go,Java,JavaScript (Node.js),Python",no,no,none,none,no,Immediate Consistency,no,no,yes,yes,,no
Apache Jena - TDB,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",RDF store,,"Score,3.63,Rank,#98,Overall,#3,RDF stores",jena.apache.org/documentation/tdb/index.html,jena.apache.org/documentation/tdb/index.html,Apache Software Foundation,2000.0,"4.6.1, September 2022",Open Source,no,,Java,All OS with a Java VM,yes,yes,,yes,no,"Fuseki,Jena RDF API,RIO",Java,yes,yes,none,none,no,,,ACID,yes,yes,,Access control via Jena Security
RethinkDB,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,Document store,Spatial DBMS,"Score,3.48,Rank,#99,Overall,#19,Document stores",rethinkdb.com,rethinkdb.com/docs,The Linux Foundation,2009.0,"2.4.1, August 2020",Open Source,no,,C++,"Linux,OS X,Windows",schema-free,yes,no,yes,no,,"C,C#,C++,Clojure,Dart,Erlang,Go,Haskell,Java,JavaScript (Node.js),Lisp,Lua,Objective-C,Perl,PHP,Python,Ruby,Scala",,Client-side triggers through changefeeds,Sharding,Source-replica replication,yes,Immediate Consistency,no,Atomic single-document operations,yes,yes,no,yes
PouchDB,"JavaScript DBMS with an API inspired by,CouchDB",Document store,,"Score,3.44,Rank,#100,Overall,#20,Document stores",pouchdb.com,pouchdb.com/guides,Apache Software Foundation,2012.0,"7.1.1, June 2019",Open Source,no,,JavaScript,"server-less, requires a JavaScript environment (browser, Node.js)",schema-free,no,no,yes,no,"HTTP REST,JavaScript API",JavaScript,View functions in JavaScript,yes,Sharding,"Multi-source replication,Source-replica replication",yes,Eventual Consistency,no,no,,yes,yes,no
Apache Phoenix,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",Relational DBMS,,"Score,3.42,Rank,#101,Overall,#51,Relational DBMS",phoenix.apache.org,phoenix.apache.org,Apache Software Foundation,2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,no,,Java,"Linux,Unix,Windows",yes,yes,no,yes,yes,JDBC,"C,C#,C++,Go,Groovy,Java,PHP,Python,Scala",user defined functions,no,Sharding,"Multi-source replication,Source-replica replication",Hadoop integration,Immediate Consistency or Eventual Consistency,no,ACID,yes,yes,yes,"Access Control Lists (using HBase ACL) for RBAC, integration with Apache Ranger for RBAC & ABAC, multi-tenancy"
Infinispan,,Key-value store,,"Score,3.42,Rank,#102,Overall,#17,Key-value stores",infinispan.org,infinispan.org/documentation,,2009.0,"13.0.0.Final, October 2021",Open Source,no,,Java,,,,,,,,,,,,,,,,,,,,
EXASOL,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",Relational DBMS,,"Score,3.37,Rank,#103,Overall,#52,Relational DBMS",www.exasol.com,www.exasol.com/resources,Exasol,2000.0,,commercial,no,,,,yes,yes,no,yes,yes,".Net,JDBC,ODBC,WebSocket","Java,Lua,Python,R",user defined functions,yes,Sharding,,yes,Immediate Consistency,yes,ACID,yes,yes,yes,"Access rights for users, groups and roles according to SQL-standard"
Apache Drill,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage","Document store,Relational DBMS",,"Score,3.33,Rank,#104,Overall,#21,Document stores,#53,Relational DBMS",drill.apache.org,drill.apache.org/docs,Apache Software Foundation,2012.0,"1.20.2, August 2022",Open Source,no,,,"Linux,OS X,Windows",schema-free,yes,no,no,SQL SELECT statement is SQL:2003 compliant,"JDBC,ODBC,RESTful HTTP API",C++,user defined functions,no,Sharding,,yes,none,no,no,yes,Depending on the underlying data source,Depending on the underlying data source,Depending on the underlying data source
SAP Advantage Database Server,"Low-cost,RDBMS,with access to ISAM and FoxPro data structures",Relational DBMS,,"Score,3.30,Rank,#105,Overall,#54,Relational DBMS",www.sap.com/products/advantage-database-server.html,,"Sybase, SAP",1993.0,,commercial,no,,,"Linux,Windows",yes,yes,no,yes,yes,".NET Client API,ADO.NET,JDBC,ODBC,OLE DB","Delphi,Perl,PHP",yes,yes,none,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Oracle Berkeley DB,Widely used in-process key-value store,"Key-value store,Native XML DBMS",,"Score,3.26,Rank,#106,Overall,#18,Key-value stores,#3,Native XML DBMS",www.oracle.com/technetwork/database/database-technologies/berkeleydb/overview/index.html,docs.oracle.com/cd/E17076_05/html/index.html,Oracle,1994.0,"18.1.40, May 2020",Open Source,no,,"C, Java, C++ (depending on the Berkeley DB edition)","AIX,Android,FreeBSD,iOS,Linux,OS X,Solaris,VxWorks,Windows",schema-free,no,yes,yes,yes,,".Net,others,C,C#,C++,Java,JavaScript (Node.js),Perl,Python,Tcl",no,yes,none,Source-replica replication,no,,no,ACID,,yes,yes,no
Amazon Neptune,"Fast, reliable graph database built for the cloud","Graph DBMS,RDF store",,"Score,3.09,Rank,#107,Overall,#6,Graph DBMS,#4,RDF stores",aws.amazon.com/neptune,aws.amazon.com/neptune/developer-resources,Amazon,2017.0,,commercial,yes,,,hosted,schema-free,yes,no,no,no,"RDF 1.1 / SPARQL 1.1,TinkerPop Gremlin 3.3","C#,Go,Java,JavaScript,PHP,Python,Ruby,Scala",no,no,none,"Multi-availability zones high availability, asynchronous replication for up to 15 read replicas",no,Immediate Consistency,yes,ACID,yes,yes,,Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM)
Percona Server for MySQL,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",Relational DBMS,,"Score,3.02,Rank,#108,Overall,#55,Relational DBMS",www.percona.com/software/mysql-database/percona-server,www.percona.com/downloads/Percona-Server-LATEST,Percona,2008.0,"8.0.28-20, 2022",Open Source,no,,C and C++,Linux,yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC","Ada,C,C#,C++,D,Eiffel,Erlang,Haskell,Java,Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,,"Multi-source replication,Source-replica replication,XtraDB Cluster",no,Immediate Consistency,yes,ACID,yes,yes,yes,Users with fine-grained authorization concept
JanusGraph,A Graph DBMS optimized for distributed clusters,Graph DBMS,,"Score,2.99,Rank,#109,Overall,#7,Graph DBMS",janusgraph.org,docs.janusgraph.org,"Linux Foundation; originally developed as,Titan,by Aurelius",2017.0,"0.6.1, January 2022",Open Source,no,,Java,"Linux,OS X,Unix,Windows",yes,yes,no,yes,no,"Java API,TinkerPop Blueprints,TinkerPop Frames,TinkerPop Gremlin,TinkerPop Rexster","Clojure,Java,Python",yes,yes,yes,yes,yes,"Eventual Consistency,Immediate Consistency",yes,ACID,yes,yes,,User authentification and security via Rexster Graph Server
IMS,,Navigational DBMS,,"Score,2.99,Rank,#110,Overall,#1,Navigational DBMS",www.ibm.com/software/data/ims,www.ibm.com/support/knowledgecenter/SSEPH2,IBM,1966.0,"15, October 2017",commercial,no,,,,,,,,,,,,,,,,,,,,,,
InterSystems Caché,A multi-model DBMS and application server,"Key-value store,Object oriented DBMS,Relational DBMS",Document store,"Score,2.94,Rank,#111,Overall,#19,Key-value stores,#1,Object oriented DBMS,#56,Relational DBMS",www.intersystems.com/products/cache,docs.intersystems.com,InterSystems,1997.0,"2018.1.4, May 2020",commercial,no,,,"AIX,HP Open VMS,HP-UX,Linux,OS X,Solaris,Windows",depending on used data model,yes,yes,yes,yes,".NET Client API,JDBC,ODBC,RESTful HTTP API","C#,C++,Java",yes,yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,"Access rights for users, groups and roles"
CloudKit,,Document store,,"Score,2.87,Rank,#112,Overall,#22,Document stores",developer.apple.com/icloud/cloudkit,,,2016.0,,commercial,yes,,,,,,,,,,,,,,,,,,,,,,
Citus,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,Relational DBMS,Document store,"Score,2.87,Rank,#113,Overall,#57,Relational DBMS",www.citusdata.com,docs.citusdata.com,,2010.0,"8.1, December 2018",Open Source,no,,C,Linux,yes,yes,yes,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,JavaScript (Node.js),Perl,PHP,Python,Tcl",user defined functions,yes,Sharding,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
EDB Postgres,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",Relational DBMS,"Document store,Spatial DBMS","Score,2.72,Rank,#114,Overall,#58,Relational DBMS",www.enterprisedb.com,www.enterprisedb.com/edb-docs,EnterpriseDB,2005.0,"14, December 2021",commercial,no,,C,"Linux,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,Perl,PHP,Python,Tcl",user defined functions,yes,horizontal partitioning,Multi-source replication,no,Immediate Consistency,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,no,fine grained access rights according to SQL-standard
RRDtool,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,Time Series DBMS,,"Score,2.69,Rank,#115,Overall,#6,Time Series DBMS",oss.oetiker.ch/rrdtool,oss.oetiker.ch/rrdtool/doc,Tobias Oetiker,1999.0,"1.8.0, 2022",Open Source,no,,C,"HP-UX,Linux",yes,Numeric data only,no,no,no,"in-process shared library,Pipes","C,C#,Java,JavaScript (Node.js),Lua,Perl,PHP,Python,Ruby",no,no,none,none,no,none,no,no,yes,yes,yes,no
