Rank_Feb-2024,Rank_Jan-2024,Rank_Feb-2023,DBMS,Database Model,Score_Feb-2024,Score_Jan-2024,Score_Feb-2023,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1241.45,-6.05,-6.08,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1106.67,-16.79,-88.78,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",853.57,-23.03,-75.52,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",629.41,-19.55,+12.90,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",420.36,+2.88,-32.41,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",160.71,+1.33,-13.12,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,8.,Elasticsearch,"Search engine, Multi-model",135.74,-0.33,-2.86,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,8.,7.,IBM Db2,"Relational, Multi-model",132.23,-0.18,-10.74,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,9.,12.,Snowflake,Relational,127.45,+1.53,+11.80,https://db-engines.com/en/system/Snowflake,
10.,11.,9.,SQLite,Relational,117.28,+2.08,-15.38,https://db-engines.com/en/system/SQLite,
11.,10.,10.,Microsoft Access,Relational,113.17,-4.50,-17.86,https://db-engines.com/en/system/Microsoft+Access,
12.,12.,11.,Cassandra,"Wide column, Multi-model",109.27,-1.77,-6.95,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,13.,MariaDB,"Relational, Multi-model",97.23,-2.00,+0.42,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,91.65,-1.07,+4.57,https://db-engines.com/en/system/Splunk,
15.,16.,15.,Amazon DynamoDB,Multi-model,82.90,+1.96,+3.21,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,15.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",79.56,-1.51,+0.81,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,19.,Databricks,Multi-model,76.91,-3.62,+16.58,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
18.,18.,17.,Hive,Relational,65.81,-1.15,-6.31,https://db-engines.com/en/system/Hive,
19.,19.,22.,Google BigQuery,Relational,63.63,+0.15,+11.17,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,18.,Teradata,"Relational, Multi-model",51.24,-1.94,-11.79,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
21.,21.,21.,FileMaker,Relational,50.48,-1.56,-2.32,https://db-engines.com/en/system/FileMaker,
22.,22.,20.,Neo4j,Graph,46.61,-1.57,-8.82,https://db-engines.com/en/system/Neo4j,
23.,23.,23.,SAP HANA,"Relational, Multi-model",45.22,-1.22,-4.45,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,24.,Solr,"Search engine, Multi-model",44.60,-0.53,-1.28,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",39.34,-0.09,-3.71,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,HBase,Wide column,33.95,+0.09,-4.46,https://db-engines.com/en/system/HBase,
