Rank_Apr-2026,Rank_Mar-2026,Rank_Apr-2025,DBMS,Database Model,Score_Apr-2026,Score_Mar-2026,Score_Apr-2025,DBMS_insitelink,Multi_model_info
35.,36.,39.,Firebase Realtime Database,Document,15.97,+0.86,+2.82,https://db-engines.com/en/system/Firebase+Realtime+Database,
36.,35.,,Microsoft Fabric,Relational,15.82,+0.70,,https://db-engines.com/en/system/Microsoft+Fabric,
37.,39.,35.,Memcached,Key-value,13.97,+0.29,-1.00,https://db-engines.com/en/system/Memcached,
38.,37.,37.,Amazon Redshift,Relational,13.79,-0.46,-0.37,https://db-engines.com/en/system/Amazon+Redshift,
39.,38.,34.,Informix,"Relational, Multi-model",13.51,-0.27,-1.57,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
40.,40.,41.,Apache Impala,"Relational, Multi-model",11.93,-0.73,+0.71,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
41.,42.,38.,Couchbase,Multi-model,10.37,+0.22,-3.67,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
42.,44.,45.,Google Cloud Firestore,Document,9.76,+0.47,+2.43,https://db-engines.com/en/system/Google+Cloud+Firestore,
43.,43.,44.,DuckDB,Relational,9.66,+0.24,+2.27,https://db-engines.com/en/system/DuckDB,
44.,45.,46.,Amazon Aurora,"Relational, Multi-model",9.39,+0.23,+2.07,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
45.,41.,40.,Apache Flink,Relational,9.10,-1.15,-2.32,https://db-engines.com/en/system/Apache+Flink,
46.,46.,54.,Prometheus,Time Series,9.07,+0.36,+2.59,https://db-engines.com/en/system/Prometheus,
47.,47.,42.,Vertica,"Relational, Multi-model",8.47,+0.08,-1.39,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
48.,48.,77.,Pinecone,Vector,8.18,+0.44,+4.84,https://db-engines.com/en/system/Pinecone,
49.,50.,47.,dBASE,Relational,8.15,+0.64,+0.86,https://db-engines.com/en/system/dBASE,
50.,51.,53.,Kdb,Multi-model,7.60,+0.18,+1.11,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
51.,49.,48.,H2,"Relational, Multi-model",7.57,+0.02,+0.38,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
52.,52.,50.,etcd,Key-value,7.11,+0.00,+0.06,https://db-engines.com/en/system/etcd,
53.,54.,60.,Trino,"Relational, Multi-model",7.09,+0.25,+1.91,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
54.,53.,58.,Algolia,Search engine,6.60,-0.36,+1.19,https://db-engines.com/en/system/Algolia,
55.,55.,51.,Realm,Document,6.60,+0.07,-0.16,https://db-engines.com/en/system/Realm,
56.,60.,87.,Milvus,Vector,6.39,+0.37,+3.49,https://db-engines.com/en/system/Milvus,
57.,57.,62.,Microsoft Azure AI Search,"Search engine, Multi-model",6.34,+0.06,+1.21,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
58.,56.,52.,Netezza,Relational,5.98,-0.30,-0.56,https://db-engines.com/en/system/Netezza,
59.,58.,43.,Greenplum,"Relational, Multi-model",5.98,-0.28,-1.51,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
60.,62.,55.,Presto,Relational,5.93,+0.14,-0.36,https://db-engines.com/en/system/Presto,
61.,61.,56.,Sphinx,Search engine,5.81,+0.00,+0.01,https://db-engines.com/en/system/Sphinx,
62.,63.,72.,TimescaleDB,"Time Series, Multi-model",5.49,+0.07,+1.90,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
63.,59.,49.,CouchDB,"Document, Multi-model",5.49,-0.56,-1.68,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
64.,64.,106.,Qdrant,Vector,4.98,+0.19,+2.75,https://db-engines.com/en/system/Qdrant,
65.,66.,109.,DolphinDB,Multi-model,4.91,+0.33,+2.71,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
66.,69.,63.,Graphite,Time Series,4.56,+0.05,+0.30,https://db-engines.com/en/system/Graphite,
67.,67.,61.,Oracle Essbase,Relational,4.55,+0.01,-0.58,https://db-engines.com/en/system/Oracle+Essbase,
68.,70.,70.,ScyllaDB,"Wide column, Multi-model",4.54,+0.11,+0.84,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
69.,65.,57.,Hazelcast,"Key-value, Multi-model",4.50,-0.26,-1.05,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
70.,68.,123.,Weaviate,Vector,4.42,-0.10,+2.56,https://db-engines.com/en/system/Weaviate,
71.,71.,66.,MarkLogic,Multi-model,4.02,+0.00,-0.11,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
72.,80.,80.,RocksDB,Key-value,3.76,+0.34,+0.62,https://db-engines.com/en/system/RocksDB,
73.,73.,81.,QuestDB,"Time Series, Multi-model",3.74,+0.08,+0.62,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
74.,72.,65.,CockroachDB,Multi-model,3.69,-0.12,-0.48,https://db-engines.com/en/system/CockroachDB,"Multi-Model DBMS,Relational DBMS,CockroachDB supports relational, semi-structured JSON/document, vector/embedding, geospatial, and typed categorical/enumeration data, all exposed via SQL, on the same strongly consistent, globally distributed data platform."
75.,74.,64.,Apache Jackrabbit,Content,3.66,+0.06,-0.59,https://db-engines.com/en/system/Apache+Jackrabbit,
76.,79.,89.,ArangoDB,Multi-model,3.65,+0.21,+0.83,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
77.,77.,74.,OpenEdge,Relational,3.57,+0.10,+0.12,https://db-engines.com/en/system/OpenEdge,
78.,75.,71.,Google Cloud Datastore,Document,3.54,-0.03,-0.16,https://db-engines.com/en/system/Google+Cloud+Datastore,
79.,84.,155.,Alibaba Cloud PolarDB,Relational,3.49,+0.19,+2.20,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
80.,78.,59.,Aerospike,Multi-model,3.47,+0.02,-1.76,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
81.,76.,84.,Apache Druid,Multi-model,3.46,-0.04,+0.41,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
82.,81.,76.,Interbase,Relational,3.41,+0.00,+0.02,https://db-engines.com/en/system/Interbase,
83.,82.,67.,Datastax Enterprise,"Wide column, Multi-model",3.31,-0.06,-0.63,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
84.,83.,73.,TiDB,"Relational, Multi-model",3.26,-0.09,-0.24,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS"
85.,91.,75.,Oracle NoSQL,Multi-model,3.22,+0.19,-0.22,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
86.,90.,85.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.15,+0.04,+0.22,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
87.,88.,78.,Ingres,Relational,3.13,-0.01,-0.15,https://db-engines.com/en/system/Ingres,
88.,87.,79.,Riak KV,Key-value,3.13,-0.01,-0.11,https://db-engines.com/en/system/Riak+KV,
89.,89.,83.,Apache Derby,Relational,3.12,0.00,+0.05,https://db-engines.com/en/system/Apache+Derby,
90.,85.,88.,SAP SQL Anywhere,Relational,2.94,-0.31,+0.05,https://db-engines.com/en/system/SAP+SQL+Anywhere,
91.,92.,97.,Google Cloud Spanner,Relational,2.89,+0.02,+0.33,https://db-engines.com/en/system/Google+Cloud+Spanner,
92.,93.,82.,Apache Ignite,Multi-model,2.87,+0.02,-0.23,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
93.,98.,119.,Chroma,Vector,2.86,+0.14,+0.96,https://db-engines.com/en/system/Chroma,
94.,86.,68.,Ehcache,Key-value,2.83,-0.32,-1.11,https://db-engines.com/en/system/Ehcache,
95.,94.,90.,Adabas,Multivalue,2.81,-0.01,+0.05,https://db-engines.com/en/system/Adabas,
96.,96.,69.,SingleStore,"Relational, Multi-model",2.79,+0.03,-1.15,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
97.,95.,94.,Microsoft Azure Table Storage,Wide column,2.76,0.00,+0.13,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
98.,97.,86.,Virtuoso,Multi-model,2.68,-0.05,-0.25,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
99.,99.,102.,GemFire,"Key-value, Multi-model",2.66,-0.04,+0.25,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
100.,100.,92.,HyperSQL,Relational,2.59,-0.02,-0.11,https://db-engines.com/en/system/HyperSQL,
101.,113.,131.,TDengine,"Time Series, Multi-model",2.58,+0.31,+0.91,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
102.,101.,93.,Google Cloud Bigtable,Multi-model,2.57,+0.02,-0.10,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
103.,102.,91.,OrientDB,Multi-model,2.53,0.00,-0.18,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
104.,103.,99.,IBM Cloudant,Document,2.50,0.00,+0.00,https://db-engines.com/en/system/IBM+Cloudant,
105.,106.,101.,Apache Jena - TDB,RDF,2.49,+0.02,+0.04,https://db-engines.com/en/system/Apache+Jena+-+TDB,
106.,104.,100.,Apache Accumulo,Wide column,2.49,+0.01,+0.04,https://db-engines.com/en/system/Apache+Accumulo,
107.,108.,111.,Amazon Neptune,Multi-model,2.47,+0.09,+0.36,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
