Rank_May-2026,Rank_Apr-2026,Rank_May-2025,DBMS,Database Model,Score_May-2026,Score_Apr-2026,Score_May-2025,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1143.28,-14.66,-83.29,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",856.49,-1.20,-108.49,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",700.99,-1.08,-73.90,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",682.68,+1.33,+8.37,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",384.65,-0.37,-17.87,https://db-engines.com/en/system/MongoDB,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Snowflake,Relational,215.64,-1.73,+43.63,https://db-engines.com/en/system/Snowflake,
7.,7.,12.,Databricks,Multi-model,151.79,+1.31,+49.13,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
8.,8.,7.,Redis,"Key-value, Multi-model",147.63,+1.09,-4.56,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
9.,9.,8.,IBM Db2,"Relational, Multi-model",113.04,-0.21,-13.36,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,11.,Apache Cassandra,"Wide column, Multi-model",101.67,-0.95,-6.39,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
11.,11.,9.,Elasticsearch,Multi-model,96.02,-3.49,-27.79,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
12.,12.,10.,SQLite,Relational,95.88,-0.01,-21.89,https://db-engines.com/en/system/SQLite,
13.,13.,14.,MariaDB,"Relational, Multi-model",82.74,-3.67,-10.86,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,15.,16.,Apache Hive,Relational,74.70,+0.57,-1.07,https://db-engines.com/en/system/Apache+Hive,
15.,14.,17.,Microsoft Azure SQL Database,"Relational, Multi-model",73.34,-2.62,-2.11,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,16.,18.,Splunk,Search engine,72.42,-0.66,+1.03,https://db-engines.com/en/system/Splunk,
17.,17.,13.,Microsoft Access,Relational,62.30,-2.61,-33.60,https://db-engines.com/en/system/Microsoft+Access,
18.,18.,15.,Amazon DynamoDB,Multi-model,60.40,-2.27,-18.90,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
19.,19.,19.,Google BigQuery,Relational,50.56,-1.79,-12.31,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,20.,Neo4j,Graph,47.59,+0.71,-0.32,https://db-engines.com/en/system/Neo4j,
21.,22.,23.,Apache Solr,"Search engine, Multi-model",32.52,-0.65,-0.28,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,21.,24.,SAP HANA,"Relational, Multi-model",32.43,-0.80,+0.42,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
23.,23.,22.,Teradata,"Relational, Multi-model",30.94,-0.17,-2.93,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
24.,24.,21.,FileMaker,Relational,27.88,-0.94,-7.67,https://db-engines.com/en/system/FileMaker,
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",25.02,-0.29,-3.63,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,31.,ClickHouse,"Relational, Multi-model",23.49,+0.61,+4.72,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
27.,27.,26.,Microsoft Azure Cosmos DB,Multi-model,22.09,-0.34,-0.85,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,29.,Apache Spark (SQL),Relational,21.93,-0.04,+0.31,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
29.,29.,30.,PostGIS,"Spatial, Multi-model",21.15,-0.36,+2.21,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,31.,28.,InfluxDB,"Time Series, Multi-model",20.86,+0.37,-0.92,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
