DBMS,Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Apache Hive,17.0,17.0,18.0,Relational,76.1,+5.06,+23.02,https://db-engines.com/en/system/Apache+Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no
Splunk,18.0,18.0,13.0,Search engine,75.77,+6.00,-17.26,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no
Google BigQuery,19.0,19.0,19.0,Relational,66.0,+0.82,+13.33,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes
Neo4j,20.0,20.0,21.0,Graph,53.78,-0.69,+11.10,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.23, August 2024",Open Source,"GPL version3, commercial licenses available",no
Apache Solr,21.0,21.0,24.0,"Search engine, Multi-model",36.76,+1.96,+2.61,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.6.1, May 2024",Open Source,Apache Version 2,no
FileMaker,22.0,23.0,20.0,Relational,34.44,+1.12,-10.76,https://db-engines.com/en/system/FileMaker,,Claris,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no
Teradata,23.0,22.0,22.0,"Relational, Multi-model",34.41,+0.66,-7.06,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no
SAP HANA,24.0,24.0,23.0,"Relational, Multi-model",33.07,+0.77,-8.25,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",27.74,-0.40,-4.93,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no
Apache Spark (SQL),26.0,26.0,34.0,Relational,25.36,+0.73,+8.93,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,Apache Software Foundation,Apache Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no
Microsoft Azure Cosmos DB,27.0,27.0,27.0,Multi-model,23.94,+1.10,-1.03,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes
InfluxDB,28.0,28.0,28.0,"Time Series, Multi-model",23.75,+1.16,+1.63,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.6, April 2024",Open Source,MIT-License; commercial enterprise version available,no
PostGIS,29.0,30.0,29.0,"Spatial, Multi-model",21.69,+2.11,+1.52,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no
