Rank_Jun-2026,Rank_May-2026,Rank_Jun-2025,DBMS,Database Model,Score_Jun-2026,Score_May-2026,Score_Jun-2025,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1140.04,-3.24,-90.35,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",856.29,-0.21,-97.29,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",698.04,-2.95,-78.71,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",688.23,+5.55,+7.58,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",387.97,+3.33,-14.87,https://db-engines.com/en/system/MongoDB,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Snowflake,Relational,214.57,-1.07,+40.09,https://db-engines.com/en/system/Snowflake,
7.,7.,12.,Databricks,Multi-model,157.58,+5.80,+52.91,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
8.,8.,7.,Redis,"Key-value, Multi-model",150.02,+2.39,-1.70,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
9.,9.,8.,IBM Db2,"Relational, Multi-model",113.53,+0.49,-11.60,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,11.,Apache Cassandra,"Wide column, Multi-model",102.97,+1.30,-5.30,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
11.,12.,10.,SQLite,Relational,95.44,-0.44,-21.59,https://db-engines.com/en/system/SQLite,
12.,11.,9.,Elasticsearch,Multi-model,94.65,-1.37,-26.63,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
13.,13.,13.,MariaDB,"Relational, Multi-model",81.22,-1.52,-13.32,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,15.,17.,Microsoft Azure SQL Database,"Relational, Multi-model",74.92,+1.59,-0.39,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,14.,16.,Apache Hive,Relational,71.54,-3.16,-5.14,https://db-engines.com/en/system/Apache+Hive,
16.,16.,18.,Splunk,Search engine,71.21,-1.21,+1.59,https://db-engines.com/en/system/Splunk,
17.,17.,14.,Microsoft Access,Relational,64.91,+2.60,-23.37,https://db-engines.com/en/system/Microsoft+Access,
18.,18.,15.,Amazon DynamoDB,Multi-model,57.89,-2.51,-25.45,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
19.,19.,19.,Google BigQuery,Relational,52.41,+1.84,-12.13,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,20.,Neo4j,Graph,49.41,+1.82,-1.92,https://db-engines.com/en/system/Neo4j,
21.,21.,22.,Apache Solr,"Search engine, Multi-model",33.59,+1.07,+0.12,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,22.,24.,SAP HANA,"Relational, Multi-model",32.46,+0.04,+0.73,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
23.,23.,23.,Teradata,"Relational, Multi-model",31.35,+0.42,-1.24,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
24.,24.,21.,FileMaker,Relational,28.55,+0.68,-5.47,https://db-engines.com/en/system/FileMaker,
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",24.97,-0.06,-2.94,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,30.,ClickHouse,"Relational, Multi-model",24.30,+0.81,+5.70,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
27.,28.,26.,Apache Spark (SQL),Relational,22.44,+0.51,-0.28,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
28.,29.,31.,PostGIS,"Spatial, Multi-model",22.08,+0.93,+3.60,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
