Rank_Dec-2024,Rank_Nov-2024,Rank_Dec-2023,DBMS,Database Model,Score_Dec-2024,Score_Nov-2024,Score_Dec-2023,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1263.79,-53.22,+6.38,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1003.76,-14.04,-122.88,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",805.69,+5.88,-98.14,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",666.37,+12.04,+15.47,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",400.39,-0.54,-18.76,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",150.27,+1.63,-8.08,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,10.,Snowflake,Relational,147.36,+4.87,+27.48,https://db-engines.com/en/system/Snowflake,
8.,8.,7.,Elasticsearch,Multi-model,132.32,+0.68,-5.43,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
9.,9.,8.,IBM Db2,"Relational, Multi-model",122.78,+1.04,-11.81,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,11.,SQLite,Relational,101.72,+2.24,-16.23,https://db-engines.com/en/system/SQLite,
11.,11.,12.,Apache Cassandra,"Wide column, Multi-model",97.94,+0.22,-14.26,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,12.,9.,Microsoft Access,Relational,90.82,-0.49,-30.93,https://db-engines.com/en/system/Microsoft+Access,
13.,14.,17.,Databricks,Multi-model,87.68,+1.22,+7.37,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
14.,13.,14.,Splunk,Search engine,85.36,-3.11,-10.94,https://db-engines.com/en/system/Splunk,
15.,15.,13.,MariaDB,"Relational, Multi-model",83.77,+1.07,-16.66,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,16.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",76.37,-0.16,-6.67,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,16.,Amazon DynamoDB,Multi-model,72.73,+0.33,-9.68,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
18.,18.,18.,Apache Hive,Relational,53.09,+1.59,-16.31,https://db-engines.com/en/system/Apache+Hive,
19.,19.,19.,Google BigQuery,Relational,52.29,+1.71,-9.88,https://db-engines.com/en/system/Google+BigQuery,
20.,21.,22.,Neo4j,Graph,43.07,+0.37,-6.92,https://db-engines.com/en/system/Neo4j,
21.,20.,21.,FileMaker,Relational,42.86,+0.08,-11.32,https://db-engines.com/en/system/FileMaker,
22.,22.,23.,SAP HANA,"Relational, Multi-model",37.65,-1.46,-11.15,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
23.,23.,20.,Teradata,"Relational, Multi-model",37.61,-1.07,-18.09,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
24.,24.,24.,Apache Solr,"Search engine, Multi-model",32.47,+0.05,-11.73,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
