Rank_May-2025,Rank_Apr-2025,Rank_May-2024,DBMS,Database Model,Score_May-2025,Score_Apr-2025,Score_May-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1226.57,-4.49,-9.72,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",964.98,-22.12,-118.76,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",774.89,-10.12,-49.41,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",674.32,+7.07,+28.77,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",402.51,+2.46,-19.14,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,9.,Snowflake,Relational,172.01,+3.92,+50.67,https://db-engines.com/en/system/Snowflake,
7.,7.,6.,Redis,"Key-value, Multi-model",152.19,-1.92,-5.61,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,9.,8.,IBM Db2,"Relational, Multi-model",126.40,+0.36,-2.06,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,8.,7.,Elasticsearch,Multi-model,123.81,-4.27,-11.54,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
10.,10.,10.,SQLite,Relational,117.77,+3.68,+3.45,https://db-engines.com/en/system/SQLite,
11.,11.,12.,Apache Cassandra,"Wide column, Multi-model",108.05,-0.15,+6.16,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,12.,15.,Databricks,Multi-model,102.66,+3.37,+24.05,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
