Rank_Feb-2023,Rank_Jan-2023,Rank_Feb-2022,DBMS,Database Model,Score_Feb-2023,Score_Jan-2023,Score_Feb-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1247.52,+2.35,-9.31,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1195.45,-16.51,-19.23,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",929.09,+9.70,-19.96,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",616.50,+1.65,+7.12,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Spatial DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",452.77,-2.42,-35.88,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",173.83,-3.72,-1.96,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
7.,7.,7.,IBM Db2,"Relational, Multi-model",142.97,-0.60,-19.91,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
8.,8.,8.,Elasticsearch,"Search engine, Multi-model",138.60,-2.56,-23.70,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS"
9.,10.,10.,SQLite,Relational,132.67,+1.17,+4.30,https://db-engines.com/en/system/SQLite,
10.,9.,9.,Microsoft Access,Relational,131.03,-2.33,-0.23,https://db-engines.com/en/system/Microsoft+Access,
11.,12.,11.,Cassandra,Wide column,116.22,-0.09,-7.76,https://db-engines.com/en/system/Cassandra,
12.,11.,15.,Snowflake,Relational,115.65,-1.60,+32.47,https://db-engines.com/en/system/Snowflake,
13.,13.,12.,MariaDB,"Relational, Multi-model",96.81,-2.55,-10.30,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,13.,Splunk,Search engine,87.08,-1.32,-3.73,https://db-engines.com/en/system/Splunk,
15.,15.,17.,Amazon DynamoDB,Multi-model,79.69,-1.87,-0.67,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,16.,14.,Microsoft Azure SQL Database,"Relational, Multi-model",78.75,-1.62,-6.20,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,16.,Hive,Relational,72.12,-2.22,-9.76,https://db-engines.com/en/system/Hive,
18.,18.,18.,Teradata,"Relational, Multi-model",63.03,-2.40,-5.54,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
19.,19.,,Databricks,Multi-model,60.33,-0.49,,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
20.,20.,20.,Neo4j,Graph,55.43,-0.41,-2.81,https://db-engines.com/en/system/Neo4j,
21.,22.,22.,FileMaker,Relational,52.80,-0.28,-1.33,https://db-engines.com/en/system/FileMaker,
22.,21.,24.,Google BigQuery,Relational,52.45,-1.97,+7.35,https://db-engines.com/en/system/Google+BigQuery,
23.,23.,21.,SAP HANA,"Relational, Multi-model",49.67,-1.67,-6.64,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,19.,Solr,"Search engine, Multi-model",45.88,-0.51,-12.64,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,23.,SAP Adaptive Server,"Relational, Multi-model",43.05,+0.21,-6.48,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,25.,HBase,Wide column,38.41,-0.93,-5.21,https://db-engines.com/en/system/HBase,
27.,27.,26.,Microsoft Azure Cosmos DB,Multi-model,36.51,-1.45,-3.45,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,29.,27.,PostGIS,"Spatial DBMS, Multi-model",29.81,+0.65,-1.21,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
29.,28.,29.,InfluxDB,"Time Series, Multi-model",29.44,+0.07,+0.10,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
30.,30.,28.,Couchbase,"Document, Multi-model",24.86,-0.44,-5.21,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS"
31.,31.,31.,Memcached,Key-value,23.17,-0.58,-2.60,https://db-engines.com/en/system/Memcached,
32.,33.,30.,Firebird,Relational,22.60,-0.28,-3.76,https://db-engines.com/en/system/Firebird,
33.,32.,32.,Amazon Redshift,Relational,22.03,-1.23,-3.38,https://db-engines.com/en/system/Amazon+Redshift,
34.,34.,35.,Microsoft Azure Synapse Analytics,Relational,21.78,-0.14,+1.99,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
35.,35.,34.,Informix,"Relational, Multi-model",21.70,+0.24,-0.61,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
36.,36.,33.,Spark SQL,Relational,19.74,-0.32,-3.54,https://db-engines.com/en/system/Spark+SQL,
37.,39.,39.,Impala,"Relational, Multi-model",18.70,+0.71,-0.22,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store"
38.,37.,38.,Firebase Realtime Database,Document,18.49,-0.27,-0.66,https://db-engines.com/en/system/Firebase+Realtime+Database,
39.,38.,37.,Vertica,"Relational, Multi-model",17.41,-0.59,-1.87,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
