Rank_Apr-2024,Rank_Mar-2024,Rank_Apr-2023,DBMS,Database Model,Score_Apr-2024,Score_Mar-2024,Score_Apr-2023,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1234.27,+13.21,+5.99,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1087.72,-13.77,-70.06,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",829.80,-16.01,-88.73,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",645.05,+10.15,+36.64,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",423.96,-0.57,-17.93,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",156.44,-0.56,-17.11,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,8.,Elasticsearch,"Search engine, Multi-model",134.78,-0.01,-6.29,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,8.,7.,IBM Db2,"Relational, Multi-model",127.49,-0.26,-18.00,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,9.,12.,Snowflake,Relational,123.20,-2.18,+12.07,https://db-engines.com/en/system/Snowflake,
10.,10.,9.,SQLite,Relational,116.01,-2.15,-18.53,https://db-engines.com/en/system/SQLite,
11.,11.,10.,Microsoft Access,Relational,105.40,-2.52,-25.97,https://db-engines.com/en/system/Microsoft+Access,
12.,12.,11.,Cassandra,"Wide column, Multi-model",103.86,-0.72,-7.94,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,13.,MariaDB,"Relational, Multi-model",93.81,-1.22,-2.13,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
