Rank_Jun-2024,Rank_May-2024,Rank_Jun-2023,DBMS,Database Model,Score_Jun-2024,Score_May-2024,Score_Jun-2023,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1244.08,+7.79,+12.61,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1061.34,-22.39,-102.59,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",821.56,-2.73,-108.50,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",636.25,-9.30,+23.43,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",421.08,-0.58,-4.29,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",155.94,-1.86,-11.41,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,8.,Elasticsearch,"Search engine, Multi-model",132.83,-2.52,-10.92,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,9.,11.,Snowflake,Relational,130.36,+9.03,+16.23,https://db-engines.com/en/system/Snowflake,
9.,8.,7.,IBM Db2,"Relational, Multi-model",125.90,-2.56,-18.99,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,10.,SQLite,Relational,111.41,-2.91,-19.81,https://db-engines.com/en/system/SQLite,
11.,11.,9.,Microsoft Access,Relational,101.16,-3.75,-33.29,https://db-engines.com/en/system/Microsoft+Access,
12.,12.,12.,Cassandra,"Wide column, Multi-model",98.83,-3.06,-9.73,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,13.,MariaDB,"Relational, Multi-model",91.04,-2.17,-6.28,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,89.10,+2.65,-0.35,https://db-engines.com/en/system/Splunk,
15.,15.,18.,Databricks,Multi-model,81.08,+2.47,+15.27,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
16.,16.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",76.78,-1.20,-2.18,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,15.,Amazon DynamoDB,Multi-model,74.45,+0.38,-5.46,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
