Rank_Jun-2024,Rank_May-2024,Rank_Jun-2023,DBMS,Database Model,Score_Jun-2024,Score_May-2024,Score_Jun-2023,DBMS_insitelink,Multi_model_info
18.,18.,17.,Hive,Relational,59.76,-1.42,-15.76,https://db-engines.com/en/system/Hive,
19.,19.,20.,Google BigQuery,Relational,58.10,-2.28,+3.46,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,21.,FileMaker,Relational,47.91,-0.29,-6.47,https://db-engines.com/en/system/FileMaker,
21.,23.,22.,Neo4j,Graph,44.89,+0.44,-7.87,https://db-engines.com/en/system/Neo4j,
22.,21.,19.,Teradata,"Relational, Multi-model",44.87,-0.46,-17.77,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,22.,23.,SAP HANA,"Relational, Multi-model",44.27,-0.42,-7.14,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,24.,Solr,"Search engine, Multi-model",41.02,-1.89,-8.54,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",35.09,-1.22,-8.67,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,HBase,Wide column,27.97,-2.54,-9.28,https://db-engines.com/en/system/HBase,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,27.71,-1.33,-8.86,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",24.39,-1.44,-6.87,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,29.,PostGIS,"Spatial, Multi-model",21.72,-0.97,-9.32,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,30.,Firebird,Relational,20.50,-0.31,-5.98,https://db-engines.com/en/system/Firebird,
31.,31.,32.,Microsoft Azure Synapse Analytics,Relational,19.93,-0.63,-5.01,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
32.,32.,34.,Memcached,Key-value,18.08,-1.34,-4.34,https://db-engines.com/en/system/Memcached,
33.,33.,35.,Spark SQL,Relational,18.04,-0.91,-2.03,https://db-engines.com/en/system/Spark+SQL,
34.,35.,33.,Informix,"Relational, Multi-model",17.12,-0.75,-5.36,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
35.,34.,36.,Amazon Redshift,Relational,16.88,-1.06,-2.92,https://db-engines.com/en/system/Amazon+Redshift,
36.,36.,31.,Couchbase,"Document, Multi-model",16.59,-0.71,-8.75,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
37.,37.,46.,OpenSearch,"Search engine, Multi-model",16.03,-0.33,+3.85,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
38.,38.,44.,ClickHouse,"Relational, Multi-model",15.55,-0.79,+0.58,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
39.,39.,38.,Firebase Realtime Database,Document,13.64,-0.65,-4.93,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,40.,37.,Apache Impala,"Relational, Multi-model",12.45,-1.32,-6.95,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
41.,41.,45.,Apache Flink,Relational,11.30,-0.72,-2.52,https://db-engines.com/en/system/Apache+Flink,
42.,43.,42.,Vertica,"Relational, Multi-model",10.06,-0.62,-5.36,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,42.,41.,Presto,Relational,9.76,-1.04,-6.02,https://db-engines.com/en/system/Presto,
44.,44.,40.,dBASE,Relational,9.70,-0.65,-6.13,https://db-engines.com/en/system/dBASE,
45.,46.,39.,Netezza,Relational,8.59,-0.47,-7.29,https://db-engines.com/en/system/Netezza,
46.,49.,52.,H2,"Relational, Multi-model",8.33,+0.20,-0.68,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
47.,45.,43.,CouchDB,"Document, Multi-model",8.30,-1.00,-7.12,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
48.,48.,48.,Greenplum,"Relational, Multi-model",8.08,-0.29,-2.57,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
49.,53.,56.,Kdb,Multi-model,7.71,+0.16,-0.29,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
50.,47.,55.,Prometheus,Time Series,7.69,-0.73,-0.32,https://db-engines.com/en/system/Prometheus,
51.,50.,50.,Amazon Aurora,"Relational, Multi-model",7.57,-0.34,-2.22,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
52.,52.,54.,Realm,Document,7.41,-0.20,-0.92,https://db-engines.com/en/system/Realm,
53.,51.,47.,Google Cloud Firestore,Document,7.36,-0.49,-3.52,https://db-engines.com/en/system/Google+Cloud+Firestore,
54.,54.,51.,etcd,Key-value,7.03,-0.22,-2.24,https://db-engines.com/en/system/etcd,
55.,56.,72.,Sphinx,Search engine,5.95,-0.03,-0.18,https://db-engines.com/en/system/Sphinx,
56.,60.,59.,Datastax Enterprise,"Wide column, Multi-model",5.93,+0.13,-1.81,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
57.,59.,49.,Oracle Essbase,Relational,5.93,+0.04,-4.06,https://db-engines.com/en/system/Oracle+Essbase,
58.,55.,65.,CockroachDB,Relational,5.73,-0.42,-0.89,https://db-engines.com/en/system/CockroachDB,
59.,63.,66.,Microsoft Azure AI Search,"Search engine, Multi-model",5.52,-0.06,-1.06,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
60.,61.,63.,Aerospike,Multi-model,5.51,-0.27,-1.27,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS"
61.,57.,57.,Hazelcast,"Key-value, Multi-model",5.46,-0.52,-2.46,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
62.,62.,64.,SingleStore,"Relational, Multi-model",5.38,-0.22,-1.39,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
63.,58.,53.,MarkLogic,Multi-model,5.18,-0.75,-3.46,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
64.,64.,58.,Algolia,Search engine,5.16,-0.15,-2.72,https://db-engines.com/en/system/Algolia,
65.,66.,69.,Trino,"Relational, Multi-model",4.99,-0.01,-1.44,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
66.,65.,62.,Jackrabbit,Content,4.90,-0.19,-1.88,https://db-engines.com/en/system/Jackrabbit,
67.,73.,73.,Graphite,Time Series,4.83,+0.25,-1.22,https://db-engines.com/en/system/Graphite,
68.,67.,61.,Ehcache,Key-value,4.64,-0.25,-2.18,https://db-engines.com/en/system/Ehcache,
69.,74.,116.,DuckDB,Relational,4.63,+0.05,+1.57,https://db-engines.com/en/system/DuckDB,
70.,69.,60.,Derby,Relational,4.60,-0.11,-2.27,https://db-engines.com/en/system/Derby,
71.,71.,86.,TimescaleDB,"Time Series, Multi-model",4.46,-0.19,-0.24,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
72.,76.,75.,Google Cloud Datastore,Document,4.36,-0.11,-1.46,https://db-engines.com/en/system/Google+Cloud+Datastore,
73.,78.,82.,Virtuoso,Multi-model,4.27,+0.01,-0.97,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
74.,70.,105.,TiDB,"Relational, Multi-model",4.25,-0.41,+0.72,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
75.,72.,71.,Interbase,Relational,4.08,-0.53,-2.06,https://db-engines.com/en/system/Interbase,
76.,68.,67.,ScyllaDB,"Wide column, Multi-model",4.08,-0.67,-2.43,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
77.,75.,74.,Microsoft Azure Table Storage,Wide column,4.04,-0.44,-1.86,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
78.,80.,99.,DolphinDB,"Time Series, Multi-model",4.03,-0.11,+0.15,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS"
79.,82.,77.,Riak KV,Key-value,4.01,-0.08,-1.61,https://db-engines.com/en/system/Riak+KV,
80.,79.,76.,SAP SQL Anywhere,Relational,3.95,-0.31,-1.84,https://db-engines.com/en/system/SAP+SQL+Anywhere,
81.,77.,68.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.80,-0.58,-2.69,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
82.,81.,70.,Ingres,Relational,3.80,-0.31,-2.44,https://db-engines.com/en/system/Ingres,
83.,84.,78.,Apache Jena - TDB,RDF,3.62,-0.13,-1.99,https://db-engines.com/en/system/Apache+Jena+-+TDB,
84.,83.,106.,InterSystems IRIS,Multi-model,3.54,-0.52,+0.02,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
85.,86.,91.,OpenEdge,Relational,3.45,-0.06,-0.88,https://db-engines.com/en/system/OpenEdge,
86.,85.,92.,RocksDB,Key-value,3.41,-0.24,-0.86,https://db-engines.com/en/system/RocksDB,
87.,89.,81.,Accumulo,Wide column,3.34,0.00,-1.92,https://db-engines.com/en/system/Accumulo,
88.,90.,84.,ArangoDB,Multi-model,3.26,-0.06,-1.63,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
89.,93.,88.,OrientDB,Multi-model,3.25,+0.06,-1.28,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
90.,88.,112.,Apache Druid,Multi-model,3.25,-0.10,-0.01,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
91.,91.,132.,GraphDB,Multi-model,3.25,-0.08,+0.70,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
92.,95.,150.,Pinecone,Vector,3.23,+0.07,+1.11,https://db-engines.com/en/system/Pinecone,
93.,87.,80.,HyperSQL,Relational,3.23,-0.26,-2.10,https://db-engines.com/en/system/HyperSQL,
94.,98.,127.,Memgraph,Graph,3.19,+0.16,+0.37,https://db-engines.com/en/system/Memgraph,
95.,92.,85.,Google Cloud Bigtable,Multi-model,3.15,-0.11,-1.64,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
96.,96.,83.,Ignite,Multi-model,3.11,-0.05,-2.04,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS"
97.,100.,96.,Oracle NoSQL,Multi-model,3.05,+0.10,-0.91,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
98.,97.,89.,"UniData,UniVerse",Multivalue,2.85,-0.30,-1.59,https://db-engines.com/en/system/UniData%2CUniVerse,
99.,99.,90.,GemFire,"Key-value, Multi-model",2.85,-0.14,-1.59,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
100.,103.,93.,Google Cloud Spanner,Relational,2.84,-0.06,-1.43,https://db-engines.com/en/system/Google+Cloud+Spanner,
101.,101.,94.,RavenDB,"Document, Multi-model",2.84,-0.08,-1.43,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
102.,94.,79.,Adabas,Multivalue,2.79,-0.38,-2.79,https://db-engines.com/en/system/Adabas,
103.,113.,205.,Milvus,Vector,2.78,+0.48,+1.48,https://db-engines.com/en/system/Milvus,
104.,106.,95.,IBM Cloudant,Document,2.75,+0.07,-1.37,https://db-engines.com/en/system/IBM+Cloudant,
105.,109.,135.,QuestDB,"Time Series, Multi-model",2.70,+0.18,+0.22,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
106.,107.,122.,TDengine,"Time Series, Multi-model",2.68,+0.09,-0.22,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
107.,105.,97.,RethinkDB,"Document, Multi-model",2.66,-0.08,-1.29,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
108.,104.,87.,SAP IQ,Relational,2.64,-0.11,-2.00,https://db-engines.com/en/system/SAP+IQ,
109.,102.,98.,YugabyteDB,"Relational, Multi-model",2.63,-0.28,-1.31,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
110.,108.,115.,4D,Relational,2.47,-0.11,-0.67,https://db-engines.com/en/system/4D,
111.,110.,101.,Infinispan,Key-value,2.45,-0.07,-1.33,https://db-engines.com/en/system/Infinispan,
112.,115.,107.,PouchDB,Document,2.34,+0.06,-1.05,https://db-engines.com/en/system/PouchDB,
113.,119.,119.,Amazon Neptune,Multi-model,2.29,+0.09,-0.74,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
114.,112.,102.,MaxDB,Relational,2.26,-0.06,-1.43,https://db-engines.com/en/system/MaxDB,
115.,111.,104.,LevelDB,Key-value,2.25,-0.10,-1.36,https://db-engines.com/en/system/LevelDB,
116.,120.,129.,NebulaGraph,Graph,2.23,+0.09,-0.49,https://db-engines.com/en/system/NebulaGraph,
117.,118.,125.,Citus,"Relational, Multi-model",2.15,-0.06,-0.68,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
118.,114.,134.,Coveo,Search engine,2.11,-0.17,-0.43,https://db-engines.com/en/system/Coveo,
119.,122.,108.,Percona Server for MySQL,Relational,2.10,+0.07,-1.28,https://db-engines.com/en/system/Percona+Server+for+MySQL,
120.,128.,148.,GridDB,"Time Series, Multi-model",2.09,+0.15,-0.17,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
121.,125.,113.,LMDB,Key-value,2.09,+0.10,-1.15,https://db-engines.com/en/system/LMDB,
122.,123.,156.,Stardog,Multi-model,2.07,+0.05,+0.09,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
123.,126.,123.,Apache Phoenix,Relational,2.06,+0.09,-0.78,https://db-engines.com/en/system/Apache+Phoenix,
124.,127.,114.,Apache Drill,Multi-model,2.02,+0.07,-1.12,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
125.,129.,124.,JanusGraph,Graph,2.02,+0.08,-0.82,https://db-engines.com/en/system/JanusGraph,
126.,117.,100.,Oracle Berkeley DB,Multi-model,2.01,-0.20,-1.81,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
127.,121.,140.,Chroma,Vector,2.00,-0.07,-0.39,https://db-engines.com/en/system/Chroma,
128.,116.,118.,CloudKit,Document,1.98,-0.24,-1.05,https://db-engines.com/en/system/CloudKit,
129.,130.,126.,Oracle Coherence,Key-value,1.97,+0.05,-0.85,https://db-engines.com/en/system/Oracle+Coherence,
130.,135.,110.,EDB Postgres,"Relational, Multi-model",1.91,+0.02,-1.46,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
131.,132.,151.,Amazon DocumentDB,Document,1.91,0.00,-0.18,https://db-engines.com/en/system/Amazon+DocumentDB,
132.,136.,103.,RRDtool,Time Series,1.90,+0.03,-1.79,https://db-engines.com/en/system/RRDtool,
133.,138.,131.,Amazon SimpleDB,Key-value,1.88,+0.03,-0.80,https://db-engines.com/en/system/Amazon+SimpleDB,
134.,131.,120.,Geode,Key-value,1.86,-0.06,-1.15,https://db-engines.com/en/system/Geode,
135.,142.,141.,BaseX,Native XML,1.84,+0.11,-0.54,https://db-engines.com/en/system/BaseX,
136.,133.,144.,Empress,Relational,1.83,-0.07,-0.49,https://db-engines.com/en/system/Empress,
137.,137.,138.,Amazon CloudSearch,Search engine,1.81,-0.05,-0.62,https://db-engines.com/en/system/Amazon+CloudSearch,
138.,139.,149.,TigerGraph,Graph,1.80,-0.03,-0.40,https://db-engines.com/en/system/TigerGraph,
139.,124.,128.,EXASOL,Relational,1.76,-0.24,-1.01,https://db-engines.com/en/system/EXASOL,
140.,134.,154.,Firebolt,Relational,1.73,-0.17,-0.34,https://db-engines.com/en/system/Firebolt,
141.,145.,139.,MonetDB,"Relational, Multi-model",1.72,+0.01,-0.70,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
142.,146.,142.,OpenTSDB,Time Series,1.68,+0.00,-0.68,https://db-engines.com/en/system/OpenTSDB,
143.,144.,155.,Tarantool,Multi-model,1.67,-0.05,-0.34,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
144.,150.,137.,Datomic,Relational,1.66,+0.07,-0.78,https://db-engines.com/en/system/Datomic,
145.,141.,111.,HEAVY.AI,"Relational, Multi-model",1.64,-0.13,-1.66,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
146.,149.,133.,SpatiaLite,"Spatial, Multi-model",1.63,+0.03,-0.91,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
147.,148.,121.,IMS,Navigational,1.61,-0.02,-1.32,https://db-engines.com/en/system/IMS,
148.,140.,143.,Tibero,Relational,1.59,-0.20,-0.75,https://db-engines.com/en/system/Tibero,
149.,147.,130.,OceanBase,"Relational, Multi-model",1.57,-0.09,-1.14,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
150.,154.,145.,GridGain,Multi-model,1.55,+0.08,-0.76,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS"
151.,153.,165.,Fauna,Multi-model,1.55,+0.03,-0.25,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
152.,156.,167.,Dgraph,Graph,1.53,+0.08,-0.23,https://db-engines.com/en/system/Dgraph,
153.,143.,223.,Weaviate,Vector,1.52,-0.20,+0.44,https://db-engines.com/en/system/Weaviate,
154.,152.,161.,Actian NoSQL Database,Object oriented,1.52,0.00,-0.44,https://db-engines.com/en/system/Actian+NoSQL+Database,
155.,151.,185.,PlanetScale,"Relational, Multi-model",1.49,-0.10,-0.02,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
156.,159.,136.,jBASE,Multivalue,1.49,+0.08,-1.00,https://db-engines.com/en/system/jBASE,
157.,158.,147.,VoltDB,Relational,1.47,+0.03,-0.82,https://db-engines.com/en/system/VoltDB,
158.,155.,146.,Db4o,Object oriented,1.41,-0.05,-0.90,https://db-engines.com/en/system/Db4o,
159.,157.,181.,Sedna,Native XML,1.39,-0.06,-0.19,https://db-engines.com/en/system/Sedna,
160.,164.,159.,IBM Db2 warehouse,Relational,1.37,+0.07,-0.60,https://db-engines.com/en/system/IBM+Db2+warehouse,
161.,163.,152.,TimesTen,Relational,1.36,+0.05,-0.72,https://db-engines.com/en/system/TimesTen,
162.,161.,157.,ObjectStore,Object oriented,1.34,-0.02,-0.64,https://db-engines.com/en/system/ObjectStore,
163.,160.,200.,D3,Multivalue,1.33,-0.04,-0.01,https://db-engines.com/en/system/D3,
164.,173.,263.,Apache IoTDB,Time Series,1.31,+0.13,+0.56,https://db-engines.com/en/system/Apache+IoTDB,
165.,168.,160.,Mnesia,Document,1.29,+0.03,-0.66,https://db-engines.com/en/system/Mnesia,
166.,170.,168.,ObjectBox,Multi-model,1.29,+0.09,-0.45,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
167.,175.,290.,Qdrant,Vector,1.28,+0.12,+0.70,https://db-engines.com/en/system/Qdrant,
168.,166.,162.,LiteDB,Document,1.27,-0.01,-0.61,https://db-engines.com/en/system/LiteDB,
169.,167.,176.,mSQL,Relational,1.27,+0.01,-0.36,https://db-engines.com/en/system/mSQL,
170.,172.,175.,Apache Kylin,Relational,1.25,+0.07,-0.39,https://db-engines.com/en/system/Apache+Kylin,
171.,165.,153.,SQLBase,Relational,1.24,-0.05,-0.83,https://db-engines.com/en/system/SQLBase,
172.,162.,195.,VictoriaMetrics,Time Series,1.23,-0.09,-0.15,https://db-engines.com/en/system/VictoriaMetrics,
173.,179.,179.,EventStoreDB,Event,1.19,+0.09,-0.40,https://db-engines.com/en/system/EventStoreDB,
174.,181.,190.,HFSQL,Relational,1.17,+0.08,-0.28,https://db-engines.com/en/system/HFSQL,
175.,174.,183.,Giraph,Graph,1.17,0.00,-0.39,https://db-engines.com/en/system/Giraph,
176.,171.,166.,Datameer,Document,1.16,-0.03,-0.61,https://db-engines.com/en/system/Datameer,
177.,177.,207.,Amazon Timestream,Time Series,1.16,+0.03,-0.14,https://db-engines.com/en/system/Amazon+Timestream,
178.,184.,169.,Oracle Rdb,Relational,1.14,+0.07,-0.58,https://db-engines.com/en/system/Oracle+Rdb,
179.,187.,198.,AllegroGraph,Multi-model,1.13,+0.07,-0.23,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS"
180.,180.,172.,Apache HAWQ,Relational,1.12,+0.02,-0.54,https://db-engines.com/en/system/Apache+HAWQ,
181.,176.,171.,GT.M,Key-value,1.09,-0.05,-0.62,https://db-engines.com/en/system/GT.M,
182.,182.,164.,NonStop SQL,Relational,1.08,0.00,-0.74,https://db-engines.com/en/system/NonStop+SQL,
183.,178.,170.,DataEase,Relational,1.07,-0.03,-0.64,https://db-engines.com/en/system/DataEase,
184.,183.,186.,openGauss,"Relational, Multi-model",1.06,-0.02,-0.43,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
185.,190.,173.,FoundationDB,Multi-model,1.06,+0.03,-0.59,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
186.,185.,197.,GBase,Relational,1.05,-0.01,-0.30,https://db-engines.com/en/system/GBase,
187.,169.,163.,Cubrid,Relational,1.04,-0.16,-0.81,https://db-engines.com/en/system/Cubrid,
188.,192.,180.,GigaSpaces,Multi-model,1.03,+0.06,-0.56,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
189.,186.,177.,Altibase,Relational,1.02,-0.04,-0.61,https://db-engines.com/en/system/Altibase,
190.,203.,250.,SurrealDB,Multi-model,1.02,+0.16,+0.17,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
191.,193.,192.,Dolt,"Relational, Multi-model",1.02,+0.06,-0.41,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
192.,194.,182.,Infobright,Relational,1.02,+0.06,-0.55,https://db-engines.com/en/system/Infobright,
193.,188.,201.,Meilisearch,Search engine,1.00,-0.04,-0.33,https://db-engines.com/en/system/Meilisearch,
194.,191.,189.,Northgate Reality,Multivalue,0.98,-0.05,-0.49,https://db-engines.com/en/system/Northgate+Reality,
195.,195.,193.,NCache,"Key-value, Multi-model",0.96,+0.02,-0.45,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
196.,201.,228.,Yellowbrick,Relational,0.96,+0.09,-0.05,https://db-engines.com/en/system/Yellowbrick,
197.,198.,188.,NuoDB,Relational,0.94,+0.05,-0.53,https://db-engines.com/en/system/NuoDB,
198.,189.,218.,StarRocks,Relational,0.93,-0.10,-0.19,https://db-engines.com/en/system/StarRocks,
199.,197.,215.,M3DB,Time Series,0.92,+0.03,-0.23,https://db-engines.com/en/system/M3DB,
200.,204.,204.,IDMS,Navigational,0.91,+0.06,-0.39,https://db-engines.com/en/system/IDMS,
201.,207.,278.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.91,+0.07,+0.24,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
202.,196.,226.,Amazon Keyspaces,Wide column,0.91,-0.02,-0.13,https://db-engines.com/en/system/Amazon+Keyspaces,
203.,209.,211.,Vitess,"Relational, Multi-model",0.88,+0.06,-0.36,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
204.,200.,174.,MatrixOne,Relational,0.87,-0.01,-0.77,https://db-engines.com/en/system/MatrixOne,
205.,213.,216.,GeoMesa,Spatial,0.86,+0.08,-0.30,https://db-engines.com/en/system/GeoMesa,
