Rank_Mar-2025,Rank_Feb-2025,Rank_Mar-2024,DBMS,Database Model,Score_Mar-2025,Score_Feb-2025,Score_Mar-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1253.08,-1.74,+32.02,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",988.13,-11.86,-113.37,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",788.14,+1.27,-57.67,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",663.42,+3.81,+28.52,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",396.42,-0.21,-28.11,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,7.,9.,Snowflake,Relational,161.78,+6.20,+36.40,https://db-engines.com/en/system/Snowflake,
7.,6.,6.,Redis,"Key-value, Multi-model",155.36,-2.55,-1.64,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,8.,7.,Elasticsearch,Multi-model,131.38,-3.25,-3.41,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
9.,9.,8.,IBM Db2,"Relational, Multi-model",126.57,+1.14,-1.18,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,10.,SQLite,Relational,113.08,-0.74,-5.08,https://db-engines.com/en/system/SQLite,
11.,11.,12.,Apache Cassandra,"Wide column, Multi-model",106.65,+4.07,+2.07,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,12.,11.,Microsoft Access,Relational,96.72,+0.18,-11.21,https://db-engines.com/en/system/Microsoft+Access,
13.,13.,17.,Databricks,Multi-model,96.01,+5.97,+21.67,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
14.,14.,13.,MariaDB,"Relational, Multi-model",94.23,+4.72,-0.80,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,15.,14.,Splunk,Search engine,78.87,-1.68,-10.80,https://db-engines.com/en/system/Splunk,
16.,16.,16.,Amazon DynamoDB,Multi-model,76.57,+0.99,-1.14,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
17.,17.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",73.91,+1.15,-4.60,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
18.,18.,18.,Apache Hive,Relational,70.08,+7.59,+5.26,https://db-engines.com/en/system/Apache+Hive,
19.,19.,19.,Google BigQuery,Relational,57.96,+3.07,-4.71,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,23.,Neo4j,Graph,46.15,+0.80,+1.78,https://db-engines.com/en/system/Neo4j,
21.,21.,21.,FileMaker,Relational,39.06,-1.16,-9.76,https://db-engines.com/en/system/FileMaker,
22.,22.,22.,SAP HANA,"Relational, Multi-model",34.27,-0.95,-11.21,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
23.,23.,20.,Teradata,"Relational, Multi-model",34.04,+0.17,-14.91,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
24.,24.,24.,Apache Solr,"Search engine, Multi-model",32.67,-0.02,-11.25,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",29.00,+0.38,-8.49,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,Apache HBase,Wide column,24.08,-0.40,-7.52,https://db-engines.com/en/system/Apache+HBase,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,22.27,+0.14,-8.12,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
