category_label,Multi_model_info,DBMS,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Jul-2023,Rank_Jul-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector DBMS,Wide column
Graph,Graph DBMS,Neo4j,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,52.06,22,neo4j,neo4j,"Neo4j, Inc.",2007,2023,Y,"GPL version3, commercial licenses available",N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP HANA,https://db-engines.com/en/system/SAP+HANA,N,,-,50.72,23,-,-,SAP,2010,2022,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Search engine,"Search engine,Spatial DBMS",Solr,https://db-engines.com/en/system/Solr,Y,N,apache/solr,48.55,24,apache,solr,Apache Software Foundation,2006,2023,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Relational,"Relational DBMS,Spatial DBMS",SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,42.87,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,36.49,26,-,-,Microsoft,2014,,N,,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Wide column,Wide column store,HBase,https://db-engines.com/en/system/HBase,Y,N,apache/hbase,36.11,27,apache,hbase,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Time Series,"Time Series DBMS,Spatial DBMS",InfluxDB,https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,30.92,28,influxdata,influxdb,,2013,2023,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Spatial DBMS,"Spatial DBMS,Relational DBMS",PostGIS,https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,30.01,29,postgis,postgis,,2005,2023,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Relational,Relational DBMS,Microsoft Azure Synapse Analytics,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,27.62,30,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Firebird,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,26.16,31,FirebirdSQL,firebird,Firebird Foundation,2000,2022,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Key-value store,Spatial DBMS",Couchbase,https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,25.14,32,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2021,Y,Apache version 2; Commercial licenses also available,N,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Key-value,Key-value store,Memcached,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,22.07,33,memcached,memcached,Danga Interactive,2003,2023,Y,BSD license,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",Informix,https://db-engines.com/en/system/Informix,N,Y,-,21.93,34,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Relational,Relational DBMS,Amazon Redshift,https://db-engines.com/en/system/Amazon+Redshift,N,,-,20.36,35,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,"Relational DBMS,Document store",Impala,https://db-engines.com/en/system/Impala,Y,,apache/impala,19.66,36,apache,impala,Cloudera,2013,2022,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Spark SQL,https://db-engines.com/en/system/Spark+SQL,Y,N,apache/spark,19.63,37,apache,spark,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,Document store,Firebase Realtime Database,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,18.73,38,-,-,Google,2012,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Netezza,https://db-engines.com/en/system/Netezza,N,,-,15.62,39,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,"Relational DBMS,Time Series DBMS",ClickHouse,https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,15.3,40,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",Vertica,https://db-engines.com/en/system/Vertica,N,Y,-,15.16,41,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
