DBMS,Rank_Jun-2024,Rank_May-2024,Rank_Jun-2023,Database Model,Score_Jun-2024,Score_May-2024,Score_Jun-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1244.08,+7.79,+12.61,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",Oracle,"Widely used,RDBMS",1980.0,"23c, September 2023",commercial,restricted free version is available,no,1980,2023,N,N
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1061.34,-22.39,-102.59,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"8.4.0, April 2024",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no,1995,2024,Y,N
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",821.56,-2.73,-108.50,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no,1989,2022,N,N
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",636.25,-9.30,+23.43,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"16.3, May 2024",Open Source,BSD,no,1989,2024,Y,N
MongoDB,5.0,5.0,5.0,"Document, Multi-model",421.08,-0.58,-4.29,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"6.0.7, June 2023",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no,2009,2023,Y,N
Redis,6.0,6.0,6.0,"Key-value, Multi-model",155.94,-1.86,-11.41,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.2.5, May 2024",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no,2009,2024,Y,N
Elasticsearch,7.0,7.0,8.0,"Search engine, Multi-model",132.83,-2.52,-10.92,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no,2010,2023,Y,N
Snowflake,8.0,9.0,11.0,Relational,130.36,+9.03,+16.23,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes,2014,,N,Y
IBM Db2,9.0,8.0,7.0,"Relational, Multi-model",125.9,-2.56,-18.99,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no,1983,2016,N,N
SQLite,10.0,10.0,10.0,Relational,111.41,-2.91,-19.81,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.46.0  (23 May 2024), May 2024",Open Source,Public Domain,no,2000,2024,Y,N
Microsoft Access,11.0,11.0,9.0,Relational,101.16,-3.75,-33.29,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no,1992,2019,N,N
Cassandra,12.0,12.0,12.0,"Wide column, Multi-model",98.83,-3.06,-9.73,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.3, July 2023",Open Source,Apache version 2,no,2008,2023,Y,N
MariaDB,13.0,13.0,13.0,"Relational, Multi-model",91.04,-2.17,-6.28,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"11.3.2, February 2024",Open Source,"GPL version 2, commercial enterprise subscription available",no,2009,2024,Y,N
Splunk,14.0,14.0,14.0,Search engine,89.1,+2.65,-0.35,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no,2003,,N,N
Databricks,15.0,15.0,18.0,Multi-model,81.08,+2.47,+15.27,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,commercial,,yes,2013,,N,Y
Microsoft Azure SQL Database,16.0,16.0,16.0,"Relational, Multi-model",76.78,-1.20,-2.18,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes,2010,,N,Y
Amazon DynamoDB,17.0,17.0,15.0,Multi-model,74.45,+0.38,-5.46,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes,2012,,N,Y
Hive,18.0,18.0,17.0,Relational,59.76,-1.42,-15.76,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,2012,2022,Y,N
Google BigQuery,19.0,19.0,20.0,Relational,58.1,-2.28,+3.46,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes,2010,,N,Y
FileMaker,20.0,20.0,21.0,Relational,47.91,-0.29,-6.47,https://db-engines.com/en/system/FileMaker,,Claris,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no,1983,2021,N,N
Neo4j,21.0,23.0,22.0,Graph,44.89,+0.44,-7.87,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.20, May 2024",Open Source,"GPL version3, commercial licenses available",no,2007,2024,Y,N
Teradata,22.0,21.0,19.0,"Relational, Multi-model",44.87,-0.46,-17.77,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,1984,2019,N,N
SAP HANA,23.0,22.0,23.0,"Relational, Multi-model",44.27,-0.42,-7.14,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no,2010,2023,N,N
Solr,24.0,24.0,24.0,"Search engine, Multi-model",41.02,-1.89,-8.54,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.6.1, May 2024",Open Source,Apache Version 2,no,2006,2024,Y,N
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",35.09,-1.22,-8.67,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no,1987,,N,N
HBase,26.0,26.0,26.0,Wide column,27.97,-2.54,-9.28,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no,2008,2021,Y,N
Microsoft Azure Cosmos DB,27.0,27.0,27.0,Multi-model,27.71,-1.33,-8.86,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes,2014,,N,Y
InfluxDB,28.0,28.0,28.0,"Time Series, Multi-model",24.39,-1.44,-6.87,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.6, April 2024",Open Source,MIT-License; commercial enterprise version available,no,2013,2024,Y,N
PostGIS,29.0,29.0,29.0,"Spatial, Multi-model",21.72,-0.97,-9.32,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no,2005,2024,Y,N
Firebird,30.0,30.0,30.0,Relational,20.5,-0.31,-5.98,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.0, January 2024",Open Source,Initial Developer's Public License,no,2000,2024,Y,N
Microsoft Azure Synapse Analytics,31.0,31.0,32.0,Relational,19.93,-0.63,-5.01,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes,2016,,N,Y
Memcached,32.0,32.0,34.0,Key-value,18.08,-1.34,-4.34,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.27, May 2024",Open Source,BSD license,no,2003,2024,Y,N
Spark SQL,33.0,33.0,35.0,Relational,18.04,-0.91,-2.03,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no,2014,2023,Y,N
Informix,34.0,35.0,33.0,"Relational, Multi-model",17.12,-0.75,-5.36,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no,1984,2020,N,N
Amazon Redshift,35.0,34.0,36.0,Relational,16.88,-1.06,-2.92,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes,2012,,N,Y
