Rank_Nov-2023,Rank_Oct-2023,Rank_Nov-2022,DBMS,Database Model,Score_Nov-2023,Score_Oct-2023,Score_Nov-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1277.03,+15.61,+35.34,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1115.24,-18.07,-90.30,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",911.42,+14.54,-1.09,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",636.86,-1.96,+13.70,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",428.55,-2.87,-49.35,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",160.02,-2.95,-22.03,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,7.,Elasticsearch,"Search engine, Multi-model",139.62,+2.48,-10.70,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,8.,8.,IBM Db2,"Relational, Multi-model",136.00,+1.13,-13.56,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,9.,10.,SQLite,Relational,124.58,-0.56,-10.05,https://db-engines.com/en/system/SQLite,
10.,10.,9.,Microsoft Access,Relational,124.49,+0.18,-10.53,https://db-engines.com/en/system/Microsoft+Access,
11.,11.,12.,Snowflake,Relational,121.00,-2.24,+10.84,https://db-engines.com/en/system/Snowflake,
12.,12.,11.,Cassandra,"Wide column, Multi-model",109.17,+0.34,-8.96,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,13.,MariaDB,"Relational, Multi-model",102.09,+2.43,-2.82,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,97.32,+4.95,+3.10,https://db-engines.com/en/system/Splunk,
15.,15.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",83.17,+2.24,-0.49,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,16.,15.,Amazon DynamoDB,Multi-model,82.24,+1.32,-3.16,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
17.,17.,19.,Databricks,Multi-model,77.22,+1.40,+16.33,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
18.,18.,17.,Hive,Relational,68.64,-0.54,-13.25,https://db-engines.com/en/system/Hive,
19.,20.,22.,Google BigQuery,Relational,59.31,+2.74,+5.18,https://db-engines.com/en/system/Google+BigQuery,
20.,19.,18.,Teradata,"Relational, Multi-model",57.33,-1.23,-7.90,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
21.,21.,21.,FileMaker,Relational,52.44,-0.88,-1.87,https://db-engines.com/en/system/FileMaker,
22.,23.,20.,Neo4j,Graph,49.70,+1.26,-7.60,https://db-engines.com/en/system/Neo4j,
23.,22.,23.,SAP HANA,"Relational, Multi-model",49.12,-0.32,-2.33,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,24.,Solr,"Search engine, Multi-model",44.62,-0.74,-6.71,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",41.49,-0.43,-2.10,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,HBase,Wide column,34.16,-0.53,-6.25,https://db-engines.com/en/system/HBase,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,34.11,-0.18,-5.64,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,29.,InfluxDB,"Time Series, Multi-model",29.02,-0.72,-0.94,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,28.,PostGIS,"Spatial DBMS, Multi-model",26.92,-0.39,-3.86,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
