DBMS,Rank_Jun-2023,Rank_May-2023,Rank_Jun-2022,Database Model,Score_Jun-2023,Score_May-2023,Score_Jun-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1231.48,-1.16,-56.27,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,"Widely used,RDBMS",1980.0,"21c, January 2021",commercial,restricted free version is available,no,1980,2021,N,N
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1163.94,-8.52,-25.27,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"8.0.33, April 2023",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no,1995,2023,Y,N
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",930.06,+9.97,-3.76,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no,1989,2022,N,N
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",612.82,-5.08,-8.02,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"15.3, May 2023",Open Source,BSD,no,1989,2023,Y,N
MongoDB,5.0,5.0,5.0,"Document, Multi-model",425.36,-11.25,-55.36,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"6.0.5, March 2023",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no,2009,2023,Y,N
Redis,6.0,6.0,6.0,"Key-value, Multi-model",167.35,-0.78,-7.96,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.0.11, April 2023",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no,2009,2023,Y,N
IBM Db2,7.0,7.0,7.0,"Relational, Multi-model",144.89,+1.87,-14.30,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no,1983,2016,N,N
Elasticsearch,8.0,8.0,8.0,"Search engine, Multi-model",143.75,+2.11,-12.25,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no,2010,2023,Y,N
Microsoft Access,9.0,10.0,9.0,Relational,134.45,+3.28,-7.36,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no,1992,2019,N,N
SQLite,10.0,9.0,10.0,Relational,131.21,-2.65,-4.22,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.42.0  (16 May 2023), May 2023",Open Source,Public Domain,no,2000,2023,Y,N
