DBMS,Rank_Jul-2024,Rank_Jun-2024,Rank_Jul-2023,Database Model,Score_Jul-2024,Score_Jun-2024,Score_Jul-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1240.37,-3.72,-15.64,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",Oracle,"Widely used,RDBMS",1980.0,"23c, September 2023",commercial,restricted free version is available,no,1980,2023,N,N
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1039.46,-21.89,-110.89,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"9.0.0, July 2024",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no,1995,2024,Y,N
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",807.65,-13.91,-113.95,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no,1989,2022,N,N
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",638.91,+2.66,+21.08,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"16.3, May 2024",Open Source,BSD,no,1989,2024,Y,N
MongoDB,5.0,5.0,5.0,"Document, Multi-model",429.83,+8.75,-5.67,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"7.0.5, January 2024",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no,2009,2024,Y,N
Redis,6.0,6.0,6.0,"Key-value, Multi-model",156.77,+0.82,-7.00,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.2.5, May 2024",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no,2009,2024,Y,N
Snowflake,7.0,8.0,11.0,Relational,136.53,+6.17,+18.84,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes,2014,,N,Y
Elasticsearch,8.0,7.0,8.0,"Search engine, Multi-model",130.82,-2.01,-8.77,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no,2010,2023,Y,N
IBM Db2,9.0,9.0,7.0,"Relational, Multi-model",124.4,-1.50,-15.41,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no,1983,2016,N,N
SQLite,10.0,10.0,10.0,Relational,109.95,-1.46,-20.25,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.46.0  (23 May 2024), May 2024",Open Source,Public Domain,no,2000,2024,Y,N
Microsoft Access,11.0,11.0,9.0,Relational,100.63,-0.53,-30.09,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no,1992,2019,N,N
Apache Cassandra,12.0,12.0,12.0,"Wide column, Multi-model",99.13,+0.30,-7.40,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"5.0-rc1, July 2024",Open Source,Apache version 2,no,2008,2024,Y,N
Splunk,13.0,14.0,14.0,Search engine,92.92,+3.82,+5.80,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no,2003,,N,N
MariaDB,14.0,13.0,13.0,"Relational, Multi-model",90.58,-0.45,-5.52,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"11.4.2, May 2024",Open Source,"GPL version 2, commercial enterprise subscription available",no,2009,2024,Y,N
Databricks,15.0,15.0,18.0,Multi-model,83.29,+2.21,+14.83,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,commercial,,yes,2013,,N,Y
Microsoft Azure SQL Database,16.0,16.0,15.0,"Relational, Multi-model",76.75,-0.03,-2.21,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes,2010,,N,Y
Amazon DynamoDB,17.0,17.0,16.0,Multi-model,70.95,-3.50,-7.86,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes,2012,,N,Y
Google BigQuery,18.0,19.0,20.0,Relational,57.82,-0.28,+2.40,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes,2010,,N,Y
Apache Hive,19.0,18.0,17.0,Relational,57.29,-2.46,-15.58,https://db-engines.com/en/system/Apache+Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,2012,2022,Y,N
FileMaker,20.0,20.0,21.0,Relational,48.59,+0.68,-4.73,https://db-engines.com/en/system/FileMaker,,Claris,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no,1983,2021,N,N
Neo4j,21.0,21.0,22.0,Graph,45.75,+0.86,-6.31,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.21.2, July 2024",Open Source,"GPL version3, commercial licenses available",no,2007,2024,Y,N
Teradata,22.0,22.0,19.0,"Relational, Multi-model",44.52,-0.35,-15.73,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,1984,2019,N,N
SAP HANA,23.0,23.0,23.0,"Relational, Multi-model",44.12,-0.15,-6.60,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no,2010,2023,N,N
Apache Solr,24.0,24.0,24.0,"Search engine, Multi-model",38.88,-2.15,-9.68,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.6.1, May 2024",Open Source,Apache Version 2,no,2006,2024,Y,N
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",34.74,-0.34,-8.13,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no,1987,,N,N
Apache HBase,26.0,26.0,27.0,Wide column,27.73,-0.23,-8.37,https://db-engines.com/en/system/Apache+HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no,2008,2021,Y,N
