DBMS,Rank_Jul-2023,Rank_Jun-2023,Rank_Jul-2022,Database Model,Score_Jul-2023,Score_Jun-2023,Score_Jul-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1256.01,+24.54,-24.28,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,"Widely used,RDBMS",1980.0,"21c, January 2021",commercial,restricted free version is available,no,1980,2021,N,N
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1150.35,-13.59,-44.53,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"8.0.33, April 2023",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no,1995,2023,Y,N
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",921.6,-8.47,-20.53,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no,1989,2022,N,N
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",617.83,+5.01,+1.96,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"15.3, May 2023",Open Source,BSD,no,1989,2023,Y,N
MongoDB,5.0,5.0,5.0,"Document, Multi-model",435.49,+10.13,-37.49,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"6.0.7, June 2023",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no,2009,2023,Y,N
Redis,6.0,6.0,6.0,"Key-value, Multi-model",163.76,-3.59,-9.86,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.0.11, April 2023",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no,2009,2023,Y,N
IBM Db2,7.0,7.0,7.0,"Relational, Multi-model",139.81,-5.07,-21.40,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no,1983,2016,N,N
Elasticsearch,8.0,8.0,8.0,"Search engine, Multi-model",139.59,-4.16,-14.74,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no,2010,2023,Y,N
Microsoft Access,9.0,9.0,9.0,Relational,130.72,-3.73,-14.37,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no,1992,2019,N,N
SQLite,10.0,10.0,10.0,Relational,130.2,-1.02,-6.48,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.42.0  (16 May 2023), May 2023",Open Source,Public Domain,no,2000,2023,Y,N
Snowflake,11.0,11.0,13.0,Relational,117.69,+3.55,+18.53,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes,2014,,N,Y
Cassandra,12.0,12.0,11.0,Wide column,106.53,-2.03,-7.88,https://db-engines.com/en/system/Cassandra,,Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.2, May 2023",Open Source,Apache version 2,no,2008,2023,Y,N
MariaDB,13.0,13.0,12.0,"Relational, Multi-model",96.1,-1.21,-16.42,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"11.0.2, June 2023",Open Source,"GPL version 2, commercial enterprise subscription available",no,2009,2023,Y,N
Splunk,14.0,14.0,14.0,Search engine,87.12,-2.34,-11.09,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no,2003,,N,N
Microsoft Azure SQL Database,15.0,16.0,15.0,"Relational, Multi-model",78.96,-0.01,-5.94,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes,2010,,N,Y
Amazon DynamoDB,16.0,15.0,16.0,Multi-model,78.81,-1.10,-5.13,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes,2012,,N,Y
Hive,17.0,17.0,17.0,Relational,72.87,-2.65,-6.61,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,2012,2022,Y,N
Databricks,18.0,18.0,22.0,Multi-model,68.47,+2.65,+17.25,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,Open Source,,yes,2013,,Y,Y
Teradata,19.0,19.0,18.0,"Relational, Multi-model",60.25,-2.39,-10.67,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,1984,2019,N,N
Google BigQuery,20.0,20.0,24.0,Relational,55.42,+0.78,+6.53,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes,2010,,N,Y
FileMaker,21.0,21.0,23.0,Relational,53.32,-1.06,+2.12,https://db-engines.com/en/system/FileMaker,,FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no,1983,2021,N,N
Neo4j,22.0,22.0,19.0,Graph,52.06,-0.71,-6.36,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.9, June 2023",Open Source,"GPL version3, commercial licenses available",no,2007,2023,Y,N
SAP HANA,23.0,23.0,21.0,"Relational, Multi-model",50.72,-0.69,-3.77,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS06 (March 4, 2022), March 2022",commercial,,no,2010,2022,N,N
Solr,24.0,24.0,20.0,"Search engine, Multi-model",48.55,-1.01,-7.14,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.2.1, May 2023",Open Source,Apache Version 2,no,2006,2023,Y,N
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",42.87,-0.88,-2.58,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no,1987,,N,N
Microsoft Azure Cosmos DB,26.0,27.0,27.0,Multi-model,36.49,-0.08,-3.59,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes,2014,,N,Y
HBase,27.0,26.0,26.0,Wide column,36.11,-1.14,-4.90,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no,2008,2021,Y,N
InfluxDB,28.0,28.0,29.0,"Time Series, Multi-model",30.92,-0.34,+1.70,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.1, April 2023",Open Source,MIT-License; commercial enterprise version available,no,2013,2023,Y,N
