Rank_Jan-2025,Rank_Dec-2024,Rank_Jan-2024,DBMS,Database Model,Score_Jan-2025,Score_Dec-2024,Score_Jan-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1258.76,-5.03,+11.27,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",998.15,-5.61,-125.31,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",798.55,-7.14,-78.05,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",663.41,-2.97,+14.45,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",402.50,+2.12,-14.98,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,7.,9.,Snowflake,Relational,153.90,+6.54,+27.98,https://db-engines.com/en/system/Snowflake,
7.,6.,6.,Redis,"Key-value, Multi-model",153.36,+3.08,-6.03,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,8.,7.,Elasticsearch,Multi-model,134.92,+2.60,-1.15,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
9.,9.,8.,IBM Db2,"Relational, Multi-model",122.97,+0.19,-9.43,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,11.,SQLite,Relational,106.69,+4.97,-8.51,https://db-engines.com/en/system/SQLite,
11.,11.,12.,Apache Cassandra,"Wide column, Multi-model",99.19,+1.26,-11.84,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,12.,10.,Microsoft Access,Relational,92.70,+1.88,-24.97,https://db-engines.com/en/system/Microsoft+Access,
13.,13.,17.,Databricks,Multi-model,87.85,+0.16,+7.31,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
14.,15.,13.,MariaDB,"Relational, Multi-model",85.58,+1.81,-13.65,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,14.,14.,Splunk,Search engine,83.09,-2.27,-9.63,https://db-engines.com/en/system/Splunk,
16.,16.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",73.78,-2.59,-7.29,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,16.,Amazon DynamoDB,Multi-model,73.00,+0.27,-7.94,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
18.,18.,18.,Apache Hive,Relational,56.87,+3.78,-10.08,https://db-engines.com/en/system/Apache+Hive,
19.,19.,19.,Google BigQuery,Relational,53.04,+0.75,-10.44,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,22.,Neo4j,Graph,43.69,+0.62,-4.49,https://db-engines.com/en/system/Neo4j,
21.,21.,21.,FileMaker,Relational,41.50,-1.36,-10.55,https://db-engines.com/en/system/FileMaker,
22.,23.,20.,Teradata,"Relational, Multi-model",36.25,-1.35,-16.93,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,22.,23.,SAP HANA,"Relational, Multi-model",36.06,-1.59,-10.38,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,24.,Apache Solr,"Search engine, Multi-model",32.32,-0.15,-12.81,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",29.05,-1.26,-10.38,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,Apache HBase,Wide column,24.75,-0.25,-9.11,https://db-engines.com/en/system/Apache+HBase,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,22.96,-0.10,-10.51,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",21.54,+0.31,-6.02,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,30.,PostGIS,"Spatial, Multi-model",19.70,+0.26,-6.95,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,31.,37.,ClickHouse,"Relational, Multi-model",18.56,+1.12,+1.21,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
31.,32.,36.,Apache Spark (SQL),Relational,17.80,+0.41,-1.35,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
32.,30.,29.,Firebird,Relational,17.72,-0.82,-9.28,https://db-engines.com/en/system/Firebird,
33.,33.,42.,OpenSearch,"Search engine, Multi-model",16.79,-0.40,+2.84,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
34.,34.,35.,Memcached,Key-value,16.60,-0.42,-3.10,https://db-engines.com/en/system/Memcached,
