Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,DBMS,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1170.62,-50.08,-115.97,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",891.77,-23.69,-137.72,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",717.32,-36.84,-90.45,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",657.17,-14.08,+12.81,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",380.50,-15.08,-29.74,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,7.,Snowflake,Relational,190.19,+11.29,+56.47,https://db-engines.com/en/system/Snowflake,
7.,7.,6.,Redis,"Key-value, Multi-model",145.17,-2.02,-4.25,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,8.,9.,IBM Db2,"Relational, Multi-model",124.19,-3.12,+1.14,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,9.,14.,Databricks,Multi-model,124.06,+8.25,+39.82,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
10.,10.,8.,Elasticsearch,Multi-model,118.26,+3.99,-10.53,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
11.,11.,10.,SQLite,Relational,107.88,-4.72,+4.53,https://db-engines.com/en/system/SQLite,
12.,12.,11.,Apache Cassandra,"Wide column, Multi-model",106.98,-1.53,+8.04,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
13.,13.,15.,MariaDB,"Relational, Multi-model",91.46,-2.13,+8.02,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,12.,Microsoft Access,Relational,83.61,-4.15,-10.15,https://db-engines.com/en/system/Microsoft+Access,
