Rank_Mar-2026,Rank_Feb-2026,Rank_Mar-2025,DBMS,Database Model,Score_Mar-2026,Score_Feb-2026,Score_Mar-2025,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1182.46,-21.05,-70.62,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",858.34,-9.88,-129.79,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",711.47,+3.33,-76.67,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",680.08,+8.05,+16.66,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",383.58,+4.85,-12.85,https://db-engines.com/en/system/MongoDB,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Snowflake,Relational,211.24,+3.10,+49.46,https://db-engines.com/en/system/Snowflake,
7.,8.,13.,Databricks,Multi-model,145.81,+1.29,+49.80,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
8.,7.,7.,Redis,"Key-value, Multi-model",145.19,-1.85,-10.17,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
9.,9.,9.,IBM Db2,"Relational, Multi-model",111.38,+0.16,-15.19,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,8.,Elasticsearch,Multi-model,103.58,-2.88,-27.80,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
11.,11.,11.,Apache Cassandra,"Wide column, Multi-model",101.88,+0.28,-4.78,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,12.,10.,SQLite,Relational,95.97,-3.22,-17.11,https://db-engines.com/en/system/SQLite,
13.,13.,14.,MariaDB,"Relational, Multi-model",87.00,+0.91,-7.23,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,17.,Microsoft Azure SQL Database,"Relational, Multi-model",73.92,+0.26,+0.01,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,16.,18.,Apache Hive,Relational,72.95,-0.05,+2.87,https://db-engines.com/en/system/Apache+Hive,
16.,15.,15.,Splunk,Search engine,72.21,-0.84,-6.66,https://db-engines.com/en/system/Splunk,
17.,17.,12.,Microsoft Access,Relational,67.56,-1.90,-29.15,https://db-engines.com/en/system/Microsoft+Access,
18.,18.,16.,Amazon DynamoDB,Multi-model,65.42,-2.46,-11.16,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
19.,19.,19.,Google BigQuery,Relational,55.82,-3.76,-2.14,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,20.,Neo4j,Graph,47.32,-1.94,+1.17,https://db-engines.com/en/system/Neo4j,
21.,21.,24.,Apache Solr,"Search engine, Multi-model",32.79,-0.48,+0.12,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,23.,22.,SAP HANA,"Relational, Multi-model",32.09,+0.34,-2.18,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
23.,22.,23.,Teradata,"Relational, Multi-model",31.08,-1.36,-2.96,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
24.,24.,21.,FileMaker,Relational,29.31,-0.88,-9.74,https://db-engines.com/en/system/FileMaker,
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",25.53,-0.65,-3.47,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,27.,Microsoft Azure Cosmos DB,Multi-model,22.75,-1.13,+0.48,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
27.,29.,30.,Apache Spark (SQL),Relational,22.07,+0.17,+2.31,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
28.,28.,31.,ClickHouse,"Relational, Multi-model",22.01,-0.35,+3.40,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
29.,27.,29.,PostGIS,"Spatial, Multi-model",21.88,-0.69,+1.91,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,28.,InfluxDB,"Time Series, Multi-model",20.74,-0.74,-0.76,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
31.,31.,32.,OpenSearch,Multi-model,20.27,+0.23,+3.30,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
32.,32.,26.,Apache HBase,Wide column,19.18,+0.84,-4.90,https://db-engines.com/en/system/Apache+HBase,
33.,33.,33.,Firebird,Relational,17.44,+0.31,+0.61,https://db-engines.com/en/system/Firebird,
34.,34.,38.,Microsoft Azure Synapse Analytics,Relational,15.98,+0.16,+1.79,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
35.,47.,,Microsoft Fabric,Relational,15.12,+6.73,,https://db-engines.com/en/system/Microsoft+Fabric,
36.,37.,39.,Firebase Realtime Database,Document,15.11,+0.83,+1.63,https://db-engines.com/en/system/Firebase+Realtime+Database,
37.,35.,37.,Amazon Redshift,Relational,14.25,-0.53,-0.32,https://db-engines.com/en/system/Amazon+Redshift,
38.,39.,35.,Informix,"Relational, Multi-model",13.78,+0.32,-1.71,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
39.,36.,34.,Memcached,Key-value,13.68,-0.92,-2.10,https://db-engines.com/en/system/Memcached,
40.,38.,40.,Apache Impala,"Relational, Multi-model",12.67,-0.94,+1.08,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
41.,40.,41.,Apache Flink,Relational,10.25,-1.37,-1.07,https://db-engines.com/en/system/Apache+Flink,
42.,41.,36.,Couchbase,Multi-model,10.15,-0.64,-4.90,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
43.,42.,51.,DuckDB,Relational,9.41,-0.57,+2.70,https://db-engines.com/en/system/DuckDB,
44.,43.,47.,Google Cloud Firestore,Document,9.29,-0.06,+2.18,https://db-engines.com/en/system/Google+Cloud+Firestore,
45.,44.,44.,Amazon Aurora,"Relational, Multi-model",9.16,-0.13,+1.17,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
46.,46.,54.,Prometheus,Time Series,8.71,+0.11,+2.33,https://db-engines.com/en/system/Prometheus,
47.,45.,42.,Vertica,"Relational, Multi-model",8.39,-0.32,-1.75,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
48.,48.,81.,Pinecone,Vector,7.74,-0.32,+4.57,https://db-engines.com/en/system/Pinecone,
49.,51.,50.,H2,"Relational, Multi-model",7.56,+0.13,+0.62,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
50.,49.,43.,dBASE,Relational,7.51,-0.35,-0.76,https://db-engines.com/en/system/dBASE,
51.,50.,48.,Kdb,Multi-model,7.41,-0.21,+0.32,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
52.,52.,49.,etcd,Key-value,7.11,-0.32,+0.03,https://db-engines.com/en/system/etcd,
53.,53.,59.,Algolia,Search engine,6.96,-0.35,+1.50,https://db-engines.com/en/system/Algolia,
54.,54.,62.,Trino,"Relational, Multi-model",6.84,-0.18,+1.72,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
55.,57.,52.,Realm,Document,6.54,-0.08,-0.09,https://db-engines.com/en/system/Realm,
56.,58.,53.,Netezza,Relational,6.28,-0.20,-0.17,https://db-engines.com/en/system/Netezza,
57.,59.,61.,Microsoft Azure AI Search,"Search engine, Multi-model",6.28,-0.14,+1.12,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
