DBMS,Rank_Dec-2025,Rank_Nov-2025,Rank_Dec-2024,Database Model,Score_Dec-2025,Score_Nov-2025,Score_Dec-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
SQLite,11.0,11.0,10.0,Relational,102.61,-1.58,+0.89,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.46.1  (13 August 2024), August 2024",Open Source,Public Domain,no
Apache Cassandra,12.0,12.0,11.0,"Wide column, Multi-model",101.55,-1.16,+3.62,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"5.0-rc1, July 2024",Open Source,Apache version 2,no
MariaDB,13.0,13.0,15.0,"Relational, Multi-model",87.59,+0.23,+3.82,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB plc (MariaDB Enterprise Platform and MariaDB),"An open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities, with built in compatibility with MySQL and Oracle Database. MariaDB ColumnStore provides a column-oriented storage engine for analytical workloads. MariaDB Server also supports vector embedded search for AI-driven applications.",2009.0,"11.5.2, August 2024",Open Source,"GPL version 2, commercial enterprise subscription available",no
Splunk,14.0,16.0,14.0,Search engine,75.89,-0.21,-9.47,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no
Apache Hive,15.0,18.0,18.0,Relational,75.44,+2.57,+22.34,https://db-engines.com/en/system/Apache+Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no
Microsoft Azure SQL Database,16.0,15.0,16.0,"Relational, Multi-model",75.22,-1.16,-1.15,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes
Microsoft Access,17.0,14.0,12.0,Relational,73.89,-4.40,-16.93,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no
Amazon DynamoDB,18.0,17.0,17.0,Multi-model,72.96,-2.82,+0.23,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes
Google BigQuery,19.0,19.0,19.0,Relational,62.76,-0.03,+10.46,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes
Neo4j,20.0,20.0,20.0,Graph,51.76,-0.60,+8.69,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.23, August 2024",Open Source,"GPL version3, commercial licenses available",no
Apache Solr,21.0,21.0,24.0,"Search engine, Multi-model",34.57,-0.38,+2.10,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.6.1, May 2024",Open Source,Apache Version 2,no
Teradata,22.0,22.0,23.0,"Relational, Multi-model",34.04,+0.71,-3.57,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no
SAP HANA,23.0,24.0,22.0,"Relational, Multi-model",32.42,+0.20,-5.23,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no
FileMaker,24.0,23.0,21.0,Relational,32.03,-0.77,-10.84,https://db-engines.com/en/system/FileMaker,,Claris,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",26.79,-0.29,-3.52,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no
Microsoft Azure Cosmos DB,26.0,27.0,27.0,Multi-model,23.8,+1.25,+0.74,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes
Apache Spark (SQL),27.0,26.0,32.0,Relational,22.87,-0.22,+5.48,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,Apache Software Foundation,Apache Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no
PostGIS,28.0,29.0,29.0,"Spatial, Multi-model",22.57,+1.10,+3.13,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no
InfluxDB,29.0,28.0,28.0,"Time Series, Multi-model",21.92,-0.17,+0.69,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.6, April 2024",Open Source,MIT-License; commercial enterprise version available,no
ClickHouse,30.0,30.0,31.0,"Relational, Multi-model",21.28,+0.16,+3.84,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS",Clickhouse Inc.,"A high-performance, column-oriented SQL DBMS for online analytical processing (OLAP) that uses all available system resources to their full potential to process each analytical query as fast as possible. It is available as both an open-source software and a cloud offering.",2016.0,"v25.6.3.116-stable, July 2025",Open Source,Apache 2.0,no
OpenSearch,31.0,32.0,33.0,Multi-model,19.79,+0.66,+2.60,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS",The OpenSearch Software Foundation,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"3.0, May 2025",Open Source,Apache Version 2.0,no
Apache HBase,32.0,31.0,26.0,Wide column,18.96,-0.35,-6.04,https://db-engines.com/en/system/Apache+HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no
Firebird,33.0,33.0,30.0,Relational,16.89,-0.15,-1.65,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.1, August 2024",Open Source,Initial Developer's Public License,no
Firebase Realtime Database,34.0,36.0,39.0,Document,15.32,+0.55,+2.26,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
Memcached,35.0,34.0,34.0,Key-value,15.11,-0.24,-1.92,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.29, June 2024",Open Source,BSD license,no
Microsoft Azure Synapse Analytics,36.0,35.0,37.0,Relational,14.9,-0.35,-0.45,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Amazon Redshift,37.0,37.0,38.0,Relational,14.75,+0.04,+0.54,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Informix,38.0,38.0,36.0,"Relational, Multi-model",14.28,-0.29,-1.43,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no
Apache Impala,39.0,39.0,41.0,"Relational, Multi-model",13.86,+0.46,+3.47,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store",Apache Software Foundation,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no
Apache Flink,40.0,40.0,40.0,Relational,12.42,+0.51,+1.70,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.20.0, August 2024",Open Source,,no
Couchbase,41.0,41.0,35.0,Multi-model,11.39,-0.13,-4.43,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store","Couchbase, Inc.","A distributed,document store,with integrated cache, a powerful search engine, in-built operational and analytical capabilities, and an embedded mobile database",2011.0,"Server: 7.6, March 2024; Mobile: 3.3, August 2024; Couchbase Capella (DBaaS), September 2024",Open Source,Business Source License (BSL 1.1); Commercial licenses also available,no
DuckDB,42.0,43.0,55.0,Relational,9.45,+0.34,+3.28,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"1.0.0, June 2024",Open Source,MIT License,no
Google Cloud Firestore,43.0,42.0,53.0,Document,9.45,-0.01,+2.86,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
Vertica,44.0,44.0,42.0,"Relational, Multi-model",8.94,+0.05,-0.60,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no
Amazon Aurora,45.0,45.0,45.0,"Relational, Multi-model",8.83,+0.60,+1.36,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",Amazon,"Fully managed relational database service built for the cloud providing unparalleled high performance and availability at global scale for MySQL, PostgreSQL, and DSQL",2015.0,"Aurora DSQL, November 2024 (preview), PostgreSQL:,docs.aws.amazon.com/AmazonRDS/latest/AuroraPostgreSQLReleaseNotes/AuroraPostgreSQL.Updates.html,, MySQL:,docs.aws.amazon.com/AmazonRDS/latest/AuroraMySQLReleaseNotes/AuroraMySQL.release-calendars.html",commercial,,yes
Kdb,46.0,47.0,51.0,Multi-model,8.19,+0.14,+1.19,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no
Prometheus,47.0,48.0,47.0,Time Series,8.09,+0.17,+0.97,https://db-engines.com/en/system/Prometheus,,,Open-source Time Series DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Pinecone,48.0,52.0,80.0,Vector,7.95,+0.87,+4.71,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes
H2,49.0,49.0,50.0,"Relational, Multi-model",7.77,-0.07,+0.74,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
dBASE,50.0,46.0,43.0,Relational,7.73,-0.38,-1.77,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no
etcd,51.0,50.0,46.0,Key-value,7.72,-0.01,+0.58,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no
Microsoft Fabric,52.0,68.0,,Relational,7.08,+2.93,,https://db-engines.com/en/system/Microsoft+Fabric,,Microsoft,"Microsoft Fabric is a data analytics platform that handles your entire data workflow, from collecting and processing data to building reports and dashboards. It combines data ingestion, transformation, real-time event routing, and visualization through workloads like Data Engineering, Data Factory, Data Science, Real-Time Intelligence, Data Warehouse, and Databases. As a Software as a Service (SaaS) platform, Fabric centralizes data storage with OneLake. It embeds AI capabilities throughout, so you don't need to integrate services manually, allowing you to transform raw data into actionable insights efficiently.",,,,,
Realm,53.0,53.0,48.0,Document,7.07,+0.00,-0.05,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Netezza,54.0,51.0,52.0,Relational,7.03,-0.12,+0.18,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
Algolia,55.0,54.0,57.0,Search engine,6.96,+0.01,+1.16,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
Trino,56.0,57.0,60.0,"Relational, Multi-model",6.94,+0.37,+1.55,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
Greenplum,57.0,55.0,49.0,"Relational, Multi-model",6.86,+0.06,-0.21,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"7.0.0, September 2023",commercial,Apache 2.0,no
Microsoft Azure AI Search,58.0,58.0,59.0,"Search engine, Multi-model",6.45,+0.31,+0.96,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS",Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
CouchDB,59.0,56.0,44.0,"Document, Multi-model",6.41,-0.26,-1.29,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.3, December 2023",Open Source,Apache version 2,no
Presto,60.0,59.0,54.0,Relational,6.12,-0.01,-0.42,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no
Sphinx,61.0,60.0,56.0,Search engine,5.88,-0.02,-0.03,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no
Hazelcast,62.0,61.0,61.0,"Key-value, Multi-model",5.41,+0.20,+0.06,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.6, November 2023",Open Source,Apache Version 2; commercial licenses available,no
Milvus,63.0,66.0,95.0,Vector,5.0,+0.31,+2.19,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.4.4, May 2024",Open Source,Apache Version 2.0,no
TimescaleDB,64.0,64.0,74.0,"Time Series, Multi-model",4.91,+0.15,+1.16,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.15.0, May 2024",Open Source,Apache 2.0,no
Oracle Essbase,65.0,65.0,58.0,Relational,4.87,+0.16,-0.74,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no
CockroachDB,66.0,62.0,67.0,Relational,4.76,-0.29,+0.57,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"24.1.0, May 2024",Open Source,"Apache 2.0, commercial license available",no
Graphite,67.0,63.0,63.0,Time Series,4.67,-0.11,-0.14,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
Qdrant,68.0,71.0,126.0,Vector,4.39,+0.31,+2.55,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no
ScyllaDB,69.0,69.0,72.0,"Wide column, Multi-model",4.29,+0.16,+0.47,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 6.2.0, October 2024",Open Source,"Open Source (AGPL), commercial license available",no
Weaviate,70.0,73.0,135.0,Vector,4.18,+0.45,+2.48,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no
MarkLogic,71.0,70.0,66.0,Multi-model,4.15,+0.04,-0.17,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
Aerospike,72.0,67.0,62.0,Multi-model,3.92,-0.37,-1.42,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS",Aerospike,"Real-time database for speed, scale, and savings. Millisecond latency for mixed read/write workloads. Highly distributed. Proven strong consistency. Distributed ACID Transactions. Flash optimized for low cost of ownership and scalability. Aerospike Database is a shared-nothing, multi-threaded, multi-model data platform designed to operate efficiently on a cluster of server nodes, exploiting modern hardware and network technologies to drive reliably fast performance, at sub-millisecond speeds across petabytes of data.",2012.0,"8.1, August 2025","Open Source, Commercial",Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
Apache Druid,73.0,76.0,92.0,Multi-model,3.7,+0.10,+0.82,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"34.0.0, August 2025",Open Source,Apache license v2,no
Apache Jackrabbit,74.0,74.0,68.0,Content,3.68,+0.05,-0.48,https://db-engines.com/en/system/Apache+Jackrabbit,,Apache Software Foundation,,2006.0,"2.20.6, July 2022",Open Source,,no
OpenEdge,75.0,72.0,76.0,Relational,3.63,-0.10,-0.01,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
Interbase,76.0,79.0,75.0,Relational,3.57,+0.05,-0.10,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
QuestDB,77.0,78.0,87.0,"Time Series, Multi-model",3.56,+0.00,+0.58,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
Ingres,78.0,75.0,78.0,Relational,3.54,-0.06,-0.08,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"12.0, July 2024",commercial,,no
Google Cloud Datastore,79.0,77.0,70.0,Document,3.53,-0.03,-0.43,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
Datastax Enterprise,80.0,81.0,64.0,"Wide column, Multi-model",3.32,-0.03,-1.42,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
RocksDB,81.0,80.0,94.0,Key-value,3.25,-0.18,+0.40,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"9.4.0, June 2024",Open Source,BSD,no
SAP SQL Anywhere,82.0,85.0,82.0,Relational,3.24,+0.02,+0.06,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
Riak KV,83.0,84.0,77.0,Key-value,3.22,-0.02,-0.42,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no
Apache Derby,84.0,86.0,73.0,Relational,3.21,+0.03,-0.59,https://db-engines.com/en/system/Apache+Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no
TiDB,85.0,87.0,71.0,"Relational, Multi-model",3.2,+0.05,-0.66,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS","PingCAP, Inc.","TiDB is an open-source, distributed SQL database built for cloud-native, data-intensive, and AI-driven applications. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"8.2.0, July 2024",Open Source,Apache 2.0,no
Ehcache,86.0,82.0,65.0,Key-value,3.18,-0.14,-1.44,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
Microsoft Azure Data Explorer,87.0,88.0,83.0,"Relational, Multi-model",3.13,+0.04,+0.04,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
Adabas,88.0,90.0,98.0,Multivalue,3.11,+0.18,+0.44,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Oracle NoSQL,89.0,83.0,81.0,Multi-model,3.09,-0.14,-0.12,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"25.3, October 2025",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
Virtuoso,90.0,92.0,79.0,Multi-model,3.03,+0.13,-0.55,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no
