category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Apr-2023,Rank_Apr-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
Wide column,Wide column store,Cassandra,https://db-engines.com/en/system/Cassandra,Y,N,apache/cassandra,111.81,11,apache,cassandra,Apache Software Foundation,2008,2022,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,Snowflake,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,111.12,12,twitter-archive,snowflake,Snowflake Computing Inc.,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB,https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,95.93,13,MariaDB,server,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009,2023,Y,"GPL version 2, commercial enterprise subscription available",N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Search engine,Search engine,Splunk,https://db-engines.com/en/system/Splunk,N,,-,85.44,14,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft Azure SQL Database,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,79.06,15,-,-,Microsoft,2010,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Document,"Document store,Key-value store",Amazon DynamoDB,https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,77.45,16,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Hive,https://db-engines.com/en/system/Hive,Y,N_Facebook开源,apache/hive,71.65,17,apache,hive,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,https://db-engines.com/en/system/Teradata,N,,-,61.59,18,-,-,Teradata,1984,2019,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
Document,"Document store,Relational DBMS",Databricks,https://db-engines.com/en/system/Databricks,N,N,-,60.97,19,-,-,Databricks,2013,,Y,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Google BigQuery,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,53.32,20,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Graph,Graph DBMS,Neo4j,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,51.6,21,neo4j,neo4j,"Neo4j, Inc.",2007,,Y,"GPL version3, commercial licenses available",N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP HANA,https://db-engines.com/en/system/SAP+HANA,N,,-,51.08,22,-,-,SAP,2010,,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Relational,Relational DBMS,FileMaker,https://db-engines.com/en/system/FileMaker,N,,-,50.0,23,-,-,FileMaker,1983,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Search engine,"Search engine,Spatial DBMS",Solr,https://db-engines.com/en/system/Solr,Y,N,apache/solr,48.22,24,apache,solr,Apache Software Foundation,2006,,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Relational,"Relational DBMS,Spatial DBMS",SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,42.87,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Wide column,Wide column store,HBase,https://db-engines.com/en/system/HBase,Y,N,apache/hbase,37.79,26,apache,hbase,Apache Software Foundation,2008,,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,35.08,27,-,-,Microsoft,2014,,N,,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
Spatial DBMS,"Spatial DBMS,Relational DBMS",PostGIS,https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,29.41,28,postgis,postgis,,2005,,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Time Series,"Time Series DBMS,Spatial DBMS",InfluxDB,https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,28.59,29,influxdata,influxdb,,2013,,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Document,"Document store,Key-value store,Spatial DBMS",Couchbase,https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,23.75,30,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,,Y,Apache version 2; Commercial licenses also available,N,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Relational,Relational DBMS,Firebird,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,23.33,31,FirebirdSQL,firebird,Firebird Foundation,2000,,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,Memcached,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,21.99,32,memcached,memcached,Danga Interactive,2003,,Y,BSD license,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",Informix,https://db-engines.com/en/system/Informix,N,Y,-,21.49,33,-,-,"IBM, HCL Technologies",1984,,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
Relational,Relational DBMS,Microsoft Azure Synapse Analytics,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,21.08,34,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Spark SQL,https://db-engines.com/en/system/Spark+SQL,Y,N,apache/spark,19.62,35,apache,spark,Apache Software Foundation,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Amazon Redshift,https://db-engines.com/en/system/Amazon+Redshift,N,,-,19.45,36,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,Document store,Firebase Realtime Database,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,18.22,37,-,-,Google,2012,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store",Impala,https://db-engines.com/en/system/Impala,Y,,apache/impala,17.59,38,apache,impala,Cloudera,2013,,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",Vertica,https://db-engines.com/en/system/Vertica,N,Y,-,15.98,39,-,-,OpenText,2005,,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Relational,Relational DBMS,Netezza,https://db-engines.com/en/system/Netezza,N,,-,14.94,40,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,dBASE,https://db-engines.com/en/system/dBASE,N,,-,14.7,41,-,-,Asthon Tate,1979,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Spatial DBMS",CouchDB,https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,14.62,42,apache,couchdb,Apache Software Foundation,2005,,Y,Apache version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Relational,Relational DBMS,Presto,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,14.12,43,prestodb,presto,Facebook; Presto Foundation,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Time Series DBMS",ClickHouse,https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,13.87,44,ClickHouse,ClickHouse,Clickhouse Inc.,2016,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Relational,Relational DBMS,Apache Flink,https://db-engines.com/en/system/Apache+Flink,,,,13.67,45,,,Apache Software Foundation and contributors,,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,Document store,Google Cloud Firestore,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,11.09,46,-,-,Google,2017,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Search engine,Search engine,OpenSearch,https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,11.09,47,opensearch-project,OpenSearch,Amazon Web Services,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS",Greenplum,https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb,10.26,48,greenplum-db,gpdb,Pivotal Software Inc.,2005,,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Relational,"Relational DBMS,Document store",Amazon Aurora,https://db-engines.com/en/system/Amazon+Aurora,N,,-,9.44,49,-,-,Amazon,2015,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Oracle Essbase,https://db-engines.com/en/system/Oracle+Essbase,N,,-,8.86,50,-,-,Oracle,1998,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,etcd,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,8.63,51,etcd-io,etcd,,,,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Time Series,"Time Series DBMS,Relational DBMS",Kdb,https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,8.47,52,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Relational,"Relational DBMS,Spatial DBMS",H2,https://db-engines.com/en/system/H2,Y,N,h2database/h2database,8.4,53,h2database,h2database,Thomas Mueller,2005,,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Document,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic,https://db-engines.com/en/system/MarkLogic,N,,-,8.34,54,-,-,MarkLogic Corp.,2001,,N,restricted free version is available,N,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Document,Document store,Realm,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,8.28,55,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Key-value,"Key-value store,Document store",Hazelcast,https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,7.76,56,hazelcast,hazelcast,Hazelcast,2008,,Y,Apache Version 2; commercial licenses available,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Search engine,Search engine,Algolia,https://db-engines.com/en/system/Algolia,N,,-,7.41,57,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Time Series,Time Series DBMS,Prometheus,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,6.99,58,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Search engine,Search engine,Sphinx,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,6.8,59,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine",Datastax Enterprise,https://db-engines.com/en/system/Datastax+Enterprise,N,,-,6.79,60,-,-,DataStax,2011,,N,,N,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
Search engine,Search engine,Microsoft Azure Search,https://db-engines.com/en/system/Microsoft+Azure+Search,N,,-,6.7,61,-,-,Microsoft,2015,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",SingleStore,https://db-engines.com/en/system/SingleStore,N,,-,6.6,62,-,-,SingleStore Inc.,2013,2021,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
Relational,Relational DBMS,Derby,https://db-engines.com/en/system/Derby,Y,N,apache/derby,6.59,63,apache,derby,Apache Software Foundation,1997,2022,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,CockroachDB,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,6.53,64,cockroachdb,cockroach,Cockroach Labs,2015,2021,Y,"Apache 2.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Interbase,https://db-engines.com/en/system/Interbase,N,,-,6.41,65,-,-,Embarcadero,1984,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Key-value store,Spatial DBMS",Aerospike,https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,6.4,66,aerospike,aerospike-server,Aerospike,2012,2022,Y,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,N,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Content,Content stores,Jackrabbit,https://db-engines.com/en/system/Jackrabbit,Y,N,apache/jackrabbit,6.39,67,apache,jackrabbit,Apache Software Foundation,2006,,Y,,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time Series,Time Series DBMS,Graphite,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,6.3,68,graphite-project,graphite-web,Chris Davis,2006,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Relational,Relational DBMS,Ingres,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,6.27,69,fosslc,Ingres,Actian Corporation,1974,2017,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",Virtuoso,https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,6.24,70,openlink,virtuoso-opensource,OpenLink Software,1998,2022,Y,"GPLv2, extended commercial license available",N,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0
Key-value,Key-value store,Ehcache,https://db-engines.com/en/system/Ehcache,Y,Y,ehcache/ehcache3,6.14,71,ehcache,ehcache3,"Terracotta Inc, owned by Software AG",2009,2022,Y,Apache Version 2; commercial licenses available,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft Azure Data Explorer,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,5.92,72,-,-,Microsoft,2019,,N,,Y,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
Document,Document store,Google Cloud Datastore,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,5.89,73,-,-,Google,2008,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wide column,"Wide column store,Key-value store",ScyllaDB,https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,5.85,74,scylladb,scylla,ScyllaDB,2015,2022,Y,"Open Source (AGPL), commercial license available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Wide column,Wide column store,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,5.68,75,-,-,Microsoft,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,5.39,76,-,-,SAP,1992,2015,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino,https://db-engines.com/en/system/Trino,Y,,trinodb/trino,5.39,77,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
Key-value,"Key-value store,Relational DBMS",Ignite,https://db-engines.com/en/system/Ignite,Y,N,apache/ignite,5.32,78,apache,ignite,Apache Software Foundation,2015,,Y,Apache 2.0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,5.19,79,basho,riak_kv,Basho Technologies,2009,2015,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wide column,Wide column store,Accumulo,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,5.18,80,apache,accumulo,,2008,2020,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,HyperSQL,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,5.15,81,ryenus,hsqldb,,2001,2022,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Multivalue,Multivalue DBMS,Adabas,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,5.1,82,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RDF,RDF store,Apache Jena - TDB,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,5.07,83,apache,jena,Apache Software Foundation,2000,2022,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Key-value,"Key-value store,Wide column store",Google Cloud Bigtable,https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,4.91,84,-,-,Google,2015,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB,https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,4.8,85,arangodb,arangodb,ArangoDB Inc.,2012,2022,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Multivalue,Multivalue DBMS,"UniData,UniVerse",https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,4.54,86,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Time Series,"Time Series DBMS,Relational DBMS",TimescaleDB,https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,4.37,87,timescale,timescaledb,Timescale,2017,2022,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Relational,Relational DBMS,OpenEdge,https://db-engines.com/en/system/OpenEdge,N,,-,4.33,88,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,RocksDB,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,4.3,89,facebook,rocksdb,"Facebook, Inc.",2013,2023,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,SAP IQ,https://db-engines.com/en/system/SAP+IQ,N,,-,4.13,90,-,-,"SAP, formerly Sybase",1994,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,Document store,IBM Cloudant,https://db-engines.com/en/system/IBM+Cloudant,N,,-,4.09,91,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Document,"Document store,Graph DBMS,Key-value store",OrientDB,https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,4.06,92,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010,2021,Y,Apache version 2,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Google Cloud Spanner,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,4.01,93,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",RavenDB,https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,3.97,94,ravendb,ravendb,Hibernating Rhinos,2010,2022,Y,"AGPL version 3, commercial license available",N,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Key-value,"Key-value store,Document store",GemFire,https://db-engines.com/en/system/GemFire,N,Y,-,3.96,95,-,-,VMware,2004,2022,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Document,"Document store,Key-value store,Relational DBMS",Oracle NoSQL,https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,3.79,96,oracle,nosql-go-sdk,Oracle,2011,2022,Y,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Spatial DBMS",RethinkDB,https://db-engines.com/en/system/RethinkDB,Y,,rethinkdb/rethinkdb,3.76,97,rethinkdb,rethinkdb,The Linux Foundation,2009,2020,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Relational,"Relational DBMS,Document store,Wide column store",YugabyteDB,https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,3.54,98,yugabyte,yugabyte-db,Yugabyte Inc.,2017,2022,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Key-value,Key-value store,Infinispan,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,3.45,99,infinispan,infinispan,,2009,2023,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,MaxDB,https://db-engines.com/en/system/MaxDB,N,,-,3.42,100,-,-,"SAP, acquired from Software AG (Adabas-D) in 1997",1984,2020,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,LevelDB,https://db-engines.com/en/system/LevelDB,Y,,google/leveldb,3.38,101,google,leveldb,Google,2011,2021,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Key-value,"Key-value store,Native XML DBMS",Oracle Berkeley DB,https://db-engines.com/en/system/Oracle+Berkeley+DB,Y,,berkeleydb/libdb,3.29,102,berkeleydb,libdb,Oracle,1994,2020,Y,commercial license available,N,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Document,Document store,PouchDB,https://db-engines.com/en/system/PouchDB,Y,N,pouchdb/pouchdb,3.27,103,pouchdb,pouchdb,Apache Software Foundation,2012,2019,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Document,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems IRIS,https://db-engines.com/en/system/InterSystems+IRIS,N,,-,3.2,104,-,-,InterSystems,2018,2021,N,,N,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Key-value,"Key-value store,Object oriented DBMS,Relational DBMS,Document store",InterSystems Caché,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,N,,-,3.19,105,-,-,InterSystems,1997,2020,N,,N,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Time Series,Time Series DBMS,RRDtool,https://db-engines.com/en/system/RRDtool,Y,,oetiker/rrdtool-1.x,3.19,106,oetiker,rrdtool-1.x,Tobias Oetiker,1999,2022,Y,GPL V2 and FLOSS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
