Rank_Dec-2025,Rank_Nov-2025,Rank_Dec-2024,DBMS,Database Model,Score_Dec-2025,Score_Nov-2025,Score_Dec-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1234.40,-5.38,-29.39,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",868.49,+2.67,-135.27,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",722.52,+3.65,-83.18,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",659.42,+8.06,-6.95,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,Multi-model,372.27,+0.60,-28.11,https://db-engines.com/en/system/MongoDB,"Document store,Key-value store,Multivalue DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,7.,Snowflake,Relational,202.45,+4.61,+55.09,https://db-engines.com/en/system/Snowflake,
7.,7.,6.,Redis,"Key-value, Multi-model",142.48,-2.61,-7.79,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,8.,13.,Databricks,Multi-model,138.02,+6.51,+50.33,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
9.,9.,9.,IBM Db2,"Relational, Multi-model",115.75,-3.52,-7.03,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,8.,Elasticsearch,Multi-model,109.83,-4.14,-22.49,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
11.,11.,10.,SQLite,Relational,102.61,-1.58,+0.89,https://db-engines.com/en/system/SQLite,
12.,12.,11.,Apache Cassandra,"Wide column, Multi-model",101.55,-1.16,+3.62,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
13.,13.,15.,MariaDB,"Relational, Multi-model",87.59,+0.23,+3.82,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,16.,14.,Splunk,Search engine,75.89,-0.21,-9.47,https://db-engines.com/en/system/Splunk,
15.,18.,18.,Apache Hive,Relational,75.44,+2.57,+22.34,https://db-engines.com/en/system/Apache+Hive,
16.,15.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",75.22,-1.16,-1.15,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,14.,12.,Microsoft Access,Relational,73.89,-4.40,-16.93,https://db-engines.com/en/system/Microsoft+Access,
18.,17.,17.,Amazon DynamoDB,Multi-model,72.96,-2.82,+0.23,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
19.,19.,19.,Google BigQuery,Relational,62.76,-0.03,+10.46,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,20.,Neo4j,Graph,51.76,-0.60,+8.69,https://db-engines.com/en/system/Neo4j,
21.,21.,24.,Apache Solr,"Search engine, Multi-model",34.57,-0.38,+2.10,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,22.,23.,Teradata,"Relational, Multi-model",34.04,+0.71,-3.57,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,24.,22.,SAP HANA,"Relational, Multi-model",32.42,+0.20,-5.23,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,23.,21.,FileMaker,Relational,32.03,-0.77,-10.84,https://db-engines.com/en/system/FileMaker,
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",26.79,-0.29,-3.52,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,23.80,+1.25,+0.74,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
27.,26.,32.,Apache Spark (SQL),Relational,22.87,-0.22,+5.48,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
28.,29.,29.,PostGIS,"Spatial, Multi-model",22.57,+1.10,+3.13,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
29.,28.,28.,InfluxDB,"Time Series, Multi-model",21.92,-0.17,+0.69,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
30.,30.,31.,ClickHouse,"Relational, Multi-model",21.28,+0.16,+3.84,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
31.,32.,33.,OpenSearch,Multi-model,19.79,+0.66,+2.60,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
32.,31.,26.,Apache HBase,Wide column,18.96,-0.35,-6.04,https://db-engines.com/en/system/Apache+HBase,
33.,33.,30.,Firebird,Relational,16.89,-0.15,-1.65,https://db-engines.com/en/system/Firebird,
34.,36.,39.,Firebase Realtime Database,Document,15.32,+0.55,+2.26,https://db-engines.com/en/system/Firebase+Realtime+Database,
35.,34.,34.,Memcached,Key-value,15.11,-0.24,-1.92,https://db-engines.com/en/system/Memcached,
36.,35.,37.,Microsoft Azure Synapse Analytics,Relational,14.90,-0.35,-0.45,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
37.,37.,38.,Amazon Redshift,Relational,14.75,+0.04,+0.54,https://db-engines.com/en/system/Amazon+Redshift,
38.,38.,36.,Informix,"Relational, Multi-model",14.28,-0.29,-1.43,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
39.,39.,41.,Apache Impala,"Relational, Multi-model",13.86,+0.46,+3.47,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
40.,40.,40.,Apache Flink,Relational,12.42,+0.51,+1.70,https://db-engines.com/en/system/Apache+Flink,
41.,41.,35.,Couchbase,Multi-model,11.39,-0.13,-4.43,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
42.,43.,55.,DuckDB,Relational,9.45,+0.34,+3.28,https://db-engines.com/en/system/DuckDB,
43.,42.,53.,Google Cloud Firestore,Document,9.45,-0.01,+2.86,https://db-engines.com/en/system/Google+Cloud+Firestore,
44.,44.,42.,Vertica,"Relational, Multi-model",8.94,+0.05,-0.60,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
45.,45.,45.,Amazon Aurora,"Relational, Multi-model",8.83,+0.60,+1.36,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
46.,47.,51.,Kdb,Multi-model,8.19,+0.14,+1.19,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
47.,48.,47.,Prometheus,Time Series,8.09,+0.17,+0.97,https://db-engines.com/en/system/Prometheus,
48.,52.,80.,Pinecone,Vector,7.95,+0.87,+4.71,https://db-engines.com/en/system/Pinecone,
49.,49.,50.,H2,"Relational, Multi-model",7.77,-0.07,+0.74,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
50.,46.,43.,dBASE,Relational,7.73,-0.38,-1.77,https://db-engines.com/en/system/dBASE,
51.,50.,46.,etcd,Key-value,7.72,-0.01,+0.58,https://db-engines.com/en/system/etcd,
52.,68.,,Microsoft Fabric,Relational,7.08,+2.93,,https://db-engines.com/en/system/Microsoft+Fabric,
53.,53.,48.,Realm,Document,7.07,+0.00,-0.05,https://db-engines.com/en/system/Realm,
54.,51.,52.,Netezza,Relational,7.03,-0.12,+0.18,https://db-engines.com/en/system/Netezza,
55.,54.,57.,Algolia,Search engine,6.96,+0.01,+1.16,https://db-engines.com/en/system/Algolia,
56.,57.,60.,Trino,"Relational, Multi-model",6.94,+0.37,+1.55,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
57.,55.,49.,Greenplum,"Relational, Multi-model",6.86,+0.06,-0.21,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
58.,58.,59.,Microsoft Azure AI Search,"Search engine, Multi-model",6.45,+0.31,+0.96,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
59.,56.,44.,CouchDB,"Document, Multi-model",6.41,-0.26,-1.29,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
60.,59.,54.,Presto,Relational,6.12,-0.01,-0.42,https://db-engines.com/en/system/Presto,
61.,60.,56.,Sphinx,Search engine,5.88,-0.02,-0.03,https://db-engines.com/en/system/Sphinx,
62.,61.,61.,Hazelcast,"Key-value, Multi-model",5.41,+0.20,+0.06,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
63.,66.,95.,Milvus,Vector,5.00,+0.31,+2.19,https://db-engines.com/en/system/Milvus,
64.,64.,74.,TimescaleDB,"Time Series, Multi-model",4.91,+0.15,+1.16,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
65.,65.,58.,Oracle Essbase,Relational,4.87,+0.16,-0.74,https://db-engines.com/en/system/Oracle+Essbase,
66.,62.,67.,CockroachDB,Relational,4.76,-0.29,+0.57,https://db-engines.com/en/system/CockroachDB,
67.,63.,63.,Graphite,Time Series,4.67,-0.11,-0.14,https://db-engines.com/en/system/Graphite,
68.,71.,126.,Qdrant,Vector,4.39,+0.31,+2.55,https://db-engines.com/en/system/Qdrant,
69.,69.,72.,ScyllaDB,"Wide column, Multi-model",4.29,+0.16,+0.47,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
70.,73.,135.,Weaviate,Vector,4.18,+0.45,+2.48,https://db-engines.com/en/system/Weaviate,
71.,70.,66.,MarkLogic,Multi-model,4.15,+0.04,-0.17,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
72.,67.,62.,Aerospike,Multi-model,3.92,-0.37,-1.42,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
73.,76.,92.,Apache Druid,Multi-model,3.70,+0.10,+0.82,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
74.,74.,68.,Apache Jackrabbit,Content,3.68,+0.05,-0.48,https://db-engines.com/en/system/Apache+Jackrabbit,
75.,72.,76.,OpenEdge,Relational,3.63,-0.10,-0.01,https://db-engines.com/en/system/OpenEdge,
76.,79.,75.,Interbase,Relational,3.57,+0.05,-0.10,https://db-engines.com/en/system/Interbase,
77.,78.,87.,QuestDB,"Time Series, Multi-model",3.56,+0.00,+0.58,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
78.,75.,78.,Ingres,Relational,3.54,-0.06,-0.08,https://db-engines.com/en/system/Ingres,
79.,77.,70.,Google Cloud Datastore,Document,3.53,-0.03,-0.43,https://db-engines.com/en/system/Google+Cloud+Datastore,
80.,81.,64.,Datastax Enterprise,"Wide column, Multi-model",3.32,-0.03,-1.42,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
81.,80.,94.,RocksDB,Key-value,3.25,-0.18,+0.40,https://db-engines.com/en/system/RocksDB,
82.,85.,82.,SAP SQL Anywhere,Relational,3.24,+0.02,+0.06,https://db-engines.com/en/system/SAP+SQL+Anywhere,
83.,84.,77.,Riak KV,Key-value,3.22,-0.02,-0.42,https://db-engines.com/en/system/Riak+KV,
84.,86.,73.,Apache Derby,Relational,3.21,+0.03,-0.59,https://db-engines.com/en/system/Apache+Derby,
85.,87.,71.,TiDB,"Relational, Multi-model",3.20,+0.05,-0.66,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS"
86.,82.,65.,Ehcache,Key-value,3.18,-0.14,-1.44,https://db-engines.com/en/system/Ehcache,
87.,88.,83.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.13,+0.04,+0.04,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
88.,90.,98.,Adabas,Multivalue,3.11,+0.18,+0.44,https://db-engines.com/en/system/Adabas,
89.,83.,81.,Oracle NoSQL,Multi-model,3.09,-0.14,-0.12,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
90.,92.,79.,Virtuoso,Multi-model,3.03,+0.13,-0.55,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
91.,104.,102.,DolphinDB,Multi-model,3.03,+0.59,+0.49,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
92.,89.,89.,ArangoDB,Multi-model,3.02,+0.05,+0.06,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
93.,91.,88.,Apache Ignite,Multi-model,2.90,-0.04,-0.08,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
94.,93.,84.,Microsoft Azure Table Storage,Wide column,2.82,0.00,-0.22,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
95.,98.,90.,HyperSQL,Relational,2.80,+0.09,-0.15,https://db-engines.com/en/system/HyperSQL,
96.,96.,99.,Google Cloud Spanner,Relational,2.79,+0.07,+0.13,https://db-engines.com/en/system/Google+Cloud+Spanner,
97.,97.,104.,GemFire,"Key-value, Multi-model",2.73,+0.01,+0.20,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
98.,94.,69.,SingleStore,"Relational, Multi-model",2.71,-0.07,-1.42,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
99.,95.,116.,OceanBase,Multi-model,2.69,-0.08,+0.67,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
100.,99.,85.,Google Cloud Bigtable,Multi-model,2.61,-0.04,-0.41,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
101.,101.,93.,OrientDB,Multi-model,2.59,+0.00,-0.28,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
102.,107.,125.,Chroma,Vector,2.57,+0.16,+0.70,https://db-engines.com/en/system/Chroma,
103.,102.,86.,Apache Jena - TDB,RDF,2.56,+0.03,-0.42,https://db-engines.com/en/system/Apache+Jena+-+TDB,
104.,100.,103.,IBM Cloudant,Document,2.53,-0.08,-0.01,https://db-engines.com/en/system/IBM+Cloudant,
105.,108.,161.,Alibaba Cloud PolarDB,Relational,2.51,+0.12,+1.22,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
106.,111.,112.,Amazon Neptune,Multi-model,2.51,+0.16,+0.34,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
107.,103.,108.,Coveo,Search engine,2.48,-0.05,+0.07,https://db-engines.com/en/system/Coveo,
108.,109.,96.,GraphDB,Multi-model,2.42,+0.05,-0.36,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
109.,112.,91.,Apache Accumulo,Wide column,2.42,+0.07,-0.52,https://db-engines.com/en/system/Apache+Accumulo,
110.,106.,101.,RavenDB,"Document, Multi-model",2.41,-0.02,-0.18,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
