Rank_Oct-2023,Rank_Sep-2023,Rank_Oct-2022,DBMS,Database Model,Score_Oct-2023,Score_Sep-2023,Score_Oct-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1261.42,+20.54,+25.05,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1133.32,+21.83,-72.06,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",896.88,-5.34,-27.80,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",638.82,+18.06,+16.10,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",431.42,-8.00,-54.81,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",162.96,-0.72,-20.41,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,7.,Elasticsearch,"Search engine, Multi-model",137.15,-1.84,-13.92,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,8.,8.,IBM Db2,"Relational, Multi-model",134.87,-1.85,-14.79,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,9.,10.,SQLite,Relational,125.14,-4.06,-12.66,https://db-engines.com/en/system/SQLite,
10.,10.,9.,Microsoft Access,Relational,124.31,-4.25,-13.85,https://db-engines.com/en/system/Microsoft+Access,
11.,11.,13.,Snowflake,Relational,123.24,+2.35,+16.51,https://db-engines.com/en/system/Snowflake,
12.,12.,11.,Cassandra,"Wide column, Multi-model",108.82,-1.24,-9.12,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,12.,MariaDB,"Relational, Multi-model",99.66,-0.79,-9.65,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,92.37,+0.98,-2.28,https://db-engines.com/en/system/Splunk,
15.,15.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",80.93,-1.80,-4.03,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,16.,15.,Amazon DynamoDB,Multi-model,80.91,+0.00,-7.44,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
17.,17.,20.,Databricks,Multi-model,75.82,+0.64,+18.21,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
18.,18.,17.,Hive,Relational,69.18,-2.65,-11.42,https://db-engines.com/en/system/Hive,
19.,19.,18.,Teradata,"Relational, Multi-model",58.56,-1.77,-7.51,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
20.,20.,22.,Google BigQuery,Relational,56.57,+0.11,+4.12,https://db-engines.com/en/system/Google+BigQuery,
21.,21.,23.,FileMaker,Relational,53.32,-0.29,+0.91,https://db-engines.com/en/system/FileMaker,
22.,22.,24.,SAP HANA,"Relational, Multi-model",49.44,-1.17,-2.63,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
23.,23.,19.,Neo4j,Graph,48.44,-1.95,-10.25,https://db-engines.com/en/system/Neo4j,
24.,24.,21.,Solr,"Search engine, Multi-model",45.36,-1.73,-8.14,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",41.92,-1.40,-1.05,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,HBase,Wide column,34.69,-1.28,-6.97,https://db-engines.com/en/system/HBase,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,34.29,-1.16,-6.12,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,29.,InfluxDB,"Time Series, Multi-model",29.74,-1.53,+0.16,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,28.,PostGIS,"Spatial DBMS, Multi-model",27.30,-1.10,-3.55,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,34.,Microsoft Azure Synapse Analytics,Relational,27.13,-0.60,+4.03,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
31.,31.,33.,Firebird,Relational,25.68,+0.05,+0.68,https://db-engines.com/en/system/Firebird,
32.,32.,30.,Couchbase,"Document, Multi-model",22.41,-1.36,-5.54,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS"
33.,33.,35.,Informix,"Relational, Multi-model",21.42,-0.92,-1.45,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
34.,35.,31.,Amazon Redshift,Relational,21.04,+1.00,-5.98,https://db-engines.com/en/system/Amazon+Redshift,
35.,34.,32.,Memcached,Key-value,20.84,-0.47,-4.55,https://db-engines.com/en/system/Memcached,
36.,37.,36.,Spark SQL,Relational,18.74,-0.47,-3.85,https://db-engines.com/en/system/Spark+SQL,
37.,36.,40.,Impala,"Relational, Multi-model",18.51,-1.09,+0.83,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store"
38.,38.,37.,Firebase Realtime Database,Document,17.48,-0.10,-2.64,https://db-engines.com/en/system/Firebase+Realtime+Database,
