Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,DBMS,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info
118.,122.,92.,EXASOL,Relational,2.77,+0.04,-0.85,https://db-engines.com/en/system/EXASOL,
119.,123.,155.,HEAVY.AI,"Relational, Multi-model",2.76,+0.08,+1.43,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
120.,114.,143.,DolphinDB,"Time Series, Multi-model",2.69,-0.16,+1.16,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS"
121.,115.,112.,Oracle Coherence,Key-value,2.67,-0.16,+0.05,https://db-engines.com/en/system/Oracle+Coherence,
122.,125.,99.,Apache Druid,Multi-model,2.63,+0.14,-0.63,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
123.,121.,110.,Amazon Neptune,Multi-model,2.60,-0.13,-0.09,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
124.,117.,117.,JanusGraph,Graph,2.56,-0.24,+0.09,https://db-engines.com/en/system/JanusGraph,
125.,126.,118.,Amazon CloudSearch,Search engine,2.52,+0.06,+0.23,https://db-engines.com/en/system/Amazon+CloudSearch,
126.,124.,131.,Geode,Key-value,2.51,-0.02,+0.64,https://db-engines.com/en/system/Geode,
127.,130.,201.,TDengine,"Time Series, Multi-model",2.43,+0.02,+1.67,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
128.,132.,123.,Coveo,Search engine,2.40,+0.03,+0.26,https://db-engines.com/en/system/Coveo,
129.,131.,130.,MonetDB,"Relational, Multi-model",2.36,-0.01,+0.49,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
130.,129.,124.,GridGain,Multi-model,2.34,-0.07,+0.24,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS"
131.,127.,109.,GraphDB,Multi-model,2.32,-0.12,-0.52,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
132.,128.,135.,OpenTSDB,Time Series,2.32,-0.12,+0.53,https://db-engines.com/en/system/OpenTSDB,
133.,133.,133.,Datomic,Relational,2.25,-0.04,+0.41,https://db-engines.com/en/system/Datomic,
134.,143.,271.,DuckDB,Relational,2.14,+0.14,+1.88,https://db-engines.com/en/system/DuckDB,
135.,138.,132.,TimesTen,Relational,2.12,-0.02,+0.27,https://db-engines.com/en/system/TimesTen,
136.,136.,125.,Tibero,Relational,2.12,-0.11,+0.09,https://db-engines.com/en/system/Tibero,
137.,144.,141.,BaseX,Native XML,2.11,+0.12,+0.47,https://db-engines.com/en/system/BaseX,
138.,135.,126.,SpatiaLite,"Spatial DBMS, Multi-model",2.10,-0.16,+0.15,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
139.,134.,140.,VoltDB,Relational,2.08,-0.21,+0.44,https://db-engines.com/en/system/VoltDB,
140.,140.,127.,jBASE,Multivalue,2.07,+0.01,+0.14,https://db-engines.com/en/system/jBASE,
141.,142.,147.,ObjectStore,Object oriented,2.06,+0.02,+0.65,https://db-engines.com/en/system/ObjectStore,
142.,145.,,OceanBase,"Relational, Multi-model",2.05,+0.08,,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
143.,139.,139.,Db4o,Object oriented,2.03,-0.05,+0.34,https://db-engines.com/en/system/Db4o,
144.,137.,121.,TigerGraph,Graph,1.96,-0.21,-0.22,https://db-engines.com/en/system/TigerGraph,
145.,141.,129.,IBM Db2 warehouse,Relational,1.90,-0.14,+0.02,https://db-engines.com/en/system/IBM+Db2+warehouse,
146.,147.,164.,QuestDB,"Time Series, Multi-model",1.89,-0.06,+0.73,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
147.,150.,157.,SQLBase,Relational,1.85,-0.03,+0.55,https://db-engines.com/en/system/SQLBase,
148.,152.,138.,Mnesia,Document,1.84,-0.03,+0.15,https://db-engines.com/en/system/Mnesia,
149.,146.,152.,GridDB,"Time Series, Multi-model",1.83,-0.13,+0.49,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
150.,154.,167.,NebulaGraph,Graph,1.83,+0.04,+0.70,https://db-engines.com/en/system/NebulaGraph,
151.,160.,172.,Empress,Relational,1.81,+0.16,+0.72,https://db-engines.com/en/system/Empress,
152.,151.,145.,Tarantool,"Key-value, Multi-model",1.81,-0.06,+0.37,https://db-engines.com/en/system/Tarantool,"Key-value store,Document store,Relational DBMS,Spatial DBMS"
153.,148.,136.,Amazon DocumentDB,Document,1.81,-0.09,+0.04,https://db-engines.com/en/system/Amazon+DocumentDB,
154.,158.,262.,Memgraph,Graph,1.79,+0.10,+1.41,https://db-engines.com/en/system/Memgraph,
155.,159.,148.,Actian NoSQL Database,Object oriented,1.78,+0.11,+0.38,https://db-engines.com/en/system/Actian+NoSQL+Database,
156.,153.,137.,Dgraph,Graph,1.78,-0.08,+0.09,https://db-engines.com/en/system/Dgraph,
157.,149.,150.,Fauna,Multi-model,1.77,-0.12,+0.42,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
158.,163.,128.,Stardog,Multi-model,1.77,+0.14,-0.13,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
159.,162.,,Firebolt,Relational,1.74,+0.10,,https://db-engines.com/en/system/Firebolt,
160.,164.,154.,Apache Kylin,Relational,1.69,+0.06,+0.35,https://db-engines.com/en/system/Apache+Kylin,
161.,155.,151.,LiteDB,Document,1.65,-0.10,+0.30,https://db-engines.com/en/system/LiteDB,
162.,156.,149.,Datameer,Document,1.64,-0.10,+0.25,https://db-engines.com/en/system/Datameer,
163.,161.,169.,DataEase,Relational,1.60,-0.04,+0.50,https://db-engines.com/en/system/DataEase,
164.,192.,193.,Matisse,Object oriented,1.60,+0.33,+0.79,https://db-engines.com/en/system/Matisse,
165.,178.,146.,GT.M,Key-value,1.59,+0.17,+0.18,https://db-engines.com/en/system/GT.M,
166.,166.,173.,NonStop SQL,Relational,1.56,-0.05,+0.48,https://db-engines.com/en/system/NonStop+SQL,
167.,168.,153.,Cubrid,Relational,1.55,-0.04,+0.21,https://db-engines.com/en/system/Cubrid,
168.,169.,156.,Giraph,Graph,1.55,-0.04,+0.23,https://db-engines.com/en/system/Giraph,
169.,170.,183.,ObjectBox,"Object oriented, Multi-model",1.54,-0.03,+0.62,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS"
170.,171.,163.,Oracle Rdb,Relational,1.52,-0.01,+0.34,https://db-engines.com/en/system/Oracle+Rdb,
171.,177.,179.,GigaSpaces,Multi-model,1.52,+0.09,+0.58,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
172.,157.,171.,GBase,Relational,1.52,-0.17,+0.42,https://db-engines.com/en/system/GBase,
173.,173.,134.,mSQL,Relational,1.49,-0.02,-0.35,https://db-engines.com/en/system/mSQL,
174.,191.,,Pinecone,Search engine,1.48,+0.19,,https://db-engines.com/en/system/Pinecone,
175.,167.,158.,FoundationDB,Multi-model,1.46,-0.14,+0.16,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
176.,175.,,MatrixOne,Relational,1.42,-0.03,,https://db-engines.com/en/system/MatrixOne,
177.,176.,182.,ZODB,Key-value,1.41,-0.03,+0.49,https://db-engines.com/en/system/ZODB,
178.,174.,174.,Infobright,Relational,1.40,-0.07,+0.34,https://db-engines.com/en/system/Infobright,
179.,179.,168.,Apache HAWQ,Relational,1.39,-0.03,+0.27,https://db-engines.com/en/system/Apache+HAWQ,
180.,172.,170.,Altibase,Relational,1.37,-0.16,+0.27,https://db-engines.com/en/system/Altibase,
181.,200.,181.,IDMS,Navigational,1.36,+0.21,+0.43,https://db-engines.com/en/system/IDMS,
182.,180.,144.,HFSQL,Relational,1.35,-0.07,-0.14,https://db-engines.com/en/system/HFSQL,
183.,165.,165.,SQL.JS,Relational,1.34,-0.28,+0.21,https://db-engines.com/en/system/SQL.JS,
184.,181.,162.,Model 204,Multivalue,1.34,-0.06,+0.13,https://db-engines.com/en/system/Model+204,
185.,193.,176.,EventStoreDB,Event,1.29,+0.03,+0.29,https://db-engines.com/en/system/EventStoreDB,
186.,189.,190.,Perst,Object oriented,1.27,-0.03,+0.45,https://db-engines.com/en/system/Perst,
187.,183.,195.,NCache,"Key-value, Multi-model",1.25,-0.10,+0.46,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
188.,186.,177.,NuoDB,Relational,1.24,-0.11,+0.26,https://db-engines.com/en/system/NuoDB,
189.,197.,200.,Xapian,Search engine,1.23,+0.04,+0.47,https://db-engines.com/en/system/Xapian,
190.,182.,210.,TypeDB,Multi-model,1.23,-0.16,+0.53,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS"
191.,185.,159.,1010data,Relational,1.22,-0.12,-0.05,https://db-engines.com/en/system/1010data,
192.,196.,248.,Hibari,Key-value,1.21,+0.00,+0.76,https://db-engines.com/en/system/Hibari,
193.,215.,205.,DBISAM,Relational,1.21,+0.19,+0.48,https://db-engines.com/en/system/DBISAM,
194.,201.,166.,Sedna,Native XML,1.20,+0.07,+0.07,https://db-engines.com/en/system/Sedna,
195.,213.,225.,Northgate Reality,Multivalue,1.19,+0.17,+0.62,https://db-engines.com/en/system/Northgate+Reality,
196.,188.,,openGauss,"Relational, Multi-model",1.19,-0.12,,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
197.,209.,160.,D3,Multivalue,1.19,+0.12,-0.08,https://db-engines.com/en/system/D3,
198.,204.,224.,Meilisearch,Search engine,1.17,+0.08,+0.59,https://db-engines.com/en/system/Meilisearch,
199.,184.,197.,Actian Vector,Relational,1.17,-0.18,+0.39,https://db-engines.com/en/system/Actian+Vector,
200.,187.,161.,AllegroGraph,Multi-model,1.17,-0.16,-0.06,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Spatial DBMS"
201.,190.,191.,HPE Ezmeral Data Fabric,Multi-model,1.17,-0.12,+0.35,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
202.,195.,194.,solidDB,Relational,1.15,-0.08,+0.36,https://db-engines.com/en/system/solidDB,
203.,194.,213.,RDF4J,RDF,1.15,-0.11,+0.46,https://db-engines.com/en/system/RDF4J,
204.,203.,211.,Dolt,"Relational, Multi-model",1.15,+0.04,+0.45,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
205.,211.,186.,FrontBase,Relational,1.13,+0.08,+0.27,https://db-engines.com/en/system/FrontBase,
206.,198.,180.,Blazegraph,Multi-model,1.06,-0.12,+0.13,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
207.,206.,192.,Kognitio,Relational,1.06,-0.03,+0.25,https://db-engines.com/en/system/Kognitio,
208.,205.,216.,WebSphere eXtreme Scale,Key-value,1.05,-0.04,+0.40,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
209.,224.,198.,BigchainDB,Document,1.04,+0.10,+0.26,https://db-engines.com/en/system/BigchainDB,
210.,218.,212.,OpenBase,Relational,1.04,+0.04,+0.35,https://db-engines.com/en/system/OpenBase,
211.,202.,185.,eXist-db,Native XML,1.03,-0.09,+0.16,https://db-engines.com/en/system/eXist-db,
212.,216.,217.,SciDB,Multivalue,1.02,+0.01,+0.38,https://db-engines.com/en/system/SciDB,
213.,214.,241.,TDSQL for MySQL,"Relational, Multi-model",1.02,0.00,+0.51,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
214.,207.,281.,M3DB,Time Series,1.02,-0.07,+0.77,https://db-engines.com/en/system/M3DB,
