Rank_Apr-2023,Rank_Mar-2023,Rank_Apr-2022,DBMS,Database Model,Score_Apr-2023,Score_Mar-2023,Score_Apr-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1228.28,-33.01,-26.54,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1157.78,-25.00,-46.38,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",918.52,-3.49,-19.94,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",608.41,-5.41,-6.05,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Spatial DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",441.90,-16.89,-41.48,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",173.55,+1.10,-4.05,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
7.,7.,8.,IBM Db2,"Relational, Multi-model",145.49,+2.57,-14.97,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
8.,8.,7.,Elasticsearch,"Search engine, Multi-model",141.08,+2.01,-19.76,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS"
9.,9.,10.,SQLite,Relational,134.54,+0.72,+1.75,https://db-engines.com/en/system/SQLite,
10.,10.,9.,Microsoft Access,Relational,131.37,-0.69,-11.41,https://db-engines.com/en/system/Microsoft+Access,
11.,12.,11.,Cassandra,Wide column,111.81,-1.98,-10.19,https://db-engines.com/en/system/Cassandra,
12.,11.,14.,Snowflake,Relational,111.12,-3.27,+21.68,https://db-engines.com/en/system/Snowflake,
13.,13.,12.,MariaDB,"Relational, Multi-model",95.93,-0.90,-14.38,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
