Rank_Feb-2026,Rank_Jan-2026,Rank_Feb-2025,DBMS,Database Model,Score_Feb-2026,Score_Jan-2026,Score_Feb-2025,DBMS_insitelink,Multi_model_info
124.,125.,124.,LMDB,Key-value,1.96,+0.00,+0.16,https://db-engines.com/en/system/LMDB,
125.,138.,123.,TDengine,"Time Series, Multi-model",1.95,+0.19,+0.14,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
126.,121.,99.,Memgraph,Graph,1.95,-0.08,-0.59,https://db-engines.com/en/system/Memgraph,
127.,127.,113.,Infinispan,Key-value,1.94,+0.00,-0.07,https://db-engines.com/en/system/Infinispan,
128.,129.,125.,Amazon DocumentDB,Document,1.91,+0.01,+0.11,https://db-engines.com/en/system/Amazon+DocumentDB,
129.,128.,112.,LevelDB,Key-value,1.90,+0.01,-0.22,https://db-engines.com/en/system/LevelDB,
130.,133.,130.,JanusGraph,Graph,1.89,+0.01,+0.20,https://db-engines.com/en/system/JanusGraph,
131.,131.,120.,PouchDB,Document,1.88,-0.01,+0.00,https://db-engines.com/en/system/PouchDB,
132.,134.,135.,Amazon CloudSearch,Search engine,1.85,-0.03,+0.21,https://db-engines.com/en/system/Amazon+CloudSearch,
133.,135.,156.,GBase,Relational,1.85,+0.02,+0.52,https://db-engines.com/en/system/GBase,
134.,130.,115.,MaxDB,Relational,1.84,-0.05,-0.13,https://db-engines.com/en/system/MaxDB,
135.,132.,128.,Apache Drill,Multi-model,1.83,-0.06,+0.09,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
136.,136.,149.,Apache IoTDB,Time Series,1.77,-0.04,+0.36,https://db-engines.com/en/system/Apache+IoTDB,
137.,139.,137.,Stardog,Multi-model,1.76,0.00,+0.15,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
138.,137.,134.,EDB Postgres,"Relational, Multi-model",1.75,-0.03,+0.10,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
139.,126.,186.,PlanetScale,"Relational, Multi-model",1.72,-0.22,+0.76,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
140.,142.,148.,TigerGraph,Graph,1.70,-0.02,+0.25,https://db-engines.com/en/system/TigerGraph,
141.,140.,132.,Oracle Coherence,Key-value,1.69,-0.06,+0.02,https://db-engines.com/en/system/Oracle+Coherence,
142.,141.,143.,SpatiaLite,"Spatial, Multi-model",1.69,-0.05,+0.20,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
143.,144.,127.,Oracle Berkeley DB,Multi-model,1.64,-0.01,-0.14,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
144.,147.,138.,RRDtool,Time Series,1.63,+0.02,+0.04,https://db-engines.com/en/system/RRDtool,
145.,143.,175.,StarRocks,Relational,1.63,-0.03,+0.57,https://db-engines.com/en/system/StarRocks,
146.,151.,151.,BaseX,Native XML,1.60,+0.08,+0.22,https://db-engines.com/en/system/BaseX,
147.,146.,136.,Amazon SimpleDB,Key-value,1.60,-0.02,-0.03,https://db-engines.com/en/system/Amazon+SimpleDB,
148.,149.,145.,Datomic,Relational,1.57,+0.00,+0.12,https://db-engines.com/en/system/Datomic,
149.,148.,140.,EXASOL,Relational,1.55,-0.05,+0.03,https://db-engines.com/en/system/EXASOL,
150.,145.,117.,GridDB,"Time Series, Multi-model",1.54,-0.10,-0.41,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
151.,150.,170.,Meilisearch,Multi-model,1.54,+0.01,+0.40,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
152.,152.,144.,OpenTSDB,Time Series,1.51,-0.01,+0.04,https://db-engines.com/en/system/OpenTSDB,
153.,153.,131.,MonetDB,"Relational, Multi-model",1.47,-0.03,-0.20,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
154.,155.,129.,IMS,Navigational,1.47,+0.02,-0.25,https://db-engines.com/en/system/IMS,
155.,157.,197.,Vitess,"Relational, Multi-model",1.46,+0.07,+0.55,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
156.,156.,142.,Fauna,Multi-model,1.41,-0.03,-0.08,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
157.,161.,188.,SurrealDB,Multi-model,1.38,+0.03,+0.43,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
158.,169.,150.,Tibero,Relational,1.38,+0.13,-0.01,https://db-engines.com/en/system/Tibero,
159.,170.,202.,Rockset,"Document, Multi-model",1.37,+0.13,+0.50,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
160.,158.,147.,jBASE,Multivalue,1.35,-0.03,-0.10,https://db-engines.com/en/system/jBASE,
161.,162.,153.,Geode,Key-value,1.35,+0.00,+0.01,https://db-engines.com/en/system/Geode,
162.,160.,159.,GridGain,Multi-model,1.34,-0.02,+0.05,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
