category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Dec-2022,Rank_Dec-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,https://db-engines.com/en/system/Oracle,N,Y,-,1250.31 ,1 ,-,-,Oracle,1980 ,2021 ,N,restricted free version is available,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0
Relational,"Relational DBMS,Document store,Spatial DBMS",MySQL,https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,1199.40 ,2 ,mysql,mysql-server,Oracle,1995 ,2022 ,Y,GPL version 2. Commercial licenses with extended functionallity are available,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft SQL Server,https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,924.35 ,3 ,-,-,Microsoft,1989 ,2019 ,N,restricted free version is available,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Relational,"Relational DBMS,Document store,Spatial DBMS",PostgreSQL,https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,617.97 ,4 ,postgres,postgres,PostgreSQL Global Development Group,1989 ,2022 ,Y,BSD,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS",MongoDB,https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,469.33 ,5 ,mongodb,mongo,"MongoDB, Inc",2009 ,2022 ,Y,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0
Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",Redis,https://db-engines.com/en/system/Redis,Y,Y,redis/redis,182.57 ,6 ,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009 ,2022 ,Y,"source-available extensions (modules), commercial licenses for Redis Enterprise",N,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0
Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM Db2,https://db-engines.com/en/system/IBM+Db2,N,Y,-,146.61 ,7 ,-,-,IBM,1983 ,2016 ,N,free version is available,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0
Search engine,"Search engine,Document store,Spatial DBMS",Elasticsearch,https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,144.93 ,8 ,elastic,elasticsearch,Elastic,2010 ,2020 ,Y,Elastic License,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0
Relational,Relational DBMS,Microsoft Access,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,133.83 ,9 ,-,-,Microsoft,1992 ,2019 ,N,Bundled with Microsoft Office,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Relational,Relational DBMS,SQLite,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,132.44 ,10 ,sqlite,sqlite,Dwayne Richard Hipp,2000 ,2022 ,Y,Public Domain,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Relational,Relational DBMS,Snowflake,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,114.77 ,11 ,twitter-archive,snowflake,Snowflake Computing Inc.,2014 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Wide column,Wide column store,Cassandra,https://db-engines.com/en/system/Cassandra,Y,N,apache/cassandra,114.65 ,12 ,apache,cassandra,Apache Software Foundation,2008 ,2022,Y,Apache version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB,https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,100.93 ,13 ,MariaDB,server,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009 ,2022 ,Y,"GPL version 2, commercial enterprise subscription available",N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Search engine,Search engine,Splunk,https://db-engines.com/en/system/Splunk,N,,-,90.79 ,14 ,-,-,Splunk Inc.,2003 ,,N,Limited free edition and free developer edition available,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0
Document,"Document store,Key-value store",Amazon DynamoDB,https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,83.85 ,15 ,-,-,Amazon,2012 ,,N,free tier for a limited amount of database operations,Y,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft Azure SQL Database,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,81.98 ,16 ,-,-,Microsoft,2010 ,,N,,Y,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Relational,Relational DBMS,Hive,https://db-engines.com/en/system/Hive,Y,N_Facebook开源,apache/hive,77.89 ,17 ,apache,hive,Apache Software Foundation,2012 ,2022 ,Y,Apache Version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,https://db-engines.com/en/system/Teradata,N,,-,65.89 ,18 ,-,-,Teradata,1984 ,2019 ,N,,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0
Document,"Document store,Relational DBMS",Databricks,https://db-engines.com/en/system/Databricks,Y_usedbms_delta-io/delta,N,databricks/dbt-databricks,60.74 ,19 ,databricks,dbt-databricks,Databricks,2013 ,,Y,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Graph,Graph DBMS,Neo4j,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,57.34 ,20 ,neo4j,neo4j,"Neo4j, Inc.",2007 ,2022 ,Y,"GPL version3, commercial licenses available",N,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
Relational,Relational DBMS,Google BigQuery,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,55.69 ,21 ,-,-,Google,2010 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Relational,Relational DBMS,FileMaker,https://db-engines.com/en/system/FileMaker,N,,-,53.86 ,22 ,-,-,FileMaker,1983 ,2021,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP HANA,https://db-engines.com/en/system/SAP+HANA,N,,-,50.20 ,23 ,-,-,SAP,2010 ,2022 ,N,,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Search engine,"Search engine,Spatial DBMS",Solr,https://db-engines.com/en/system/Solr,Y,N,apache/solr,48.26 ,24 ,apache,solr,Apache Software Foundation,2006 ,2022 ,Y,Apache Version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0
Relational,"Relational DBMS,Spatial DBMS",SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,42.76 ,25 ,-,-,"SAP, Sybase",1987 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Wide column,Wide column store,HBase,https://db-engines.com/en/system/HBase,Y,N,apache/hbase,40.04 ,26 ,apache,hbase,Apache Software Foundation,2008 ,2021 ,Y,Apache version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1
Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,37.95 ,27 ,-,-,Microsoft,2014 ,,N,,Y,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1
Time Series,"Time Series DBMS,Spatial DBMS",InfluxDB,https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,30.25 ,28 ,influxdata,influxdb,,2013 ,2022 ,Y,MIT-License; commercial enterprise version available,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0
Spatial DBMS,"Spatial DBMS,Relational DBMS",PostGIS,https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,29.20 ,29 ,postgis,postgis,,2005 ,2022 ,Y,GPL v2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0
Document,"Document store,Key-value store,Spatial DBMS",Couchbase,https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-ios,26.71 ,30 ,couchbase,couchbase-lite-ios,"Couchbase, Inc.",2011 ,2021 ,Y,Apache version 2; Commercial licenses also available,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0
