DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Jun-2023,Rank_Jun-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector DBMS,Wide column
GridDB,Time Series,"Time Series DBMS,Key-value store,Relational DBMS",https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,2.26,148,griddb,griddb,Toshiba Corporation,2013,2022,Y,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
TigerGraph,Graph,Graph DBMS,https://db-engines.com/en/system/TigerGraph,N,,-,2.2,149,-,-,,2017,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pinecone,Vector DBMS#start_checkpoint>|<last_month_manulabeled#Search engine,Vector DBMS#start_checkpoint>|<last_month_manulabeled#Search engine,https://db-engines.com/en/system/Pinecone,N,Y,-,2.12,150,-,-,"Pinecone Systems, Inc",2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0#start_checkpoint>|<last_month_manulabeled#1,0,0,1,0
Amazon DocumentDB,Document,Document store,https://db-engines.com/en/system/Amazon+DocumentDB,N,,-,2.09,151,-,-,,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TimesTen,Relational,Relational DBMS,https://db-engines.com/en/system/TimesTen,N,,-,2.08,152,-,-,"Oracle, TimesTen Performance Software, HP",1998,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SQLBase,Relational,Relational DBMS,https://db-engines.com/en/system/SQLBase,N,,-,2.07,153,-,-,,1985,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Firebolt,Relational,Relational DBMS,https://db-engines.com/en/system/Firebolt,Y,,firebolt-db/firebolt-python-sdk,2.07,154,firebolt-db,firebolt-python-sdk,Firebolt Analytics Inc.,2020,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tarantool,Key-value,"Key-value store,Document store,Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/Tarantool,Y,,tarantool/tarantool,2.01,155,tarantool,tarantool,VK,2008,2022,Y,BSD,N,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Stardog,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Stardog,N,,-,1.98,156,-,-,Stardog-Union,2010,2020,N,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ObjectStore,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectStore,N,,-,1.98,157,-,-,Ignite Technologies,1988,2014,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Matisse,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Matisse,Y_GithubFork,,zhihu/Matisse,1.96,158,zhihu,Matisse,Matisse Software Inc.,1986,,N,free developer license available,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IBM Db2 warehouse,Relational,Relational DBMS,https://db-engines.com/en/system/IBM+Db2+warehouse,N,,-,1.96,159,-,-,IBM,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mnesia,Document,Document store,https://db-engines.com/en/system/Mnesia,Y,,beardedeagle/mnesiac,1.96,160,beardedeagle,mnesiac,,1999,2018,Y,proprietary license,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actian NoSQL Database,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Actian+NoSQL+Database,N,,-,1.96,161,-,-,Actian,1988,2017,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LiteDB,Document,Document store,https://db-engines.com/en/system/LiteDB,Y,,mbdavid/LiteDB,1.89,162,mbdavid,LiteDB,Mauricio David,2014,,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubrid,Relational,Relational DBMS,https://db-engines.com/en/system/Cubrid,Y,,CUBRID/cubrid,1.85,163,CUBRID,cubrid,"CUBRID Corporation, CUBRID Foundation",2008,2021,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NonStop SQL,Relational,Relational DBMS,https://db-engines.com/en/system/NonStop+SQL,N,,-,1.82,164,-,-,"HP, originally by Tandem",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fauna,Document,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Fauna,N,,-,1.8,165,-,-,"Fauna, Inc.",2014,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Datameer,Document,Document store,https://db-engines.com/en/system/Datameer,N,,-,1.77,166,-,-,,2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Dgraph,Y,Y,dgraph-io/dgraph,1.76,167,dgraph-io,dgraph,"Dgraph Labs, Inc.",2016,,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
