DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Nov-2024,Rank_Nov-2024,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
Kinetica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Kinetica,N,,-,0.42,257,-,-,Kinetica,2012,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
Perst,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Perst,Y,,The-Alchemist/perst,0.42,258,The-Alchemist,perst,,2003,,Y,commercial license available,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
Alibaba Cloud Log Service,Search engine,Search engine,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,N,,-,0.42,259,-,-,AlibabaCloud Inc.,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
AlaSQL,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/AlaSQL,Y,,AlaSQL/alasql,0.41,260,AlaSQL,alasql,Andrey Gershun & Mathias R. Wulff,2014,,Y,MIT-License,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Postgres-XL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Postgres-XL,Y,,Postgres-XL/Postgres-XL,0.41,261,Postgres-XL,Postgres-XL,,2014,2018,Y,Mozilla public license,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Rasdaman,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Rasdaman,Y,,dioptre/rasdaman,0.4,262,dioptre,rasdaman,,1998,2019,Y,extended commercial license available,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Hibari,Key-value,Key-value store,https://db-engines.com/en/system/Hibari,Y,,hibari/hibari,0.4,263,hibari,hibari,,2005,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ScaleArc,Relational,Relational DBMS,https://db-engines.com/en/system/ScaleArc,N,,-,0.4,264,-,-,Ignite,2009,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
OpenInsight,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/OpenInsight,N,,-,0.39,265,-,-,Revelation Software,1992,2018,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
YDB,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/YDB,Y,N,ydb-platform/ydb,0.39,266,ydb-platform,ydb,Yandex,2019,,Y,Apache 2.0; commercial license available,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
