id,category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
24 ,Relational,"Relational  DBMS,Spatial DBMS",SAP Adaptive  Server,https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,42.84 ,25 ,-,-,"SAP, Sybase",1987 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
25 ,Wide column,Wide column store,HBase,https://db-engines.com/en/system/HBase,Y,N,apache/hbase,39.34 ,26 ,apache,hbase,Apache Software Foundation,2008 ,,Y,Apache version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
26 ,Document,"Document  store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure  Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,37.96 ,27 ,-,-,Microsoft,2014 ,,N,,Y,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 
27 ,Time Series,"Time Series DBMS,Spatial DBMS",InfluxDB,https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,29.36 ,28 ,influxdata,influxdb,,2013 ,,Y,MIT-License; commercial enterprise version available,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 
28 ,Spatial DBMS,"Spatial  DBMS,Relational DBMS",PostGIS,https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,29.16 ,29 ,postgis,postgis,,2005 ,,Y,GPL v2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
29 ,Document,"Document store,Key-value store,Spatial DBMS",Couchbase,https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-ios,25.30 ,30 ,couchbase,couchbase-lite-ios,"Couchbase, Inc.",2011 ,,Y,Apache version 2; Commercial licenses also available,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
30 ,Key-value,Key-value store,Memcached,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,23.75 ,31 ,memcached,memcached,Danga  Interactive,2003 ,,Y,BSD license,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
31 ,Relational,Relational DBMS,Amazon Redshift,https://db-engines.com/en/system/Amazon+Redshift,N,,-,23.26 ,32 ,-,-,"Amazon (based on,PostgreSQL,)",2012 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
32 ,Relational,Relational DBMS,Firebird,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,22.88 ,33 ,FirebirdSQL,firebird,Firebird  Foundation,2000 ,,Y,Initial  Developer's Public License,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
33 ,Relational,Relational DBMS,Microsoft Azure Synapse Analytics,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,21.92 ,34 ,-,-,Microsoft,2016 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
34 ,Relational,"Relational  DBMS,Document store,Spatial DBMS,Time Series DBMS",Informix,https://db-engines.com/en/system/Informix,N,Y,-,21.47 ,35 ,-,-,"IBM, HCL  Technologies",1984 ,,N,free developer  edition available,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 
35 ,Relational,Relational DBMS,Spark SQL,https://db-engines.com/en/system/Spark+SQL,Y,N,apache/spark,20.06 ,36 ,apache,spark,Apache Software Foundation,2014 ,,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
36 ,Document,Document store,Firebase  Realtime Database,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,18.76 ,37 ,-,-,Google,2012 ,,N,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
37 ,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",Vertica,https://db-engines.com/en/system/Vertica,N,Y,-,18.01 ,38 ,-,-,Micro Focus,2005 ,,N,Limited community edition free,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 
38 ,Relational,"Relational  DBMS,Document store",Impala,https://db-engines.com/en/system/Impala,Y,,apache/impala,17.99 ,39 ,apache,impala,Cloudera,2013 ,,Y,Apache Version  2,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
39 ,Relational,Relational DBMS,Netezza,https://db-engines.com/en/system/Netezza,N,,-,16.27 ,40 ,-,-,IBM,2000 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
40 ,Document,"Document  store,Spatial DBMS",CouchDB,https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,14.88 ,41 ,apache,couchdb,Apache Software  Foundation,2005 ,2022 ,Y,Apache version  2,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
41 ,Relational,Relational DBMS,dBASE,https://db-engines.com/en/system/dBASE,N,,-,14.07 ,42 ,-,-,Asthon Tate,1979 ,2019 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
42 ,Relational,Relational DBMS,Presto,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,13.70 ,43 ,prestodb,presto,Facebook;  Presto Foundation,2013 ,,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
43 ,Relational,"Relational DBMS,Time Series DBMS",ClickHouse,https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,13.57 ,44 ,ClickHouse,ClickHouse,Clickhouse Inc.,2016 ,2022 ,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
44 ,Relational,"Relational  DBMS,Document store,Spatial DBMS",Greenplum,https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb,11.20 ,45 ,greenplum-db,gpdb,Pivotal  Software Inc.,2005 ,2020 ,Y,Apache 2.0,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
45 ,Document,Document store,Google Cloud Firestore,https://db-engines.com/en/system/Google+Cloud+Firestore,Y,,googleapis/python-firestore,11.10 ,46 ,googleapis,python-firestore,Google,2017 ,,N,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
46 ,Relational,"Relational  DBMS,Document store",Amazon Aurora,https://db-engines.com/en/system/Amazon+Aurora,N,,-,10.88 ,47 ,-,-,Amazon,2015 ,,N,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
47 ,Search engine,Search engine,OpenSearch,https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,10.44 ,48 ,opensearch-project,OpenSearch,Amazon Web Services,2021 ,2022 ,Y,Apache Version 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
48 ,Key-value,"Key-value  store,Document store",Hazelcast,https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,9.34 ,49 ,hazelcast,hazelcast,Hazelcast,2008 ,2022 ,Y,Apache Version  2; commercial licenses available,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
49 ,Document,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic,https://db-engines.com/en/system/MarkLogic,Y,,marklogic/marklogic-data-hub,8.86 ,50 ,marklogic,marklogic-data-hub,MarkLogic Corp.,2001 ,2022 ,N,restricted free version is available,N,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
50 ,Relational,Relational DBMS,Oracle Essbase,https://db-engines.com/en/system/Oracle+Essbase,N,,-,8.65 ,51 ,-,-,Oracle,1998 ,2020 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
51 ,Key-value,Key-value store,etcd,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,8.50 ,52 ,etcd-io,etcd,,,2019 ,Y,Apache Version 2.0,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
52 ,Document,Document store,Realm,https://db-engines.com/en/system/Realm,Y,,realm/realm-cocoa,8.34 ,53 ,realm,realm-cocoa,"Realm, acquired  by MongoDB in May 2019",2014 ,,Y,,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
53 ,Relational,"Relational DBMS,Spatial DBMS",H2,https://db-engines.com/en/system/H2,Y,N,h2database/h2database,8.30 ,54 ,h2database,h2database,Thomas Mueller,2005 ,2022 ,Y,"dual-licence (Mozilla public license, Eclipse public  license)",N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
54 ,Wide column,"Wide column  store,Document store,Graph DBMS,Spatial DBMS,Search engine",Datastax  Enterprise,https://db-engines.com/en/system/Datastax+Enterprise,N,,-,7.70 ,55 ,-,-,DataStax,2011 ,2020 ,N,,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 
55 ,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series  DBMS",SingleStore,https://db-engines.com/en/system/SingleStore,N,,-,7.36 ,56 ,-,-,SingleStore Inc.,2013 ,2021 ,N,free developer edition available,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 
56 ,Relational,Relational DBMS,CockroachDB,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,7.19 ,57 ,cockroachdb,cockroach,Cockroach Labs,2015 ,2021 ,Y,"Apache 2.0,  commercial license available",N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
57 ,Search engine,Search engine,Algolia,https://db-engines.com/en/system/Algolia,N,,-,7.01 ,58 ,-,-,,2012 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
58 ,Search engine,Search engine,Sphinx,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,6.93 ,59 ,sphinxsearch,sphinx,Sphinx  Technologies Inc.,2001 ,2021 ,Y,"GPL version 2,  commercial licence available",N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
59 ,Time Series,"Time Series DBMS,Relational DBMS",Kdb+,https://db-engines.com/en/system/Kdb%2B,Y,,KxSystems/kdb,6.90 ,60 ,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000 ,2018 ,N,free 32-bit version,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
60 ,Search engine,Search engine,Microsoft Azure  Search,https://db-engines.com/en/system/Microsoft+Azure+Search,N,,-,6.78 ,61 ,-,-,Microsoft,2015 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
61 ,Time Series,Time Series DBMS,Prometheus,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,6.76 ,62 ,prometheus,prometheus,,2015 ,,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
62 ,Time Series,Time Series  DBMS,Graphite,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,6.70 ,63 ,graphite-project,graphite-web,Chris Davis,2006 ,,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
63 ,Document,Document store,Google Cloud Datastore,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,6.67 ,64 ,-,-,Google,2008 ,,N,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
64 ,Relational,"Relational  DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft Azure  Data Explorer,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,6.54 ,65 ,-,-,Microsoft,2019 ,,N,,Y,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,0 
65 ,Document,"Document store,Key-value store,Spatial DBMS",Aerospike,https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,6.47 ,66 ,aerospike,aerospike-server,Aerospike,2012 ,2022 ,Y,Apache and AGPL Licenses; open sourced in June 2014;  commercial Enterprise Edition available,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
66 ,Relational,Relational DBMS,Ingres,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,6.12 ,67 ,fosslc,Ingres,Actian  Corporation,1974 ,2017 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
67 ,Relational,Relational DBMS,Derby,https://db-engines.com/en/system/Derby,Y,N,apache/derby,6.06 ,68 ,apache,derby,Apache Software Foundation,1997 ,2022 ,Y,Apache version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
68 ,Key-value,Key-value store,Ehcache,https://db-engines.com/en/system/Ehcache,Y,Y,ehcache/ehcache3,6.00 ,69 ,ehcache,ehcache3,"Terracotta Inc,  owned by Software AG",2009 ,2022 ,Y,Apache Version  2; commercial licenses available,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
69 ,Relational,Relational DBMS,Interbase,https://db-engines.com/en/system/Interbase,N,,-,5.98 ,70 ,-,-,Embarcadero,1984 ,2019 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
70 ,Key-value,"Key-value  store,Relational DBMS",Ignite,https://db-engines.com/en/system/Ignite,Y,N,apache/ignite,5.90 ,71 ,apache,ignite,Apache Software  Foundation,2015 ,,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
71 ,Content,Content stores,Jackrabbit,https://db-engines.com/en/system/Jackrabbit,Y,N,apache/jackrabbit,5.88 ,72 ,apache,jackrabbit,Apache Software Foundation,2006 ,,Y,,N,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
72 ,Document,"Document  store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search  engine,Spatial DBMS",Virtuoso,https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,5.88 ,73 ,openlink,virtuoso-opensource,OpenLink  Software,1998 ,2022 ,Y,"GPLv2, extended  commercial license available",N,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0 
73 ,Wide column,Wide column store,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,5.82 ,74 ,-,-,Microsoft,2012 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
74 ,Wide column,Wide column  store,Accumulo,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,5.70 ,75 ,apache,accumulo,,2008 ,2020 ,Y,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
75 ,Key-value,"Key-value store,Wide column store",Google Cloud Bigtable,https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,5.47 ,76 ,-,-,Google,2015 ,,N,,Y,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
76 ,Wide column,"Wide column  store,Key-value store",ScyllaDB,https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,5.33 ,77 ,scylladb,scylla,ScyllaDB,2015 ,2022 ,Y,"Open Source  (AGPL), commercial license available",N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
77 ,Relational,Relational DBMS,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,5.26 ,78 ,-,-,SAP,1992 ,2015 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
78 ,Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,5.24 ,79 ,basho,riak_kv,Basho  Technologies,2009 ,2015 ,Y,"Apache version  2, commercial enterprise edition",N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
