id,category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
0.,Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,https://db-engines.com/en/system/Oracle,N,Y,-,1242.,1.,-,-,Oracle,1980.,2021.,N,N,0.,1.,0.,1.,0.,0.,0.,0.,0.,1.,1.,0.,1.,0.,0.
1.,Relational,"Relational DBMS,Document store,Spatial DBMS",MySQL,https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,1206.,2.,mysql,mysql-server,Oracle,1995.,2022.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
2.,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft SQL Server,https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,913.,3.,-,-,Microsoft,1989.,2019.,N,N,0.,1.,0.,1.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
3.,Relational,"Relational DBMS,Document store,Spatial DBMS",PostgreSQL,https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,623.,4.,postgres,postgres,PostgreSQL Global Development Group,1989.,2022.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
4.,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS",MongoDB,https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,478.,5.,mongodb,mongo,"MongoDB, Inc",2009.,2022.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,0.
5.,Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",Redis,https://db-engines.com/en/system/Redis,Y,Y,redis/redis,182.,6.,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009.,2022.,Y,N,0.,1.,0.,1.,1.,0.,0.,0.,0.,0.,0.,1.,1.,1.,0.
6.,Search engine,"Search engine,Document store,Spatial DBMS",Elasticsearch,https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,150.,7.,elastic,elasticsearch,Elastic,2010.,2020.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.
7.,Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM Db2,https://db-engines.com/en/system/IBM+Db2,N,Y,-,150.,8.,-,-,IBM,1983.,2016.,N,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,1.,0.,0.
8.,Relational,Relational DBMS,Microsoft Access,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,135.,9.,-,-,Microsoft,1992.,2019.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
9.,Relational,Relational DBMS,SQLite,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,135.,10.,sqlite,sqlite,Dwayne Richard Hipp,2000.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
10.,Wide column,Wide column store,Cassandra,https://db-engines.com/en/system/Cassandra,Y,N,apache/cassandra,118.,11.,apache,cassandra,Apache Software Foundation,2008.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.
11.,Relational,Relational DBMS,Snowflake,https://db-engines.com/en/system/Snowflake,N_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,110.,12.,twitter-archive,snowflake,Snowflake Computing Inc.,2014.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
12.,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB,https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,105.,13.,MariaDB,server,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009.,2022.,Y,N,0.,1.,0.,1.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
13.,Search engine,Search engine,Splunk,https://db-engines.com/en/system/Splunk,N,,-,94.,14.,-,-,Splunk Inc.,2003.,,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.
14.,Document,"Document store,Key-value store",Amazon DynamoDB,https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,85.,15.,-,-,Amazon,2012.,,N,Y,0.,1.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15.,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft Azure SQL Database,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,Y,-,84.,16.,-,-,Microsoft,2010.,,N,Y,0.,1.,0.,1.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
16.,Relational,Relational DBMS,Hive,https://db-engines.com/en/system/Hive,Y,N_Facebook开源,apache/hive,82.,17.,apache,hive,Apache Software Foundation,2012.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
17.,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,https://db-engines.com/en/system/Teradata,N,,-,65.,18.,-,-,Teradata,1984.,2019.,N,N,0.,1.,0.,1.,0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,0.
18.,Document,"Document store,Relational DBMS",Databricks,https://db-engines.com/en/system/Databricks,Y_usedbms_delta-io/delta,N,databricks/dbt-databricks,61.,19.,databricks,dbt-databricks,Databricks,2013.,,Y,Y,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
19.,Graph,Graph DBMS,Neo4j,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,57.,20.,neo4j,neo4j,"Neo4j, Inc.",2007.,2022.,Y,N,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
20.,Relational,Relational DBMS,FileMaker,https://db-engines.com/en/system/FileMaker,N,,-,54.,21.,-,-,FileMaker,1983.,2021.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
21.,Relational,Relational DBMS,Google BigQuery,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,54.,22.,-,-,Google,2010.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
22.,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP HANA,https://db-engines.com/en/system/SAP+HANA,N,,,51.,23.,-,-,SAP,2010.,2022.,N,N,0.,1.,0.,1.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
23.,Search engine,"Search engine,Spatial DBMS",Solr,https://db-engines.com/en/system/Solr,Y,N,apache/solr,51.,24.,apache,solr,Apache Software Foundation,2006.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.
24.,Relational,"Relational DBMS,Spatial DBMS",SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,N,,,44.,25.,-,-,"SAP, Sybase",1987.,,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
